FIPS,N02650,A02650,"Population Estimate, 2013","Population Estimate, 2016",PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS13
01109,15720.0,690171.0,"33,592","33,286",13.5,38.4
01111,14820.0,609694.0,"22,629","22,652",14.9,30.9
01113,53900.0,2196535.0,"59,240","58,172",12.9,36.4
01115,63470.0,3525168.0,"86,225","88,019",12.8,33.0
01117,149090.0,11727556.0,"203,825","210,622",8.7,30.1
01119,7710.0,269887.0,"13,409","13,040",20.1,40.3
01121,42090.0,1778964.0,"81,277","80,103",15.3,39.0
01123,26730.0,1196554.0,"41,139","40,727",13.7,36.9
01125,96140.0,4995403.0,"200,681","206,102",12.3,34.3
01127,31570.0,1469342.0,"65,934","64,967",16.7,33.2
01129,8960.0,413689.0,"16,881","16,756",17.8,40.2
01131,8560.0,357676.0,"11,194","10,986",19.3,44.9
01133,20030.0,870611.0,"24,150","23,805",13.2,30.2
02020,142480.0,10337743.0,"301,143","298,192",7.0,27.0
02068,580.0,37387.0,"1,940","1,953",5.8,27.0
02090,37610.0,2277329.0,"100,879","100,605",5.5,28.1
02100,1330.0,70152.0,"2,551","2,496",7.9,25.5
02110,13430.0,890052.0,"32,604","32,468",5.9,28.6
02122,27420.0,1771882.0,"57,059","58,506",7.2,28.4
02130,6420.0,403612.0,"13,673","13,746",8.9,30.8
02150,6620.0,387041.0,"14,066","13,732",6.6,30.2
02170,28860.0,1903994.0,"95,923","104,365",8.2,30.2
02220,4600.0,290537.0,"9,001","8,830",6.7,28.7
02240,2700.0,146344.0,"7,001","6,876",6.9,33.1
02261,3440.0,220105.0,"9,764","9,355",7.4,30.4
02290,350.0,17621.0,"5,658","5,526",8.3,28.3
04001,10630.0,490092.0,"72,021","73,112",14.4,35.2
04003,48620.0,2358012.0,"129,554","125,770",10.3,26.0
04005,49510.0,2788662.0,"136,641","140,908",7.6,23.2
04007,15460.0,731985.0,"53,039","53,556",11.2,27.5
04009,12080.0,591841.0,"37,401","37,599",10.3,32.5
04011,3390.0,193626.0,"8,905","9,613",10.7,34.7
04012,4560.0,171338.0,"20,379","20,317",14.8,32.0
04013,1735580.0,108683749.0,"4,011,219","4,242,997",9.0,25.4
04015,69850.0,2939862.0,"202,622","205,249",12.8,29.6
04017,20500.0,913772.0,"107,443","110,026",13.1,30.9
04019,424240.0,23277786.0,"996,634","1,016,206",8.8,24.2
04021,177480.0,10277170.0,"384,978","418,540",12.3,31.6
04023,18700.0,724773.0,"46,903","45,985",8.0,23.0
04025,96120.0,5042581.0,"215,027","225,562",10.5,25.3
04027,59560.0,2681536.0,"201,851","205,631",12.6,30.5
05001,8510.0,432677.0,"18,777","18,214",12.9,33.8
05003,11780.0,539985.0,"21,234","20,492",14.5,42.1
05005,17730.0,781814.0,"40,962","41,062",16.0,32.3
05007,144740.0,11083803.0,"238,778","258,291",9.6,30.1
05009,17280.0,721859.0,"37,412","37,304",12.4,33.9
05011,4600.0,186860.0,"11,133","10,996",13.1,39.0
05013,10800.0,452025.0,"5,214","5,144",13.7,34.2
05015,16830.0,654493.0,"27,745","27,646",13.0,35.8
05017,4690.0,207758.0,"11,344","10,945",15.2,43.1
05019,11130.0,474207.0,"22,650","22,657",11.6,34.3
05021,6420.0,265434.0,"15,312","14,920",11.1,33.7
05023,27880.0,1412514.0,"25,710","25,264",13.5,31.8
05025,23020.0,1001179.0,"8,539","8,241",13.0,35.7
05027,10280.0,472327.0,"24,294","23,901",12.9,36.4
05029,14920.0,674531.0,"21,145","20,937",13.7,39.7
05031,56720.0,2807855.0,"101,654","105,835",13.1,36.4
05033,24340.0,1074219.0,"61,696","62,267",11.4,35.1
05035,21490.0,891474.0,"49,730","49,235",15.8,38.8
05037,10500.0,432601.0,"17,492","17,037",13.6,37.9
05039,10420.0,440225.0,"7,922","7,469",14.4,36.2
05041,6710.0,272275.0,"12,467","11,876",15.1,39.6
05043,10620.0,480407.0,"18,682","18,651",13.6,34.3
05045,94920.0,4926754.0,"119,299","122,227",11.2,33.2
05047,13490.0,566684.0,"17,934","17,626",13.8,37.1
05049,8490.0,311280.0,"12,243","12,123",15.6,32.9
05051,53960.0,2611111.0,"96,986","97,477",14.5,32.3
05053,44530.0,2067945.0,"18,035","18,082",11.1,38.3
05055,42060.0,1912139.0,"43,078","44,598",12.9,31.2
05057,17310.0,662858.0,"22,392","21,974",13.5,40.3
05059,54320.0,2476184.0,"33,495","33,374",12.2,34.7
05061,7030.0,266903.0,"13,527","13,377",13.4,35.7
05063,22990.0,991354.0,"36,873","37,168",13.1,37.2
05065,9550.0,374079.0,"13,386","13,433",15.5,33.9
05067,8310.0,360766.0,"17,690","17,221",12.9,37.2
05069,43480.0,1926642.0,"73,150","70,016",15.4,40.7
05071,14470.0,588200.0,"25,896","26,176",12.5,36.4
05073,3220.0,134376.0,"7,245","6,847",15.3,36.3
05075,8740.0,345901.0,"17,067","16,735",13.2,31.8
05077,11270.0,421312.0,"9,991","9,310",13.1,35.7
05079,31430.0,1278281.0,"14,023","13,705",12.3,37.5
05081,4730.0,201075.0,"12,739","12,451",12.9,32.7
05083,18610.0,782202.0,"22,111","21,792",13.8,37.5
05085,55090.0,2683174.0,"70,807","72,228",13.1,35.8
05087,41320.0,2220924.0,"15,684","16,072",11.8,34.0
05089,30160.0,1306529.0,"16,446","16,325",12.2,31.7
05091,17110.0,780793.0,"43,440","43,787",12.3,35.9
05093,18430.0,747743.0,"44,687","42,835",15.9,39.8
05095,4820.0,201229.0,"7,670","7,169",17.2,37.5
05097,4870.0,188443.0,"9,222","8,879",14.3,33.8
05099,6540.0,253715.0,"8,791","8,398",13.9,36.0
05101,16920.0,692241.0,"8,078","7,936",12.8,34.2
05103,13800.0,586893.0,"24,969","24,098",14.8,34.8
05105,6720.0,341631.0,"10,337","10,132",12.2,37.5
05107,7900.0,295157.0,"20,437","18,975",16.7,45.5
05109,9290.0,359200.0,"11,126","10,832",12.4,37.8
05111,10520.0,427485.0,"24,156","24,023",13.8,38.4
05113,7880.0,303461.0,"20,361","20,173",13.9,36.7
05115,26520.0,1232840.0,"62,538","63,779",11.2,32.1
05117,17180.0,825696.0,"8,364","8,251",14.3,36.3
05119,211110.0,12462700.0,"391,312","393,250",12.0,31.7
05121,10780.0,428568.0,"17,621","17,448",12.7,35.3
05123,15540.0,599194.0,"27,408","26,196",16.4,42.5
05125,80980.0,4076683.0,"114,287","118,703",11.8,32.5
05127,12700.0,486204.0,"10,874","10,277",11.4,32.5
05129,4480.0,143068.0,"7,979","7,967",13.4,35.0
05131,55720.0,2757022.0,"127,127","127,793",12.9,36.9
05133,6890.0,260211.0,"17,297","16,910",12.2,36.7
05135,9980.0,372370.0,"17,084","17,157",15.2,37.3
05137,12100.0,489343.0,"12,490","12,539",12.7,32.6
05139,23020.0,1239858.0,"40,603","39,887",13.5,39.4
05141,10930.0,493458.0,"16,992","16,628",12.9,35.6
05143,103110.0,5606575.0,"215,979","228,049",9.1,30.6
05145,38050.0,1862729.0,"78,635","79,263",10.1,36.3
05147,11630.0,506037.0,"7,042","6,641",14.7,35.8
05149,9050.0,350781.0,"21,768","21,552",12.9,37.1
06001,787890.0,65134111.0,"1,581,226","1,647,704",8.5,20.0
06003,2090.0,126142.0,"1,141","1,071",10.3,23.4
06005,15390.0,915954.0,"36,576","37,383",10.2,25.5
06007,96470.0,4872106.0,"222,116","226,864",10.2,25.9
06009,19700.0,1219487.0,"44,577","45,171",10.0,23.5
06011,13090.0,664485.0,"21,322","21,588",9.6,25.4
06013,601460.0,60879868.0,"1,094,030","1,135,127",9.4,25.0
06015,9040.0,412366.0,"27,837","27,540",8.4,25.5
06017,77560.0,6532183.0,"181,427","185,625",7.5,20.6
06019,384090.0,18778525.0,"953,762","979,915",9.4,26.6
06021,10480.0,511270.0,"27,915","28,085",8.4,26.7
06023,50320.0,2434714.0,"134,555","136,646",8.8,25.5
06025,84080.0,3196996.0,"177,194","180,883",8.3,26.3
06027,8870.0,487891.0,"18,418","18,144",9.4,23.3
06029,350210.0,18319677.0,"864,454","884,788",9.3,30.3
06031,86670.0,4136618.0,"150,480","149,785",7.5,26.4
06033,23240.0,1033076.0,"63,776","64,116",10.1,26.2
06035,9610.0,514811.0,"32,144","30,870",7.6,23.9
06037,4583380.0,311504660.0,"10,015,436","10,137,915",9.1,21.4
06039,72750.0,3391358.0,"151,811","154,697",7.9,26.5
06041,133560.0,19594229.0,"258,506","260,651",7.9,18.9
06043,10700.0,558038.0,"17,746","17,410",10.7,24.4
06045,37470.0,1826373.0,"87,207","87,628",8.4,22.4
06047,127470.0,5580355.0,"262,661","268,672",9.2,29.5
06049,4150.0,184692.0,"9,100","8,795",10.4,23.2
06051,10950.0,619562.0,"14,020","13,981",7.4,22.8
06053,210500.0,11817994.0,"428,064","435,232",7.6,22.3
06055,108750.0,8355208.0,"140,102","142,166",8.4,23.7
06057,47630.0,3144738.0,"98,156","99,107",7.7,21.1
06059,1442890.0,116084491.0,"3,112,576","3,172,532",8.0,19.7
06061,176850.0,14241990.0,"366,435","380,531",9.0,21.7
06063,8460.0,432805.0,"18,844","18,627",9.8,23.0
06065,975620.0,52274571.0,"2,291,452","2,387,741",9.0,26.0
06067,652860.0,37558582.0,"1,460,023","1,514,460",8.4,27.4
06069,26400.0,1606892.0,"57,471","59,414",7.6,23.3
06071,925370.0,44888183.0,"2,087,945","2,140,096",9.2,27.9
06073,1477400.0,104434039.0,"3,218,419","3,317,749",7.7,19.1
06075,470270.0,53973639.0,"839,280","870,887",7.9,16.1
06077,315780.0,16838720.0,"703,265","733,709",10.3,28.3
06079,153690.0,9104189.0,"276,191","282,887",8.5,24.5
06081,433150.0,55769009.0,"748,952","764,797",8.3,21.1
06083,181710.0,13057961.0,"435,800","446,170",7.1,18.2
06085,944270.0,112263165.0,"1,866,961","1,919,402",8.4,19.5
06087,127180.0,9501329.0,"268,948","274,673",7.0,20.2
06089,74440.0,3766736.0,"179,062","179,631",9.4,26.5
06091,1490.0,65076.0,"3,039","2,947",9.6,22.5
06093,17720.0,794568.0,"43,632","43,603",8.6,23.2
06095,264140.0,17571742.0,"423,972","440,207",9.8,30.1
06097,269350.0,19593700.0,"494,657","503,070",7.9,20.9
06099,214430.0,10917608.0,"524,744","541,560",9.7,32.6
06101,46360.0,2355496.0,"94,801","96,651",8.6,28.7
06103,55200.0,2698903.0,"62,835","63,276",11.2,27.2
06105,2470.0,98716.0,"13,430","12,782",10.1,25.1
06107,230270.0,10125296.0,"453,354","460,437",8.0,32.6
06109,23440.0,1267682.0,"53,940","53,804",10.1,20.2
06111,452010.0,34459475.0,"839,498","849,738",7.6,20.3
06113,90590.0,6045924.0,"206,685","215,802",6.9,22.7
06115,38600.0,1706842.0,"73,233","75,275",7.6,24.8
08001,379880.0,21298694.0,"470,107","498,187",7.2,26.3
08003,10650.0,472392.0,"16,253","16,654",6.7,23.0
08005,476250.0,35449007.0,"607,660","637,068",6.3,21.4
08007,11470.0,697048.0,"12,194","12,854",5.9,16.5
08009,2850.0,116794.0,"3,682","3,568",7.6,19.4
08011,5520.0,233870.0,"5,738","5,861",7.0,26.5
08013,217040.0,18606353.0,"310,287","322,226",4.1,13.4
08014,93300.0,7620028.0,"60,116","66,529",5.5,17.6
08015,7960.0,449029.0,"18,318","19,058",6.4,20.5
08017,1210.0,70046.0,"1,881","1,848",6.5,23.7
08019,12410.0,1513669.0,"9,100","9,436",7.9,18.1
08021,8070.0,341488.0,"8,257","8,129",6.0,24.5
08023,2420.0,88161.0,"3,521","3,721",8.3,21.9
08025,2080.0,80542.0,"5,325","5,694",6.0,21.6
08027,5740.0,355545.0,"4,264","4,602",6.8,20.5
08029,12540.0,593216.0,"30,314","30,442",7.6,20.4
08031,577790.0,38744619.0,"647,433","693,060",6.0,16.4
08033,630.0,31081.0,"2,030","2,056",7.5,19.8
08035,183050.0,19647706.0,"306,442","328,632",5.3,17.0
08037,21900.0,1951340.0,"52,379","53,989",3.3,11.8
08039,42870.0,3435163.0,"23,670","25,231",5.2,19.6
08041,299840.0,18022906.0,"654,993","688,284",7.0,22.3
08043,24720.0,1310031.0,"46,467","47,446",8.1,22.8
08045,30750.0,2006676.0,"56,914","58,887",4.7,20.0
08047,12850.0,1250595.0,"5,567","5,931",6.3,19.7
08049,6250.0,408452.0,"14,254","15,008",5.6,17.4
08051,13710.0,1005550.0,"15,643","16,408",4.6,14.8
08053,5850.0,346203.0,805,788,6.6,20.5
08055,3370.0,152324.0,"6,479","6,677",7.6,20.1
08057,520.0,22947.0,"1,355","1,357",6.6,21.4
08059,384820.0,28329547.0,"551,912","571,837",5.4,18.3
08061,1180.0,61940.0,"1,417","1,373",7.7,19.5
08063,3220.0,179606.0,"8,279","8,195",7.3,27.6
08065,3020.0,132657.0,"7,296","7,618",5.4,17.5
08067,25720.0,1772841.0,"53,339","55,623",4.8,16.3
08069,205690.0,14598339.0,"316,605","339,993",5.2,18.7
08071,9260.0,389664.0,"14,401","14,103",7.7,21.0
08073,3160.0,141561.0,"5,430","5,643",7.6,23.8
08075,8860.0,551598.0,"21,660","21,919",7.0,25.4
08077,66180.0,3671393.0,"147,372","150,083",7.2,23.5
08079,940.0,51990.0,722,732,6.8,18.1
08081,4890.0,272476.0,"13,099","13,109",6.3,25.8
08083,10490.0,533491.0,"25,657","26,999",6.5,21.7
08085,22460.0,1097807.0,"40,634","41,471",8.1,19.7
08087,12670.0,620772.0,"28,306","28,274",7.4,26.9
08089,7020.0,281714.0,"18,525","18,295",6.8,26.9
08091,5850.0,376237.0,"4,579","4,857",6.7,18.6
08093,20440.0,2037648.0,"16,118","17,166",6.7,20.5
08095,2160.0,127694.0,"4,357","4,288",7.8,22.8
08097,14560.0,1550092.0,"17,361","17,752",5.1,14.9
08099,4860.0,222156.0,"12,286","11,922",8.4,26.1
08101,78080.0,3618786.0,"160,803","165,123",9.1,25.9
08103,8140.0,450630.0,"6,740","6,545",6.0,22.6
08105,12150.0,539422.0,"11,725","11,479",6.9,23.2
08107,6180.0,488301.0,"23,587","24,648",4.1,14.3
08109,7420.0,335021.0,"6,209","6,389",7.0,19.7
08111,13200.0,959759.0,695,694,6.7,19.3
08113,4430.0,383802.0,"7,636","8,017",5.0,16.7
08115,1040.0,48667.0,"2,342","2,407",8.0,22.1
08117,12590.0,910263.0,"28,653","30,374",4.1,13.1
08119,29120.0,2357350.0,"23,242","24,043",6.9,20.3
08121,7450.0,376168.0,"4,781","4,908",6.5,23.2
08123,184630.0,11968323.0,"270,182","294,932",6.4,26.0
08125,6180.0,363275.0,"10,205","10,103",6.1,24.8
09001,465430.0,69868374.0,"940,621","944,177",7.6,21.4
09003,473780.0,33964053.0,"897,737","892,389",9.6,26.8
09005,117460.0,8521933.0,"186,760","182,571",6.7,23.9
09007,95590.0,7884399.0,"165,219","163,329",8.4,24.1
09009,446360.0,30154074.0,"862,712","856,875",9.0,26.5
09011,137710.0,9086013.0,"273,405","269,801",9.2,27.6
09013,103910.0,7764863.0,"151,881","151,118",7.2,24.8
09015,67350.0,3784827.0,"117,668","116,192",10.1,29.6
10001,84670.0,4192493.0,"169,457","174,827",12.8,32.8
10003,269880.0,17840013.0,"549,521","556,987",9.0,27.7
10005,107610.0,5856795.0,"206,417","220,251",13.2,31.0
11001,323960.0,27882381.0,"649,165","681,170",8.1,22.4
12001,110290.0,6111593.0,"252,636","263,496",8.3,25.6
12003,12800.0,570629.0,"27,001","27,937",13.0,35.8
12005,86070.0,4288462.0,"174,994","183,974",11.2,29.9
12007,21690.0,944942.0,"26,910","26,926",14.4,35.9
12009,257370.0,14412419.0,"551,299","579,130",11.7,25.6
12011,960140.0,55249776.0,"1,840,051","1,909,632",9.5,24.4
12013,16430.0,629708.0,"14,634","14,423",15.5,39.4
12015,112630.0,5828303.0,"165,018","178,465",14.1,25.7
12017,67530.0,3101242.0,"139,063","143,621",14.6,26.3
12019,101150.0,5509011.0,"196,276","208,311",12.0,29.7
12021,182000.0,21822361.0,"339,244","365,136",8.6,19.5
12023,33140.0,1417446.0,"67,512","69,299",12.7,36.3
12027,9950.0,376863.0,"34,641","35,800",13.7,36.0
12029,7320.0,282971.0,"15,955","16,300",14.0,30.6
12031,461940.0,27525784.0,"886,873","926,255",11.2,30.6
12033,138820.0,7044222.0,"307,782","315,187",12.4,28.9
12035,81360.0,4975956.0,"100,013","108,310",12.4,24.2
12037,7280.0,390680.0,"11,559","11,901",11.0,32.2
12039,18330.0,677424.0,"46,034","46,006",17.1,36.5
12041,18370.0,940408.0,"16,912","17,212",8.4,31.5
12043,17380.0,741345.0,"13,079","13,970",13.8,33.1
12045,5560.0,263968.0,"15,788","15,990",11.1,30.9
12047,4970.0,186453.0,"14,344","14,361",13.0,33.2
12049,9680.0,376527.0,"27,255","27,360",12.6,33.9
12051,32610.0,1203291.0,"37,630","39,290",13.7,35.2
12053,79690.0,3439311.0,"174,019","182,835",13.4,32.1
12055,54360.0,2217970.0,"97,817","100,917",14.2,31.0
12057,627510.0,36555734.0,"1,293,189","1,376,238",10.4,28.3
12059,12590.0,503567.0,"19,652","19,487",14.2,31.6
12061,65380.0,5705911.0,"141,966","151,563",11.4,24.5
12063,23890.0,984212.0,"48,990","48,229",12.4,34.7
12065,21560.0,1466646.0,"14,191","13,906",11.7,32.2
12067,3960.0,162478.0,"8,820","8,617",13.2,35.3
12069,209980.0,11914713.0,"307,922","335,396",14.7,29.3
12071,331660.0,23098974.0,"660,085","722,336",9.9,24.6
12073,129790.0,7253867.0,"282,071","287,822",8.3,26.4
12075,29810.0,1378821.0,"39,535","39,961",14.1,32.2
12077,2460.0,102627.0,"8,309","8,202",13.4,39.6
12079,7300.0,288614.0,"18,724","18,224",15.6,34.1
12081,164530.0,10915470.0,"342,246","375,888",10.6,25.3
12083,176020.0,9225322.0,"335,800","349,020",12.6,29.2
12085,116070.0,10673894.0,"151,237","158,701",11.3,21.3
12086,1271890.0,68811694.0,"2,641,273","2,712,945",7.9,21.0
12087,48920.0,3869567.0,"76,204","79,077",8.6,22.0
12089,37560.0,2591335.0,"75,606","80,622",10.8,28.6
12091,95580.0,5492667.0,"193,408","201,170",9.7,26.4
12093,15360.0,647518.0,"38,989","40,314",11.6,31.0
12095,639490.0,34731217.0,"1,225,366","1,314,367",8.8,24.9
12097,202180.0,7891031.0,"299,822","336,015",12.0,29.1
12099,674310.0,59367587.0,"1,375,619","1,443,810",10.5,21.5
12101,252370.0,13843280.0,"475,679","512,368",12.2,31.1
12103,456210.0,28217842.0,"929,085","960,730",10.8,25.5
12105,290910.0,13539218.0,"622,656","666,149",14.3,32.3
12107,52120.0,2313813.0,"72,377","72,277",12.2,36.1
12109,133070.0,12447519.0,"209,607","235,087",9.0,21.9
12111,154480.0,7977008.0,"286,138","306,507",11.5,27.9
12113,79830.0,4673233.0,"160,649","170,497",9.0,26.1
12115,220210.0,16295130.0,"389,911","412,569",11.1,20.6
12117,238730.0,14394973.0,"436,512","455,479",10.0,24.6
12119,62770.0,4099461.0,"108,263","123,996",14.9,26.9
12121,24400.0,1003312.0,"43,550","43,794",13.5,33.3
12123,10020.0,440890.0,"22,884","22,175",15.4,38.9
12125,5740.0,252390.0,"15,069","15,142",12.5,37.1
12127,242610.0,11881862.0,"501,282","529,364",12.4,26.0
12129,11820.0,563366.0,"30,972","31,893",11.7,36.4
12131,63840.0,4192627.0,"59,411","65,889",11.6,27.5
12133,17990.0,708560.0,"24,614","24,569",12.9,38.5
13001,13850.0,581481.0,"18,351","18,428",12.9,34.8
13003,5960.0,206139.0,"8,260","8,273",11.5,35.3
13005,6240.0,234814.0,"11,200","11,372",10.4,32.7
13007,13530.0,809810.0,"3,319","3,150",14.8,30.0
13009,25830.0,1093781.0,"46,143","45,144",14.0,36.8
13011,32910.0,1368705.0,"18,299","18,397",11.1,27.0
13013,56930.0,3245122.0,"71,325","77,126",11.3,34.6
13015,102780.0,5712007.0,"101,206","103,807",12.1,35.2
13017,9110.0,343188.0,"17,417","17,243",12.4,35.3
13019,18620.0,714503.0,"19,022","18,993",14.2,34.7
13021,73790.0,3535466.0,"154,566","152,760",12.7,31.3
13023,11250.0,495659.0,"12,760","12,970",13.6,30.4
13025,18340.0,707456.0,"18,280","18,355",10.9,33.1
13027,23880.0,1031839.0,"15,664","15,687",14.5,33.5
13029,20160.0,1152680.0,"33,120","36,230",12.3,29.3
13031,34090.0,1480605.0,"71,873","74,722",12.0,33.5
13033,31340.0,1198838.0,"22,918","22,688",14.7,32.0
13035,52310.0,2381394.0,"23,225","23,817",11.7,28.7
13037,8100.0,306101.0,"6,513","6,324",14.4,34.4
13039,24540.0,1127152.0,"51,490","53,008",10.9,31.5
13043,6580.0,242075.0,"10,951","10,910",13.7,30.3
13045,61400.0,2985989.0,"112,333","116,261",11.3,31.7
13047,45440.0,2043398.0,"65,343","66,398",12.2,27.8
13049,3530.0,131125.0,"13,083","12,497",11.6,32.0
13051,122230.0,6623543.0,"277,992","289,082",11.0,31.3
13053,5380.0,194197.0,"12,436","10,922",6.4,27.3
13055,26940.0,1198649.0,"25,045","24,824",11.0,34.0
13057,271640.0,21302057.0,"224,481","241,689",8.7,26.9
13059,53100.0,2795501.0,"121,040","124,707",8.3,25.3
13061,6290.0,228205.0,"3,037","3,020",17.2,29.8
13063,240510.0,9391564.0,"264,668","279,462",11.6,38.0
13065,6700.0,237789.0,"6,798","6,829",12.9,29.6
13067,439690.0,31091603.0,"716,873","748,150",8.5,22.9
13069,18830.0,702465.0,"43,096","43,012",11.5,34.8
13071,22080.0,857452.0,"46,300","45,708",12.8,35.2
13073,91200.0,5569277.0,"136,190","147,450",10.4,30.3
13075,10940.0,488194.0,"17,061","17,167",12.2,31.4
13077,70780.0,3986187.0,"133,091","140,526",10.6,26.8
13079,22360.0,1001018.0,"12,543","12,322",13.1,27.3
13081,13030.0,470670.0,"23,230","22,721",14.2,31.1
13083,7900.0,404631.0,"16,463","16,257",12.2,32.3
13085,43540.0,2536652.0,"22,574","23,604",10.5,27.7
13087,17290.0,690849.0,"27,417","26,822",12.1,30.0
13089,513710.0,31399242.0,"715,014","740,321",10.0,27.3
13091,13090.0,512212.0,"21,239","20,563",13.5,28.5
13093,14360.0,524191.0,"14,290","13,763",14.8,34.7
13095,58190.0,2591820.0,"93,238","90,017",12.4,34.4
13097,126250.0,6030521.0,"136,270","142,224",12.0,32.3
13099,10300.0,423509.0,"10,509","10,339",15.6,31.5
13101,4910.0,232404.0,"4,039","3,962",10.9,28.3
13103,28670.0,1459397.0,"54,488","58,712",13.5,35.2
13105,11280.0,437500.0,"19,519","19,143",13.0,31.1
13107,24620.0,928595.0,"22,794","22,635",11.6,36.3
13109,7430.0,286455.0,"10,781","10,670",13.4,33.5
13111,17290.0,778619.0,"23,714","24,900",12.2,25.9
13113,90140.0,5739518.0,"108,287","111,627",12.9,31.1
13115,77660.0,3510217.0,"96,006","96,560",13.6,31.0
13117,187430.0,18451069.0,"194,781","221,009",10.8,29.4
13119,28890.0,1195502.0,"22,098","22,320",12.4,29.5
13121,627210.0,58047775.0,"982,983","1,023,336",8.7,23.9
13123,40680.0,1901569.0,"28,593","29,733",12.4,29.7
13125,3750.0,137190.0,"3,069","3,006",11.8,28.6
13127,38020.0,2093691.0,"81,601","84,502",11.5,26.2
13129,31500.0,1371347.0,"55,696","56,904",10.2,29.3
13131,23310.0,1038294.0,"25,178","24,808",12.1,33.0
13133,20550.0,1420911.0,"16,283","17,003",15.4,29.7
13135,530830.0,31282955.0,"856,374","907,135",8.3,29.5
13137,28310.0,1290952.0,"43,283","44,246",11.4,31.7
13139,159870.0,8820935.0,"187,373","196,637",10.9,25.7
13141,22810.0,976290.0,"8,926","8,640",15.8,31.2
13143,24900.0,1061964.0,"28,445","29,042",11.2,27.3
13145,23870.0,1537118.0,"32,632","33,652",13.2,28.4
13147,23150.0,948583.0,"25,528","25,553",13.5,29.9
13149,36070.0,1730081.0,"11,565","11,487",12.0,30.2
13151,156820.0,7362335.0,"210,371","221,768",13.5,33.1
13153,83140.0,4108069.0,"148,024","152,122",13.2,31.0
13155,12580.0,489456.0,"9,399","9,422",12.4,29.2
13157,77050.0,3974852.0,"60,856","64,615",11.2,27.4
13159,29310.0,1393233.0,"13,524","13,654",12.6,29.3
13161,10810.0,428615.0,"14,979","14,877",12.8,30.0
13163,8560.0,304721.0,"16,345","15,916",16.7,35.3
