Id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,type
21,6,0.26,0.29,3.1,0.041,37,144,0.98944,3.22,0.39,12.8,0
22,8.5,0.15,0.49,1.5,0.031,17,122,0.9932,3.03,0.4,10.3,0
23,5.5,0.16,0.31,1.2,0.026,31,68,0.9898,3.33,0.44,11.63333333,0
24,7.4,0.28,0.25,11.9,0.053,25,148,0.9976,3.1,0.62,9.2,0
25,6.6,0.52,0.44,12.2,0.048,54,245,0.9975,3.26,0.54,9.3,0
26,4.7,0.785,0,3.4,0.036,23,134,0.98981,3.53,0.92,13.8,0
27,5.7,0.21,0.32,1.6,0.03,33,122,0.99044,3.33,0.52,11.9,0
28,7.7,0.26,0.51,2.6,0.045,26,159,0.99126,3,0.5,11.2,0
29,5.9,0.23,0.24,3.8,0.038,61,152,0.99139,3.31,0.5,11.3,0
30,9.7,0.24,0.45,1.2,0.033,11,59,0.9926,2.74,0.47,10.8,0
31,6.7,0.11,0.34,8.8,0.043,41,113,0.9962,3.42,0.4,9.3,0
32,6.1,0.27,0.43,7.5,0.049,65,243,0.9957,3.12,0.47,9,0
33,6.8,0.39,0.35,11.6,0.044,57,220,0.99775,3.07,0.53,9.3,0
34,5,0.44,0.04,18.6,0.039,38,128,0.9985,3.37,0.57,10.2,0
35,7.8,0.22,0.26,9,0.047,38,132,0.997,3.25,0.53,10.2,0
36,7,0.22,0.26,9.2,0.027,37,122,0.99228,3.06,0.34,12.5,0
37,6.6,0.22,0.28,4.9,0.042,51,180,0.9952,3.3,0.75,9.5,0
38,6.8,0.44,0.2,16,0.065,61,186,0.99884,3.13,0.45,8.6,0
39,7.9,0.18,0.49,5.2,0.051,36,157,0.9953,3.18,0.48,10.6,0
40,6.8,0.25,0.38,8.1,0.046,24,155,0.9956,3.33,0.59,10.2,0
41,5.6,0.25,0.19,2.4,0.049,42,166,0.992,3.25,0.43,10.4,0
42,6.6,0.27,0.25,1.2,0.033,36,111,0.98918,3.16,0.37,12.4,0
43,6.4,0.19,0.35,10.2,0.043,40,106,0.99632,3.16,0.5,9.7,0
44,6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,0
45,6.6,0.42,0.33,2.8,0.034,15,85,0.99,3.28,0.51,13.4,0
46,6,0.22,0.23,5,0.045,10,122,0.99261,2.94,0.63,10,0
47,5.7,0.41,0.21,1.9,0.048,30,112,0.99138,3.29,0.55,11.2,0
48,7.1,0.31,0.17,1,0.042,21,144,0.99304,3.13,0.4,9.6,0
49,5.8,0.315,0.27,1.55,0.026,15,70,0.98994,3.37,0.4,11.9,0
50,6.8,0.22,0.29,8.9,0.046,82,188,0.9955,3.3,0.44,10.3,0
51,8.2,0.2,0.38,3.5,0.053,41,174,0.99306,3.22,0.41,11.6,0
52,6,0.2,0.71,1.6,0.15,10,54,0.9927,3.12,0.47,9.8,0
53,7.4,0.3,0.3,5.2,0.053,45,163,0.9941,3.12,0.45,10.3,0
54,5.8,0.38,0.26,1.1,0.058,20,140,0.99271,3.27,0.43,9.7,0
55,6.6,0.19,0.43,10.9,0.045,53,154,0.99752,3.52,0.77,10.4,0
56,7.1,0.12,0.3,3.1,0.018,15,37,0.99004,3.02,0.52,11.9,0
57,7.2,0.2,0.22,1.6,0.044,17,101,0.99471,3.37,0.53,10,0
58,8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,0
59,5.5,0.315,0.38,2.6,0.033,10,69,0.9909,3.12,0.59,10.8,0
60,7.5,0.34,0.24,3.85,0.031,5,34,0.99098,3.01,0.36,11.8,0
61,6.7,0.14,0.46,1.6,0.036,15,92,0.99264,3.37,0.49,10.9,0
62,5.6,0.35,0.14,5,0.046,48,198,0.9937,3.3,0.71,10.3,0
63,8.6,0.16,0.38,3.4,0.04,41,143,0.9932,2.95,0.39,10.2,0
64,5.6,0.41,0.24,1.9,0.034,10,53,0.98815,3.32,0.5,13.5,0
65,5.9,0.28,0.39,1.4,0.031,47,147,0.98836,3.08,0.64,12.9,0
66,5.7,0.1,0.27,1.3,0.047,21,100,0.9928,3.27,0.46,9.5,0
67,6.7,0.17,0.42,10.4,0.038,85,182,0.99628,3.04,0.44,8.9,0
68,6.2,0.47,0.19,8.3,0.029,24,142,0.992,3.22,0.45,12.3,0
69,7.3,0.21,0.33,1,0.037,66,144,0.9923,3.11,0.52,10.2,0
70,6.6,0.22,0.37,1.2,0.059,45,199,0.993,3.37,0.55,10.3,0
71,6.8,0.38,0.29,9.9,0.037,40,146,0.99326,3.11,0.37,11.5,0
72,7.6,0.2,0.68,12.9,0.042,56,160,0.99841,3.05,0.41,8.7,0
73,6.1,0.2,0.34,9.5,0.041,38,201,0.995,3.14,0.44,10.1,0
74,6.6,0.16,0.25,9.8,0.049,59.5,137,0.995,3.16,0.38,10,0
75,6.3,0.13,0.42,1.1,0.043,63,146,0.99066,3.13,0.72,11.2,0
76,5.9,0.12,0.28,1.4,0.037,36,83,0.99074,3.33,0.42,10.9,0
77,7.8,0.13,0.3,1.8,0.04,43,179,0.9955,3.43,0.41,9,0
78,6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,0
79,8.8,0.39,0.34,5.9,0.055,33,128,0.9927,2.95,0.51,11.8,0
80,6.7,0.25,0.36,8.6,0.037,63,206,0.99553,3.18,0.5,9.6,0
81,6.7,0.47,0.29,4.75,0.034,29,134,0.99056,3.29,0.46,13,0
82,6.2,0.33,0.14,4.8,0.052,27,128,0.99475,3.21,0.48,9.4,0
83,6.5,0.16,0.34,1.4,0.029,29,133,0.99108,3.33,0.64,11.5,0
84,6.4,0.14,0.31,1.2,0.034,53,138,0.99084,3.38,0.35,11.5,0
85,7.2,0.26,0.26,12.7,0.036,49,214,0.9986,3.41,0.5,10,0
86,7.2,0.5,0,0.8,0.034,46,114,0.9932,3.19,0.34,9.2,0
87,7.8,0.25,0.37,1,0.043,10,80,0.99128,3.08,0.38,11.4,0
88,6.2,0.27,0.43,7.8,0.056,48,244,0.9956,3.1,0.51,9,0
89,6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,0
90,7.6,0.39,0.22,2.8,0.036,19,113,0.9926,3.03,0.29,10.2,0
91,8,0.66,0.72,17.55,0.042,62,233,0.9999,2.92,0.68,9.4,0
92,7.9,0.12,0.49,5.2,0.049,33,152,0.9952,3.18,0.47,10.6,0
93,7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,0
94,6.3,0.34,0.36,4.9,0.035,31,185,0.9946,3.15,0.49,9.7,0
95,6.4,0.28,0.29,1.6,0.052,34,127,0.9929,3.48,0.56,10.5,0
96,6.6,0.23,0.26,1.3,0.045,16,128,0.9934,3.36,0.6,10,0
97,7.3,0.14,0.49,1.1,0.038,28,99,0.9928,3.2,0.72,10.6,0
98,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,0
99,5,0.33,0.23,11.8,0.03,23,158,0.99322,3.41,0.64,11.8,0
100,7.3,0.28,0.54,12.9,0.049,62,152,0.9984,3.06,0.45,9.1,0
101,7.4,0.26,0.37,9.4,0.047,42,147,0.9982,3.46,0.72,10,0
102,7.5,0.33,0.32,11.1,0.036,25,119,0.9962,3.15,0.34,10.5,0
103,6.7,0.24,0.35,13.1,0.05,64,205,0.997,3.15,0.5,9.5,0
104,6.4,0.32,0.25,5,0.055,28,138,0.99171,3.27,0.5,12.4,0
105,5.9,0.22,0.45,22.6,0.12,55,122,0.99636,3.1,0.35,12.8,0
106,7.6,0.21,0.44,1.9,0.036,10,119,0.9913,3.01,0.7,12.8,0
107,6.7,0.21,0.42,9.1,0.049,31,150,0.9953,3.12,0.74,9.9,0
108,7.5,0.26,0.26,18.35,0.084,33,139,1.0011,3.17,0.39,8.8,0
109,6.1,0.3,0.56,2.8,0.044,47,179,0.9924,3.3,0.57,10.9,0
110,6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2,0
111,6.2,0.36,0.45,10.4,0.06,22,184,0.99711,3.31,0.56,9.8,0
112,7.8,0.21,0.27,1.2,0.051,20,89,0.9936,3.06,0.46,9.1,0
113,5.1,0.52,0.06,2.7,0.052,30,79,0.9932,3.32,0.43,9.3,0
114,6,0.28,0.25,1.8,0.042,8,108,0.9929,3.08,0.55,9,0
115,6.4,0.23,0.26,8.1,0.054,47,181,0.9954,3.12,0.49,9.4,0
116,6.5,0.43,0.28,11.25,0.032,31,87,0.9922,3.02,0.38,12.4,0
117,5.9,0.3,0.23,4.2,0.038,42,119,0.9924,3.15,0.5,11,0
118,6.4,0.3,0.27,5,0.058,27,151,0.99198,3.22,0.49,12.2,0
119,7,0.53,0.02,1,0.036,39,107,0.993,3.2,0.32,9,0
120,6.5,0.41,0.22,4.8,0.052,49,142,0.9946,3.14,0.62,9.2,0
121,8.6,0.23,0.46,1,0.054,9,72,0.9941,2.95,0.49,9.1,0
122,6.1,0.28,0.35,12.8,0.048,63,229,0.9975,3.08,0.4,8.9,0
123,7.1,0.29,0.3,16,0.036,58,201,0.99954,3.3,0.67,9,0
124,8.3,0.28,0.4,7.8,0.041,38,194,0.9976,3.34,0.51,9.6,0
125,10,0.2,0.39,1.4,0.05,19,152,0.994,3,0.42,10.4,0
126,6.1,0.22,0.38,2.8,0.144,12,65,0.9908,2.95,0.64,11.4,0
127,7,0.23,0.33,1,0.043,46,110,0.99118,3.04,0.65,10.8,0
128,7.1,0.27,0.28,1.25,0.023,3,89,0.98993,2.95,0.3,11.4,0
129,6.8,0.25,0.31,13.3,0.05,69,202,0.9972,3.22,0.48,9.7,0
130,7.8,0.28,0.22,1.4,0.056,24,130,0.9944,3.28,0.48,9.5,0
131,7.6,0.24,0.44,3.8,0.037,49,146,0.9911,3.06,0.37,11.6,0
132,7.3,0.26,0.53,12.7,0.047,60.5,164.5,0.9984,3.06,0.45,9.1,0
133,8,0.2,0.3,8.1,0.037,42,130,0.99379,3.1,0.67,11.8,0
134,6.3,0.33,0.2,17.9,0.066,36,161,0.9991,3.14,0.51,8.8,0
135,6.4,0.22,0.3,11.2,0.046,53,149,0.99479,3.21,0.34,10.8,0
136,6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,0
137,6.4,0.23,0.35,10.3,0.042,54,140,0.9967,3.23,0.47,9.2,0
138,8.5,0.28,0.34,13.8,0.041,32,161,0.9981,3.13,0.4,9.9,0
139,6.6,0.38,0.28,2.8,0.043,17,67,0.98924,3.21,0.47,13.2,0
140,7.1,0.26,0.32,14.45,0.074,29,107,0.998,2.96,0.42,9.2,0
141,5.9,0.29,0.33,7.4,0.037,58,205,0.99495,3.26,0.41,9.6,0
142,6.6,0.26,0.56,15.4,0.053,32,141,0.9981,3.11,0.49,9.3,0
143,5.8,0.36,0.38,0.9,0.037,3,75,0.9904,3.28,0.34,11.4,0
144,8,0.32,0.26,1.2,0.05,11.5,88,0.9946,3.24,0.37,9.5,0
145,6.9,0.26,0.29,4.2,0.043,33,114,0.9902,3.16,0.31,12.5,0
146,7.6,0.18,0.36,2.4,0.049,38,123,0.996,3.6,0.46,10.3,0
147,6.5,0.22,0.19,1.1,0.064,36,191,0.99297,3.05,0.5,9.5,0
148,6.4,0.36,0.2,5.7,0.118,61,172,0.9946,3.24,0.43,9.5,0
149,7.6,0.33,0.36,2.1,0.034,26,172,0.9944,3.42,0.48,10.5,0
150,7.2,0.19,0.27,11.2,0.061,46,149,0.99772,2.99,0.59,9.3,0
151,7.5,0.42,0.14,10.7,0.046,18,95,0.9959,3.22,0.33,10.7,0
152,7.4,0.24,0.26,1.6,0.058,53,150,0.9936,3.18,0.5,9.9,0
153,6.6,0.25,0.31,12.4,0.059,52,181,0.9984,3.51,0.47,9.8,0
154,6.2,0.45,0.26,4.4,0.063,63,206,0.994,3.27,0.52,9.8,0
155,6.4,0.31,0.28,2.5,0.039,34,137,0.98946,3.22,0.38,12.7,0
156,6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,0
157,6.9,0.38,0.38,13.1,0.112,14,94,0.99792,3.02,0.48,9.2,0
158,8.6,0.22,0.33,1.2,0.031,38,95,0.99239,2.83,0.31,10.3,0
159,7.6,0.17,0.35,1.6,0.047,43,154,0.9934,3.36,0.69,11.1,0
160,6.7,0.23,0.39,2.5,0.172,63,158,0.9937,3.11,0.36,9.4,0
161,5.8,0.27,0.22,12.7,0.058,42,206,0.9946,3.32,0.38,12.3,0
162,6.2,0.3,0.3,2.5,0.041,29,82,0.99065,3.31,0.61,11.8,0
163,6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5,0
164,6.8,0.73,0.2,6.6,0.054,25,65,0.99324,3.12,0.28,11.1,0
165,5.5,0.16,0.31,1.2,0.026,31,68,0.9898,3.33,0.44,11.65,0
166,8.1,0.27,0.35,1.7,0.03,38,103,0.99255,3.22,0.63,10.4,0
167,6,0.25,0.4,5.7,0.052,56,152,0.99398,3.16,0.88,10.5,0
168,6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,0
169,5.9,0.2,0.23,1.5,0.037,38,93,0.99021,3.36,0.49,12,0
170,5.7,0.27,0.16,9,0.053,32,111,0.99474,3.36,0.37,10.4,0
171,6.4,0.14,0.28,7.9,0.057,21,82,0.99425,3.26,0.36,10,0
172,6.8,0.22,0.31,6.3,0.035,33,170,0.9918,3.24,0.66,12.6,0
173,6.8,0.22,0.32,5.9,0.054,40,152,0.9938,3.2,0.57,10.8,0
174,7,0.12,0.29,10.3,0.039,41,98,0.99564,3.19,0.38,9.8,0
175,6.9,0.25,0.33,1.2,0.035,35,158,0.99082,3.02,0.58,11.3,0
176,5.9,0.445,0.26,1.4,0.027,23,109,0.99148,3.3,0.36,10.5,0
177,8.4,0.57,0.44,10.7,0.051,46,195,0.9981,3.15,0.51,10.4,0
178,6.5,0.32,0.23,1.2,0.054,39,208,0.99272,3.18,0.46,9.9,0
179,7.1,0.18,0.39,15.25,0.047,45,158,0.99946,3.34,0.77,9.1,0
180,6.2,0.36,0.22,5.25,0.038,44,145,0.99184,3.22,0.4,11.2,0
181,7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,0
182,9.7,0.24,0.49,4.9,0.032,3,18,0.99368,2.85,0.54,10,0
183,6.7,0.14,0.51,4.3,0.028,57,124,0.99176,2.91,0.54,10.7,0
184,7.5,0.23,0.68,11,0.047,37,133,0.9978,2.99,0.38,8.8,0
185,7.7,0.24,0.29,15.3,0.044,39,194,0.9982,3.06,0.47,9.6,0
186,7,0.25,0.32,9,0.046,56,245,0.9955,3.25,0.5,10.4,0
187,8.2,0.42,0.29,4.1,0.03,31,100,0.9911,3,0.32,12.8,0
188,6,0.21,0.3,8.7,0.036,47,127,0.99368,3.18,0.39,10.6,0
189,5.9,0.655,0,5.6,0.033,8,31,0.9936,3.32,0.51,10.5,0
190,7,0.24,0.24,1.8,0.047,29,91,0.99251,3.3,0.43,9.9,0
191,7.3,0.26,0.32,1.2,0.041,29,94,0.98978,3.07,0.45,12,0
192,6.7,0.25,0.26,13.5,0.06,50,156,0.99784,3.39,0.46,9.9,0
193,7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,0
194,6.5,0.18,0.26,1.4,0.041,40,141,0.9941,3.34,0.72,9.5,0
195,6.9,0.21,0.33,1.4,0.056,35,136,0.9938,3.63,0.78,10.3,0
196,7.1,0.25,0.28,1.6,0.052,46,169,0.9926,3.05,0.41,10.5,0
197,7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,0
198,6.1,0.14,0.25,1.3,0.047,37,173,0.9925,3.35,0.46,10,0
199,6.9,0.27,0.4,14,0.05,64,227,0.9979,3.18,0.58,9.6,0
200,5.8,0.3,0.12,1.6,0.036,57,163,0.99239,3.38,0.59,10.5,0
201,8.2,0.61,0.45,5.4,0.03,15,118,0.9954,3.14,0.34,9.6,0
202,6.9,0.34,0.49,7.3,0.045,61,206,0.9957,3.09,0.4,9,0
203,6.6,0.22,0.28,4.9,0.042,51,180,0.9952,3.3,0.75,9.5,0
204,6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,0
205,7.8,0.965,0.6,65.8,0.074,8,160,1.03898,3.39,0.69,11.7,0
206,8,0.33,0.35,10,0.035,22,108,0.99457,3.12,0.36,11.6,0
207,6.9,0.34,0.36,1.4,0.032,13,145,0.99214,3.07,0.52,9.8,0
208,6.6,0.22,0.37,15.4,0.035,62,153,0.99845,3.02,0.4,9.3,0
209,3.8,0.31,0.02,11.1,0.036,20,114,0.99248,3.75,0.44,12.4,0
210,6.1,0.16,0.24,1.4,0.046,17,77,0.99319,3.66,0.57,10.3,0
211,6.3,0.21,0.31,1.2,0.043,30,117,0.99158,3.49,0.68,11,0
212,7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,0
213,6,0.26,0.5,2.2,0.048,59,153,0.9928,3.08,0.61,9.8,0
214,6,0.2,0.32,3,0.031,26,118,0.99134,3.38,0.68,11.2,0
215,6.7,0.25,0.13,1.2,0.041,81,174,0.992,3.14,0.42,9.8,0
216,7,0.23,0.42,1.1,0.062,35,100,0.99318,3.04,0.4,9.2,0
217,7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,0
218,6,0.19,0.37,9.7,0.032,17,50,0.9932,3.08,0.66,12,0
219,6.6,0.38,0.36,9.2,0.061,42,214,0.9976,3.31,0.56,9.4,0
220,6.5,0.26,0.43,8.9,0.083,50,171,0.9965,2.85,0.5,9,0
221,6.6,0.36,0.24,0.9,0.038,15,72,0.99066,3.23,0.39,11,0
222,5.9,0.435,0.16,6.4,0.031,21,134,0.99151,3.24,0.46,12.2,0
223,7.1,0.26,0.3,2,0.031,13,128,0.9917,3.19,0.49,11.4,0
224,6.6,0.36,0.52,11.3,0.046,8,110,0.9966,3.07,0.46,9.4,0
225,6.3,0.29,0.4,6.5,0.039,43,167,0.9953,3.15,0.44,9.3,0
226,5.8,0.27,0.2,14.95,0.044,22,179,0.9962,3.37,0.37,10.2,0
227,7.2,0.33,0.22,4.5,0.031,10,73,0.99076,2.97,0.52,12.2,0
228,6.6,0.3,0.24,1.2,0.034,17,121,0.9933,3.13,0.36,9.2,0
229,7.8,0.18,0.46,12.6,0.042,41,143,1,3.24,0.76,8.5,0
230,6,0.21,0.24,12.1,0.05,55,164,0.997,3.34,0.39,9.4,0
231,6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,0
232,6.2,0.22,0.49,6,0.029,31,128,0.9928,3.41,0.36,11.3,0
233,6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,0
234,7,0.2,0.3,6.1,0.037,31,120,0.9939,3.24,0.51,10.8,0
235,7.7,0.25,0.49,2.5,0.047,31,169,0.99252,3.07,0.57,10.6,0
236,6.8,0.27,0.32,1.5,0.044,19,142,0.9921,3.1,0.43,9.9,0
237,7.8,0.34,0.35,1.8,0.042,8,167,0.9908,3.11,0.41,12.1,0
238,7.1,0.31,0.5,14.5,0.059,6,148,0.9983,2.94,0.44,9.1,0
239,6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,0
240,6.4,0.35,0.51,7.8,0.055,53,177,0.99502,3.12,0.45,9.6,0
241,6.5,0.13,0.37,1,0.036,48,114,0.9911,3.41,0.51,11.5,0
242,6.3,0.24,0.22,11.9,0.05,65,179,0.99659,3.06,0.58,9.3,0
243,5.8,0.58,0,1.5,0.02,33,96,0.98918,3.29,0.38,12.4,0
244,7.5,0.22,0.32,2.4,0.045,29,100,0.99135,3.08,0.6,11.3,0
245,7.4,0.25,0.36,2.05,0.05,31,100,0.992,3.19,0.44,10.8,0
246,7,0.13,0.37,12.85,0.042,36,105,0.99581,3.05,0.55,10.7,0
247,5.8,0.26,0.18,1.2,0.031,40,114,0.9908,3.42,0.4,11,0
248,6.1,0.28,0.25,6.9,0.056,44,201,0.9955,3.19,0.4,9.1,0
249,6.5,0.24,0.19,1.2,0.041,30,111,0.99254,2.99,0.46,9.4,0
250,7,0.14,0.49,5.9,0.053,22,118,0.9954,3.36,0.36,9.4,0
251,6.7,0.39,0.24,2.7,0.017,22,80,0.99084,3.03,0.37,11.5,0
252,8.4,0.16,0.33,1.5,0.033,16,98,0.994,3.14,0.42,9.7,0
253,7.3,0.22,0.5,13.7,0.049,56,189,0.9994,3.24,0.66,9,0
254,7.5,0.28,0.41,1.3,0.044,11,126,0.99293,3.28,0.45,10.3,0
255,7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11,0
256,6.8,0.21,0.4,6.3,0.032,40,121,0.99214,3.18,0.53,12,0
257,7.8,0.28,0.34,1.6,0.028,32,118,0.9901,3,0.38,12.1,0
258,5.2,0.335,0.2,1.7,0.033,17,74,0.99002,3.34,0.48,12.3,0
259,6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,0
260,5.8,0.2,0.24,1.4,0.033,65,169,0.99043,3.59,0.56,12.3,0
261,6.8,0.17,0.34,2,0.04,38,111,0.99,3.24,0.45,12.9,0
262,7.8,0.16,0.41,1.7,0.026,29,140,0.991,3.02,0.78,12.5,0
263,6.5,0.28,0.35,15.4,0.042,55,195,0.9978,3.23,0.5,9.6,0
264,6.8,0.24,0.31,18.3,0.046,40,142,1,3.3,0.41,8.7,0
265,7.1,0.2,0.31,7.4,0.053,32,211,0.99587,3.31,0.59,10.4,0
266,8.8,0.28,0.45,6,0.022,14,49,0.9934,3.01,0.33,11.1,0
267,6.7,0.24,0.26,5.4,0.03,15,94,0.99045,3.15,0.38,12.7,0
268,5.9,0.22,0.18,6.4,0.041,28,120,0.99403,3.27,0.5,9.9,0
269,6.9,0.32,0.27,16,0.034,58,185,0.99938,3.34,0.6,9,0
270,7.5,0.23,0.3,1.2,0.03,27,80,0.99192,3.05,0.68,10.5,0
271,7,0.17,0.36,6.4,0.055,42,123,0.99318,3.11,0.5,11,0
272,5.6,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,0
273,5.2,0.365,0.08,13.5,0.041,37,142,0.997,3.46,0.39,9.9,0
274,6.3,0.32,0.32,1.5,0.03,24,101,0.98923,3.21,0.42,13,0
275,6.8,0.12,0.31,5.2,0.045,29,120,0.9942,3.41,0.46,9.8,0
276,7,0.16,0.25,14.3,0.044,27,149,0.998,2.91,0.46,9.2,0
277,7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,0
278,8.8,0.34,0.33,9.7,0.036,46,172,0.9966,3.08,0.4,10.2,0
279,6.4,0.19,0.42,2.9,0.032,32,83,0.9908,3.3,0.41,11.7,0
280,6.6,0.43,0.24,11.9,0.04,54,159,0.99622,3.14,0.54,9.8,0
281,6.5,0.08,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12,0
282,7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,0
283,5.7,0.43,0.3,5.7,0.039,24,98,0.992,3.54,0.61,12.3,0
284,6.2,0.25,0.28,8.5,0.035,28,108,0.99486,3.4,0.42,10.4,0
285,6.7,0.34,0.43,1.6,0.041,29,114,0.99014,3.23,0.44,12.6,0
286,6.3,0.2,0.26,4.7,0.04,108,168,0.99278,3.07,0.75,10.7,0
287,5.6,0.35,0.4,6.3,0.022,23,174,0.9922,3.54,0.5,11.6,0
288,7.3,0.19,0.68,1.5,0.05,31,156,0.9946,3.32,0.64,9.4,0
289,8.6,0.26,0.41,2.2,0.049,29,111,0.9941,2.96,0.44,10,0
290,6.6,0.435,0.38,9.2,0.058,66,243,0.99833,3.23,0.54,9.1,0
291,6.1,0.16,0.27,12.6,0.064,63,162,0.9994,3.66,0.43,8.9,0
292,10.3,0.17,0.47,1.4,0.037,5,33,0.9939,2.89,0.28,9.6,0
293,7.2,0.22,0.49,1,0.045,34,140,0.99,3.05,0.34,12.7,0
294,5.4,0.375,0.4,3.3,0.054,29,147,0.99482,3.42,0.52,9.1,0
295,7.7,0.31,0.26,7.8,0.031,23,90,0.9944,3.13,0.5,10.4,0
296,6.9,0.23,0.35,6.9,0.03,45,116,0.99244,2.8,0.54,11,0
297,7.1,0.31,0.25,11.2,0.048,32,136,0.99663,3.14,0.4,9.5,0
298,6.9,0.19,0.35,13.5,0.038,49,118,0.99546,3,0.63,10.7,0
299,6.1,0.68,0.52,1.4,0.037,32,123,0.99022,3.24,0.45,12,0
300,6.8,0.2,0.38,4.7,0.04,27,103,0.994,3.37,0.58,10.7,0
301,7,0.36,0.35,2.5,0.048,67,161,0.99146,3.05,0.56,11.1,0
302,6.4,0.28,0.44,7.1,0.048,49,179,0.99528,3.15,0.48,9.2,0
303,6.8,0.19,0.4,9.85,0.055,41,103,0.99532,2.98,0.56,10.5,0
304,6.6,0.25,0.34,3,0.054,22,141,0.99338,3.26,0.47,10.4,0
305,7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6,0
306,6.5,0.39,0.23,5.4,0.051,25,149,0.9934,3.24,0.35,10,0
307,7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,0
308,6.4,0.17,0.27,9.9,0.047,26,101,0.99596,3.34,0.5,9.9,0
309,6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,0
310,7.6,0.3,0.38,2.1,0.043,10,98,0.99296,3.17,0.65,11,0
311,5.8,0.36,0.32,1.7,0.033,22,96,0.9898,3.03,0.38,11.2,0
312,6.1,0.22,0.46,1.8,0.16,34,74,0.9884,3.19,0.33,13.4,0
