Id,type
533,0
534,1
535,1
536,1
537,1
538,1
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,1
547,0
548,0
549,0
550,0
551,0
552,1
553,0
554,0
555,0
556,0
557,0
558,0
559,1
560,0
561,0
562,0
563,1
564,1
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,1
573,0
574,1
575,1
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,1
585,0
586,0
587,0
588,1
589,1
590,0
591,0
592,1
593,0
594,0
595,1
596,1
597,0
598,0
599,0
600,0
601,1
602,1
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,1
616,0
617,1
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,1
626,0
627,1
628,0
629,0
630,0
631,0
632,1
633,1
634,1
635,0
636,0
637,0
638,0
639,1
640,0
641,1
642,0
643,1
644,0
645,0
646,0
647,0
648,1
649,0
650,0
651,0
652,0
653,1
654,0
655,0
656,0
657,0
658,0
659,0
660,1
661,0
662,0
663,1
664,0
665,1
666,0
667,0
668,1
669,0
670,0
671,0
672,0
673,1
674,1
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,1
683,1
684,0
685,1
686,0
687,0
688,0
689,0
690,1
691,0
692,0
693,0
694,1
695,0
696,0
697,0
698,0
699,0
700,1
701,1
702,0
703,1
704,1
705,0
706,0
707,0
708,0
709,0
710,1
711,0
712,0
713,1
714,0
715,0
716,1
717,0
718,0
719,1
720,0
721,0
722,0
723,0
724,0
725,1
726,0
727,0
728,0
729,0
730,1
731,0
732,0
733,0
734,1
735,1
736,0
737,0
738,0
739,0
740,0
741,1
742,0
743,0
744,0
745,1
746,0
747,0
748,0
749,1
750,1
751,0
752,1
753,0
754,0
755,0
756,1
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,1
765,0
766,0
767,0
768,1
769,0
770,1
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,1
780,0
781,1
782,1
783,1
784,1
785,0
786,0
787,1
788,1
789,0
790,0
791,0
792,1
793,0
794,0
795,0
796,1
797,0
798,1
799,1
800,0
801,0
802,0
803,0
804,0
805,1
806,0
807,0
808,1
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,1
817,0
818,1
819,1
820,1
821,0
822,0
823,0
824,0
825,0
826,0
827,1
828,0
829,0
830,0
831,0
832,1
833,1
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,1
842,0
843,0
844,0
845,0
846,1
847,0
848,0
849,0
850,0
851,0
852,1
853,0
854,0
855,1
856,0
857,0
858,0
859,1
860,0
861,1
862,0
863,0
864,0
865,0
866,0
867,0
868,1
869,0
870,0
871,0
872,1
873,0
874,1
875,0
876,0
877,0
878,0
879,1
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,1
899,1
900,0
901,0
902,1
903,0
904,0
905,0
906,1
907,0
908,1
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,1
922,0
923,0
924,0
925,0
926,0
927,1
928,0
929,1
930,1
931,1
932,1
933,0
934,0
935,1
936,0
937,0
938,1
939,0
940,1
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,1
960,0
961,0
962,1
963,0
964,0
965,0
966,0
967,0
968,1
969,0
970,1
971,0
972,0
973,1
974,0
975,0
976,0
977,1
978,0
979,0
980,1
981,0
982,0
983,0
984,0
985,1
986,0
987,0
988,0
989,1
990,1
991,0
992,0
993,1
994,1
995,0
996,0
997,0
998,0
999,0
1000,0
1001,1
1002,0
1003,0
1004,1
1005,0
1006,0
1007,1
1008,0
1009,0
1010,1
1011,1
1012,0
1013,0
1014,0
1015,0
1016,1
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,1
1032,0
1033,0
1034,1
1035,0
1036,0
1037,0
1038,0
1039,0
1040,1
1041,0
1042,0
1043,1
1044,0
1045,0
1046,1
1047,0
1048,0
1049,0
1050,1
1051,0
1052,0
1053,0
1054,1
1055,0
1056,0
1057,1
1058,0
1059,0
1060,0
1061,0
1062,1
1063,0
1064,1
1065,0
1066,1
1067,0
1068,0
1069,0
1070,0
1071,1
1072,0
1073,0
1074,0
1075,0
1076,1
1077,1
1078,0
1079,1
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,0
1088,0
1089,1
1090,0
1091,0
1092,1
1093,1
1094,1
1095,0
1096,0
1097,1
1098,1
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,1
1109,1
1110,0
1111,0
1112,0
1113,0
1114,0
1115,1
1116,0
1117,0
1118,0
1119,0
1120,1
1121,0
1122,0
1123,0
1124,1
1125,0
1126,0
1127,0
1128,0
1129,1
1130,1
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,1
1138,0
1139,0
1140,0
1141,0
1142,0
1143,0
1144,1
1145,0
1146,0
1147,1
1148,1
1149,0
1150,0
1151,0
1152,0
1153,1
1154,1
1155,1
1156,0
1157,0
1158,0
1159,0
1160,1
1161,0
1162,0
1163,0
1164,0
1165,0
1166,1
1167,0
1168,1
1169,1
1170,0
1171,1
1172,0
1173,1
1174,1
1175,1
1176,0
1177,1
1178,0
1179,0
1180,0
1181,1
1182,1
1183,0
1184,0
1185,0
1186,0
1187,0
1188,1
1189,1
1190,0
1191,1
1192,0
1193,0
1194,1
1195,0
1196,1
1197,0
1198,1
1199,0
1200,0
1201,1
1202,1
1203,0
1204,1
1205,0
1206,1
1207,0
1208,0
1209,1
1210,1
1211,0
1212,0
1213,1
1214,0
1215,0
1216,0
1217,0
1218,0
1219,0
1220,1
1221,0
1222,0
1223,0
1224,0
1225,0
1226,1
1227,0
1228,1
1229,1
1230,0
1231,0
1232,0
1233,0
1234,1
1235,0
1236,0
1237,1
1238,1
1239,1
1240,0
1241,0
1242,0
1243,0
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,0
1252,0
1253,0
1254,0
1255,0
1256,0
1257,1
1258,0
1259,1
1260,0
1261,0
1262,0
1263,1
1264,0
1265,0
1266,0
1267,1
1268,0
1269,0
1270,0
1271,0
1272,0
1273,0
1274,0
1275,1
1276,1
1277,1
1278,1
1279,0
1280,1
1281,0
1282,1
1283,0
1284,0
1285,0
1286,0
1287,0
1288,0
1289,0
1290,0
1291,0
1292,0
1293,0
1294,0
1295,0
1296,1
1297,0
1298,1
1299,1
1300,0
1301,0
1302,1
1303,0
1304,1
1305,0
1306,1
1307,0
1308,1
1309,1
1310,0
1311,0
1312,0
1313,0
1314,1
1315,0
1316,1
1317,0
1318,1
1319,0
1320,0
1321,0
1322,1
1323,0
1324,1
1325,0
1326,0
1327,0
1328,1
1329,0
1330,0
1331,0
1332,0
1333,1
1334,1
1335,0
1336,0
1337,1
1338,0
1339,0
1340,1
1341,1
1342,1
1343,0
1344,1
1345,0
1346,1
1347,0
1348,0
1349,0
1350,1
1351,0
1352,1
1353,0
1354,0
1355,1
1356,0
1357,0
1358,1
1359,0
1360,0
1361,0
1362,0
1363,1
1364,1
1365,0
1366,0
1367,0
1368,0
1369,1
1370,0
1371,1
1372,1
1373,1
1374,0
1375,0
1376,0
1377,1
1378,0
1379,1
1380,0
1381,0
1382,1
1383,0
1384,0
1385,1
1386,0
1387,0
1388,0
1389,0
1390,0
1391,1
1392,0
1393,0
1394,0
1395,0
1396,0
1397,0
1398,1
1399,1
