id;label
230;"Middle East & North Africa (IDA & IBRD countries)"
231;"Tonga"
232;"South Asia (IDA & IBRD)"
233;"Sub-Saharan Africa (IDA & IBRD countries)"
234;"Trinidad and Tobago"
235;"Tunisia"
236;"Turkey"
237;"Tuvalu"
238;"Tanzania"
239;"Uganda"
240;"Ukraine"
241;"Upper middle income"
242;"Uruguay"
243;"United States"
244;"Uzbekistan"
245;"St. Vincent and the Grenadines"
246;"Venezuela, RB"
247;"British Virgin Islands"
248;"Virgin Islands (U.S.)"
249;"Vietnam"
250;"Vanuatu"
251;"World"
252;"Samoa"
253;"Kosovo"
254;"Yemen, Rep."
255;"South Africa"
256;"Zambia"
257;"Zimbabwe"
