STATEFIPS,STATE,ZIPCODE,N1,A00100,Avg
25,MA,1103,1070,40049,37.42897196
25,MA,1104,10230,353231,34.52893451
25,MA,1105,4030,94332,23.40744417
25,MA,1106,7590,1225503,161.4628458
25,MA,1107,3970,123552,31.12141058
25,MA,1108,11520,416993,36.19730903
25,MA,1109,11580,365149,31.53272884
25,MA,1118,7270,365884,50.32792297
25,MA,1119,5960,255532,42.87449664
25,MA,1128,1440,83550,58.02083333
25,MA,1129,3740,183708,49.1197861
25,MA,1151,3960,132266,33.40050505
25,MA,1201,22270,1203173,54.02662775
25,MA,1220,4280,199386,46.58551402
25,MA,1222,440,21010,47.75
25,MA,1223,1150,69810,60.70434783
25,MA,1225,1690,99977,59.15798817
25,MA,1226,3300,215629,65.34212121
25,MA,1230,3760,283423,75.37845745
25,MA,1235,1470,87898,59.79455782
25,MA,1236,860,48558,56.4627907
25,MA,1237,1550,95119,61.36709677
25,MA,1238,3060,177552,58.02352941
25,MA,1240,2510,235973,94.01314741
25,MA,1242,300,15511,51.70333333
25,MA,1243,140,10630,75.92857143
25,MA,1244,170,14689,86.40588235
25,MA,1245,400,28544,71.36
25,MA,1247,6750,282595,41.86592593
25,MA,1253,460,31185,67.79347826
25,MA,1254,600,65940,109.9
25,MA,1255,330,17554,53.19393939
25,MA,1256,370,18975,51.28378378
25,MA,1257,1240,83622,67.43709677
25,MA,1258,380,31604,83.16842105
25,MA,1259,260,16493,63.43461538
25,MA,1260,150,7293,48.62
25,MA,1262,780,70495,90.37820513
25,MA,1264,100,9003,90.03
25,MA,1266,740,67655,91.42567568
25,MA,1267,2910,303789,104.3948454
25,MA,1270,390,25498,65.37948718
25,MA,1301,8310,420240,50.57039711
25,MA,1330,750,52837,70.44933333
25,MA,1331,6240,300642,48.17980769
25,MA,1337,1350,81400,60.2962963
25,MA,1338,140,7945,56.75
25,MA,1339,730,37288,51.07945205
25,MA,1340,870,45413,52.19885057
25,MA,1341,830,75028,90.39518072
25,MA,1342,700,48727,69.61
25,MA,1344,780,38472,49.32307692
25,MA,1346,180,9067,50.37222222
25,MA,1349,400,19676,49.19
25,MA,1351,1290,76378,59.20775194
25,MA,1354,810,47685,58.87037037
25,MA,1355,470,27201,57.87446809
25,MA,1360,1520,89229,58.70328947
25,MA,1364,3490,159912,45.82005731
25,MA,1366,620,42845,69.10483871
25,MA,1367,230,11240,48.86956522
25,MA,1368,570,34186,59.9754386
25,MA,1370,2040,112180,54.99019608
25,MA,1373,2360,170578,72.27881356
25,MA,1375,1840,109002,59.24021739
25,MA,1376,2530,105745,41.79644269
25,MA,1378,360,17291,48.03055556
25,MA,1379,400,18816,47.04
25,MA,1420,18530,846302,45.67199137
25,MA,1430,3070,214174,69.76351792
25,MA,1431,1600,106538,66.58625
25,MA,1432,4150,286600,69.06024096
25,MA,1434,210,19713,93.87142857
25,MA,1436,1450,80231,55.33172414
25,MA,1438,260,12932,49.73846154
25,MA,1440,9430,452679,48.00413574
25,MA,1450,5220,794759,152.252682
25,MA,1451,2490,457631,183.7875502
25,MA,1452,2200,152900,69.5
25,MA,1453,21390,1233283,57.65698925
25,MA,1460,4820,514065,106.6524896
25,MA,1462,5670,446097,78.67671958
25,MA,1463,5800,459714,79.26103448
25,MA,1464,3100,220071,70.99064516
25,MA,1467,110,16892,153.5636364
25,MA,1468,2130,131566,61.76807512
25,MA,1469,3650,254052,69.60328767
25,MA,1473,4100,316980,77.31219512
25,MA,1474,1060,73234,69.08867925
25,MA,1475,4690,243098,51.83326226
25,MA,1501,8720,593553,68.06800459
25,MA,1503,1610,157353,97.73478261
25,MA,1504,4720,304478,64.50805085
25,MA,1505,2370,263000,110.9704641
25,MA,1506,1620,102278,63.1345679
25,MA,1507,6320,484653,76.68560127
25,MA,1510,7670,440419,57.42099087
25,MA,1515,1120,72622,64.84107143
25,MA,1516,4500,344889,76.642
25,MA,1518,1520,147633,97.12697368
25,MA,1519,3520,429835,122.1122159
25,MA,1520,7750,720426,92.95819355
25,MA,1521,1210,83486,68.99669421
25,MA,1522,1800,143356,79.64222222
25,MA,1523,3090,287457,93.02815534
25,MA,1524,3390,218189,64.36253687
25,MA,1525,230,10546,45.85217391
25,MA,1527,7000,468404,66.91485714
25,MA,1529,1590,105359,66.26352201
25,MA,1531,490,32431,66.18571429
25,MA,1532,7850,878611,111.9249682
25,MA,1534,3110,251492,80.86559486
25,MA,1535,2280,132357,58.05131579
25,MA,1536,3630,376741,103.7853994
25,MA,1537,1230,71093,57.79918699
25,MA,1540,5710,353782,61.95831874
25,MA,1541,1790,194063,108.4150838
25,MA,1542,1160,74755,64.44396552
25,MA,1543,4170,326692,78.34340528
25,MA,1545,17900,2045476,114.2724022
25,MA,1550,8270,362305,43.8095526
25,MA,1560,2200,180799,82.18136364
25,MA,1561,340,19146,56.31176471
25,MA,1562,5800,341044,58.80068966
25,MA,1564,4120,384417,93.30509709
25,MA,1566,3410,296463,86.93929619
25,MA,1568,3840,432787,112.7049479
25,MA,1569,6910,514056,74.39305355
25,MA,1570,8750,468554,53.54902857
25,MA,1571,5460,336529,61.63534799
25,MA,1581,9750,1208426,123.9411282
25,MA,1583,3770,288088,76.41591512
25,MA,1585,2100,139988,66.66095238
25,MA,1588,5020,337483,67.22768924
25,MA,1590,4560,477303,104.6717105
25,MA,1602,11320,670125,59.19832155
25,MA,1603,9480,386090,40.72679325
25,MA,1604,17990,849812,47.23802112
25,MA,1605,11970,526982,44.02522974
25,MA,1606,10610,617638,58.2128181
25,MA,1607,4190,176099,42.02840095
25,MA,1608,1630,65187,39.99202454
25,MA,1609,7440,561769,75.50658602
25,MA,1610,9010,270027,29.96970033
25,MA,1611,1180,59810,50.68644068
25,MA,1612,2310,201476,87.21904762
25,MA,1701,16810,1641820,97.6692445
25,MA,1702,15960,934059,58.525
25,MA,1718,320,29821,93.190625
25,MA,1719,2640,348236,131.9075758
25,MA,1720,10480,1643419,156.8147901
25,MA,1721,8890,880940,99.09336333
25,MA,1730,6900,979819,142.0027536
25,MA,1731,800,49420,61.775
25,MA,1740,2510,393033,156.5868526
25,MA,1741,2510,601726,239.7314741
25,MA,1742,8710,2402352,275.8153846
25,MA,1745,260,25879,99.53461538
25,MA,1746,7060,837442,118.617847
25,MA,1747,3060,254346,83.11960784
25,MA,1748,7880,1434984,182.1045685
25,MA,1749,10330,780205,75.52807357
25,MA,1752,20290,1488058,73.33947758
25,MA,1754,5470,429059,78.43857404
25,MA,1756,3110,363852,116.9942122
25,MA,1757,14270,1023481,71.72256482
25,MA,1760,17690,2090031,118.1475975
25,MA,1770,2030,722040,355.6847291
25,MA,1772,4880,1050213,215.207582
25,MA,1773,2880,965032,335.0805556
25,MA,1775,3420,472735,138.2266082
25,MA,1776,8180,2019538,246.8872861
25,MA,1778,6800,2118651,311.5663235
25,MA,1801,21590,1636919,75.81838814
25,MA,1803,13270,1283250,96.70308968
25,MA,1810,16250,2804656,172.5942154
25,MA,1821,16570,1254878,75.73192517
25,MA,1824,13310,1604924,120.5803156
25,MA,1826,16740,1126732,67.30776583
25,MA,1827,1630,191560,117.5214724
25,MA,1830,12600,717257,56.92515873
25,MA,1832,12110,665109,54.92229562
25,MA,1833,4190,443403,105.824105
25,MA,1834,3390,283183,83.53480826
25,MA,1835,7550,503599,66.7018543
25,MA,1840,2350,62744,26.69957447
25,MA,1841,23920,691727,28.91835284
25,MA,1843,13260,491392,37.05822021
25,MA,1844,26460,1567298,59.23272865
25,MA,1845,14470,1752046,121.0812716
25,MA,1850,7560,305796,40.44920635
25,MA,1851,15710,704588,44.8496499
25,MA,1852,16990,876617,51.5960565
25,MA,1854,11330,503238,44.41641659
25,MA,1860,3460,269150,77.78901734
25,MA,1862,5050,392446,77.71207921
25,MA,1863,4830,367198,76.02443064
25,MA,1864,7870,927251,117.8209657
25,MA,1867,12690,1586059,124.9849488
25,MA,1876,16330,1304269,79.86950398
25,MA,1879,6260,539304,86.15079872
25,MA,1880,14000,1298961,92.78292857
25,MA,1886,11540,1501208,130.0873484
25,MA,1887,12140,1069743,88.11721582
25,MA,1890,10330,2416038,233.885576
25,MA,1901,900,31655,35.17222222
25,MA,1902,21780,841449,38.63402204
25,MA,1904,10400,623900,59.99038462
25,MA,1905,12660,530208,41.88056872
25,MA,1906,14880,1018516,68.44865591
25,MA,1907,7500,1065796,142.1061333
25,MA,1908,1940,229671,118.3871134
25,MA,1913,8740,651326,74.52242563
25,MA,1915,20010,1814884,90.69885057
25,MA,1921,3860,799278,207.0668394
25,MA,1922,1630,180196,110.5496933
25,MA,1923,14640,1201977,82.1022541
25,MA,1929,1800,198464,110.2577778
25,MA,1930,15220,1165545,76.57982917
25,MA,1938,7390,753073,101.9043302
25,MA,1940,6570,996825,151.7237443
25,MA,1944,2660,727724,273.5804511
25,MA,1945,10400,1754216,168.6746154
25,MA,1949,4400,526620,119.6863636
25,MA,1950,9430,1096164,116.2422057
25,MA,1951,1900,272481,143.4110526
25,MA,1952,4690,297706,63.47675906
25,MA,1960,28120,1842896,65.53684211
25,MA,1966,3840,355779,92.65078125
25,MA,1969,3160,301197,95.31550633
25,MA,1970,22250,1351337,60.73424719
25,MA,1982,3470,614315,177.0360231
25,MA,1983,3140,496584,158.1477707
25,MA,1984,1830,346592,189.3945355
25,MA,1985,2230,320694,143.8089686
25,MA,2019,8730,621012,71.13539519
25,MA,2021,11730,1386798,118.2265985
25,MA,2025,3800,1010057,265.8044737
25,MA,2026,13140,1449983,110.3487823
25,MA,2030,2790,1303312,467.1369176
25,MA,2032,2250,241323,107.2546667
25,MA,2035,9260,987808,106.67473
25,MA,2038,15940,1683597,105.6208908
25,MA,2043,11090,2541047,229.1295762
25,MA,2045,5650,448477,79.37646018
25,MA,2047,370,24818,67.07567568
25,MA,2048,12210,1135164,92.97002457
25,MA,2050,12070,1149801,95.26106048
25,MA,2052,5980,1221078,204.1936455
25,MA,2053,6530,688352,105.4137825
25,MA,2054,4320,363244,84.08425926
25,MA,2056,4820,639174,132.6087137
25,MA,2061,5350,1013223,189.3874766
25,MA,2062,15800,1332516,84.3364557
25,MA,2066,9190,1221290,132.8933624
25,MA,2067,8270,1274970,154.1680774
25,MA,2071,490,51085,104.255102
25,MA,2072,14930,988840,66.23174816
25,MA,2081,9830,1134758,115.4382503
25,MA,2090,7530,1736846,230.6568393
25,MA,2093,5690,651854,114.5613357
25,MA,2108,2650,1377150,519.6792453
25,MA,2109,2710,946351,349.2070111
25,MA,2110,2280,1419581,622.6232456
25,MA,2111,3620,838341,231.5859116
25,MA,2113,4440,370807,83.51509009
25,MA,2114,7450,1261921,169.3853691
25,MA,2115,7800,995903,127.6798718
25,MA,2116,10860,5218814,480.5537753
25,MA,2118,13860,2015055,145.3863636
25,MA,2119,13590,509046,37.45739514
25,MA,2120,5320,196718,36.97706767
25,MA,2121,12820,411537,32.10117005
25,MA,2122,12460,588430,47.22552167
25,MA,2124,25410,1145900,45.09641873
25,MA,2125,17170,819082,47.7042516
25,MA,2126,12220,477061,39.0393617
25,MA,2127,21410,1925792,89.94824848
25,MA,2128,20410,924855,45.31381676
25,MA,2129,9990,1311680,131.2992993
25,MA,2130,20260,1681648,83.00335637
25,MA,2131,16310,1015804,62.28105457
25,MA,2132,14060,1297935,92.31401138
25,MA,2134,10700,519568,48.55775701
25,MA,2135,23160,1328533,57.36325561
25,MA,2136,18490,915838,49.53153056
25,MA,2138,14990,2874981,191.7932622
25,MA,2139,18690,1626768,87.03948636
25,MA,2140,10590,1066253,100.6848914
25,MA,2141,7130,580961,81.48120617
25,MA,2142,1690,275021,162.7343195
25,MA,2143,15340,1088333,70.94739244
25,MA,2144,14590,1186672,81.33461275
25,MA,2145,14490,820908,56.65341615
25,MA,2148,32220,1658736,51.48156425
25,MA,2149,22330,978636,43.82606359
25,MA,2150,18100,725726,40.09535912
25,MA,2151,27450,1344951,48.99639344
25,MA,2152,9380,661375,70.50906183
25,MA,2155,30970,2237006,72.23138521
25,MA,2163,440,43240,98.27272727
25,MA,2169,30400,1934155,63.62351974
25,MA,2170,10700,615576,57.53046729
25,MA,2171,10260,755516,73.63703704
25,MA,2176,14580,1466202,100.5625514
25,MA,2180,12170,1008014,82.82777321
25,MA,2184,19340,1646174,85.11758014
25,MA,2186,13090,1972786,150.7093965
25,MA,2188,7660,527984,68.92741514
25,MA,2189,7800,489346,62.73666667
25,MA,2190,9410,704398,74.85632306
25,MA,2191,4570,327417,71.64485777
25,MA,2199,930,444417,477.8677419
25,MA,2210,2750,721965,262.5327273
25,MA,2215,6130,511955,83.51631321
25,MA,2301,30710,1281690,41.73526539
25,MA,2302,17080,761149,44.56375878
25,MA,2322,2420,149272,61.68264463
25,MA,2324,12010,919164,76.53322231
25,MA,2330,5580,359445,64.41666667
25,MA,2332,7000,1320929,188.7041429
25,MA,2333,7380,511259,69.27628726
25,MA,2338,4070,292827,71.94766585
25,MA,2339,7140,825270,115.5840336
25,MA,2341,5290,392542,74.20453686
25,MA,2343,5810,349802,60.20688468
25,MA,2346,12180,771159,63.3135468
25,MA,2347,5750,479616,83.41147826
25,MA,2351,8760,614644,70.16484018
25,MA,2356,6300,759106,120.4930159
25,MA,2359,9050,759597,83.93337017
25,MA,2360,28840,2451045,84.98769071
25,MA,2364,6700,589149,87.93268657
25,MA,2366,120,9423,78.525
25,MA,2367,1490,119684,80.32483221
25,MA,2368,17790,964450,54.21304103
25,MA,2370,9410,559973,59.50828905
25,MA,2375,5330,452993,84.98930582
25,MA,2379,3750,276072,73.6192
25,MA,2382,7620,481871,63.23766404
25,MA,2420,6890,1610757,233.7818578
25,MA,2421,8060,1977481,245.3450372
25,MA,2445,9860,2524047,255.9885396
25,MA,2446,14080,2056813,146.0804688
25,MA,2451,9440,795050,84.22139831
25,MA,2452,6420,564357,87.90607477
25,MA,2453,14580,1025795,70.35631001
25,MA,2458,6390,1145698,179.2954617
25,MA,2459,8580,2348735,273.745338
25,MA,2460,4700,764075,162.5691489
25,MA,2461,3490,657764,188.4710602
25,MA,2462,690,98284,142.4405797
25,MA,2464,1570,171622,109.3133758
25,MA,2465,5800,1792028,308.9703448
25,MA,2466,3410,550524,161.4439883
25,MA,2467,7640,2645782,346.3065445
25,MA,2468,2640,1024387,388.0253788
25,MA,2472,19050,1614745,84.76351706
25,MA,2474,14390,1536637,106.7850591
25,MA,2476,8710,1095850,125.815155
25,MA,2478,12390,2213224,178.6298628
25,MA,2481,6900,3722741,539.5276812
25,MA,2482,4890,1677149,342.9752556
25,MA,2492,9600,2595271,270.3407292
25,MA,2493,5130,3883183,756.9557505
25,MA,2494,4750,762371,160.4991579
25,MA,2532,6020,391056,64.95946844
25,MA,2534,470,48660,103.5319149
25,MA,2535,640,62805,98.1328125
25,MA,2536,10630,743854,69.97685795
25,MA,2537,3110,294466,94.68360129
25,MA,2538,2380,109746,46.11176471
25,MA,2539,3020,250088,82.81059603
25,MA,2540,3960,365876,92.39292929
25,MA,2542,190,8932,47.01052632
25,MA,2543,500,46812,93.624
25,MA,2553,550,40190,73.07272727
25,MA,2554,6280,576289,91.76576433
25,MA,2556,1940,186693,96.23350515
25,MA,2557,1930,125107,64.82227979
25,MA,2558,1130,55930,49.49557522
25,MA,2559,1770,133233,75.27288136
25,MA,2561,430,25840,60.09302326
25,MA,2562,1790,144329,80.63072626
25,MA,2563,5600,446285,79.69375
25,MA,2564,220,33846,153.8454545
25,MA,2568,4350,315881,72.61632184
25,MA,2571,5470,306272,55.99122486
25,MA,2575,1180,98697,83.64152542
25,MA,2576,2160,123648,57.24444444
25,MA,2584,1100,111864,101.6945455
25,MA,2601,7950,337354,42.43446541
25,MA,2630,1110,154617,139.2945946
25,MA,2631,5320,394327,74.12161654
25,MA,2632,5880,436662,74.2622449
25,MA,2633,2270,245317,108.069163
25,MA,2635,2010,209910,104.4328358
25,MA,2637,280,27767,99.16785714
25,MA,2638,1730,150796,87.16531792
25,MA,2639,1810,83669,46.22596685
25,MA,2641,710,65090,91.67605634
25,MA,2642,2190,152858,69.79817352
25,MA,2643,570,67035,117.6052632
25,MA,2644,2220,153484,69.13693694
25,MA,2645,5480,380070,69.35583942
25,MA,2646,1180,97692,82.78983051
25,MA,2647,230,25292,109.9652174
25,MA,2648,4150,304327,73.33180723
25,MA,2649,8100,614867,75.90950617
25,MA,2650,580,58114,100.1965517
25,MA,2651,780,49736,63.76410256
25,MA,2652,650,43831,67.43230769
25,MA,2653,2990,233968,78.25016722
25,MA,2655,2010,282974,140.7830846
25,MA,2657,2530,192467,76.07391304
25,MA,2659,650,48148,74.07384615
25,MA,2660,3460,210693,60.89393064
25,MA,2663,330,21143,64.06969697
25,MA,2664,5320,310533,58.37086466
25,MA,2666,640,52036,81.30625
25,MA,2667,1600,111702,69.81375
25,MA,2668,1820,167057,91.78956044
25,MA,2669,370,39585,106.9864865
25,MA,2670,870,69624,80.02758621
25,MA,2671,690,45716,66.25507246
25,MA,2672,280,27472,98.11428571
25,MA,2673,4640,247973,53.4424569
25,MA,2675,3710,298914,80.56981132
25,MA,2702,2190,169272,77.29315068
25,MA,2703,22680,1443324,63.63862434
25,MA,2715,1780,130759,73.46011236
25,MA,2717,2570,185694,72.25447471
25,MA,2718,3590,215079,59.91058496
25,MA,2719,8250,513342,62.22327273
25,MA,2720,14220,687298,48.33319269
25,MA,2721,11480,433113,37.72761324
25,MA,2723,6590,236233,35.84719272
25,MA,2724,7490,278181,37.14032043
25,MA,2725,1320,75283,57.03257576
25,MA,2726,8060,519024,64.39503722
25,MA,2738,2690,308356,114.6304833
25,MA,2739,3530,375211,106.292068
25,MA,2740,19130,775262,40.52598014
25,MA,2743,5350,338636,63.2964486
25,MA,2744,5200,185414,35.65653846
25,MA,2745,12290,583319,47.46289666
25,MA,2746,6420,203093,31.63442368
25,MA,2747,9380,678211,72.30394456
25,MA,2748,5950,592665,99.60756303
25,MA,2760,13920,1120335,80.48383621
25,MA,2762,4830,389668,80.67660455
25,MA,2763,1070,103913,97.11495327
25,MA,2764,2140,152979,71.48551402
25,MA,2766,9350,737423,78.86877005
25,MA,2767,7400,565644,76.43837838
25,MA,2769,6270,559765,89.27671451
25,MA,2770,2840,249168,87.73521127
25,MA,2771,7650,601742,78.65908497
25,MA,2777,8570,584743,68.23138856
25,MA,2779,3380,260978,77.21242604
25,MA,2780,25300,1310553,51.80051383
25,MA,2790,8440,629567,74.59324645
25,MA,2791,210,25064,119.352381
44,RI,2802,460,27368,59.49565217
44,RI,2804,1460,86776,59.43561644
44,RI,2806,8220,1339903,163.0052311
44,RI,2807,750,57247,76.32933333
44,RI,2808,1120,58301,52.05446429
44,RI,2809,10160,753606,74.1738189
44,RI,2812,680,50050,73.60294118
44,RI,2813,4080,326448,80.01176471
44,RI,2814,3810,267026,70.0855643
44,RI,2815,150,8941,59.60666667
44,RI,2816,16890,1060791,62.80586146
44,RI,2817,3260,263272,80.75828221
44,RI,2818,9790,1330481,135.9020429
44,RI,2822,3140,248090,79.00955414
44,RI,2825,2730,193220,70.77655678
44,RI,2826,460,30302,65.87391304
44,RI,2827,1100,76375,69.43181818
44,RI,2828,3800,300610,79.10789474
44,RI,2830,3230,214557,66.42631579
44,RI,2831,2080,178029,85.59086538
44,RI,2832,2450,160792,65.62938776
44,RI,2833,310,17581,56.71290323
44,RI,2835,3060,416941,136.2552288
44,RI,2837,1780,156897,88.14438202
44,RI,2838,1720,83110,48.31976744
44,RI,2839,910,55309,60.77912088
44,RI,2840,11180,931657,83.33246869
44,RI,2841,270,7040,26.07407407
44,RI,2842,8580,597420,69.62937063
44,RI,2852,12250,1111379,90.72481633
44,RI,2857,4560,350069,76.76951754
44,RI,2858,290,18901,65.17586207
44,RI,2859,3020,178595,59.13741722
44,RI,2860,21560,809882,37.56410019
44,RI,2861,13890,635180,45.72930166
44,RI,2863,8100,223136,27.54765432
44,RI,2864,17700,1372841,77.56163842
44,RI,2865,9100,847298,93.10967033
44,RI,2871,9160,844300,92.17248908
44,RI,2873,160,9204,57.525
44,RI,2874,3120,344330,110.3621795
44,RI,2875,200,10365,51.825
44,RI,2876,740,45759,61.83648649
44,RI,2878,8320,592557,71.22079327
44,RI,2879,10890,915426,84.06115702
44,RI,2881,1130,94877,83.9619469
44,RI,2882,6380,607235,95.17789969
44,RI,2885,5480,332808,60.73138686
44,RI,2886,15190,1016766,66.9365372
44,RI,2888,10820,627575,58.00138632
44,RI,2889,14930,890724,59.6600134
44,RI,2891,11580,767989,66.32029361
44,RI,2892,2670,212465,79.57490637
44,RI,2893,15350,795915,51.85114007
44,RI,2894,420,21521,51.24047619
44,RI,2895,18980,770664,40.60400421
44,RI,2896,5180,391273,75.53532819
44,RI,2898,1060,70020,66.05660377
44,RI,2903,4030,368781,91.508933
44,RI,2904,14700,714659,48.6162585
44,RI,2905,11830,515648,43.58816568
44,RI,2906,11920,1463814,122.8031879
44,RI,2907,13360,368152,27.55628743
44,RI,2908,16830,651258,38.69625668
44,RI,2909,19170,577187,30.10886802
44,RI,2910,11640,545272,46.84467354
44,RI,2911,7980,420924,52.74736842
44,RI,2914,10830,477366,44.07811634
44,RI,2915,8900,480575,53.99719101
44,RI,2916,4550,339068,74.52043956
44,RI,2917,6140,448285,73.01058632
44,RI,2919,15130,837082,55.32597488
44,RI,2920,18130,1007870,55.59128516
44,RI,2921,6200,707906,114.1783871
33,NH,3031,5920,715232,120.8162162
33,NH,3032,2910,268429,92.24364261
33,NH,3033,2520,266405,105.7162698
33,NH,3034,2190,169300,77.30593607
33,NH,3036,2610,229579,87.96130268
33,NH,3037,2320,175039,75.44784483
33,NH,3038,17900,1155266,64.54
33,NH,3042,3770,240281,63.73501326
33,NH,3043,770,62587,81.28181818
33,NH,3044,2460,164998,67.07235772
33,NH,3045,7020,496255,70.69159544
33,NH,3046,1430,130263,91.09300699
33,NH,3047,820,50745,61.88414634
33,NH,3048,1710,103502,60.52748538
33,NH,3049,4150,681679,164.26
33,NH,3051,13500,983364,72.84177778
33,NH,3052,4350,358011,82.30137931
33,NH,3053,13040,1081718,82.95383436
33,NH,3054,13990,1118802,79.97155111
33,NH,3055,8200,511272,62.3502439
33,NH,3057,1280,121212,94.696875
33,NH,3060,14740,684014,46.40529172
33,NH,3062,15070,1425010,94.55938952
33,NH,3063,8920,652222,73.1190583
33,NH,3064,7720,505387,65.46463731
33,NH,3070,2870,238710,83.17421603
33,NH,3071,2450,160191,65.38408163
33,NH,3076,7190,613415,85.31502086
33,NH,3077,5620,325069,57.84145907
33,NH,3079,16000,1250833,78.1770625
33,NH,3082,780,58551,75.06538462
33,NH,3084,690,49734,72.07826087
33,NH,3086,2120,146205,68.96462264
33,NH,3087,7220,1027270,142.2811634
33,NH,3101,1780,140114,78.71573034
33,NH,3102,16050,783114,48.79214953
33,NH,3103,18330,805706,43.95559193
33,NH,3104,16760,1104354,65.89224344
33,NH,3106,7360,532721,72.38057065
33,NH,3109,5620,348918,62.08505338
33,NH,3110,10980,1669215,152.023224
33,NH,3215,210,27916,132.9333333
33,NH,3216,1110,67140,60.48648649
33,NH,3217,1150,58509,50.8773913
33,NH,3218,580,32782,56.52068966
33,NH,3220,3570,187537,52.53137255
33,NH,3221,1100,66596,60.54181818
33,NH,3222,2770,152503,55.05523466
33,NH,3223,2150,124659,57.98093023
33,NH,3224,1260,98368,78.06984127
