FIPS,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS08,PCT_OBESE_ADULTS13,MEDHHINC15
6065,8.1,9.0,26.2,26.0,57895.0
6067,8.4,8.4,26.7,27.4,58735.0
6069,7.2,7.6,25.0,23.3,76521.0
6071,7.7,9.2,28.6,27.9,53526.0
6073,7.1,7.7,21.7,19.1,67053.0
6075,7.9,7.9,16.3,16.1,90527.0
6077,7.9,10.3,30.3,28.3,53341.0
6079,6.4,8.5,21.6,24.5,61761.0
6081,6.8,8.3,19.4,21.1,101133.0
6083,7.5,7.1,19.0,18.2,63049.0
6085,7.4,8.4,20.2,19.5,102191.0
6087,6.2,7.0,17.1,20.2,64841.0
6089,7.1,9.4,27.2,26.5,45943.0
6091,8.8,9.6,24.3,22.5,47535.0
6093,8.0,8.6,25.3,23.2,37447.0
6095,9.9,9.8,28.0,30.1,67202.0
6097,6.6,7.9,20.0,20.9,66463.0
6099,8.1,9.7,30.2,32.6,51949.0
6101,7.9,8.6,25.3,28.7,50810.0
6103,8.7,11.2,23.5,27.2,40292.0
6105,9.6,10.1,23.3,25.1,37669.0
6107,7.6,8.0,31.6,32.6,42637.0
6109,6.8,10.1,22.2,20.2,53136.0
6111,7.1,7.6,23.5,20.3,79285.0
6113,6.7,6.9,27.2,22.7,58766.0
6115,6.2,7.6,31.7,24.8,46500.0
8001,6.5,7.2,24.3,26.3,62991.0
8003,5.6,6.7,21.0,23.0,40067.0
8005,5.9,6.3,18.6,21.4,67062.0
8007,5.4,5.9,15.7,16.5,50361.0
8009,8.2,7.6,25.2,19.4,35405.0
8011,5.6,7.0,21.4,26.5,36630.0
8013,3.5,4.1,13.2,13.4,72392.0
8014,4.5,5.5,20.2,17.6,86548.0
8015,5.0,6.4,14.9,20.5,50947.0
8017,6.1,6.5,18.7,23.7,50620.0
8019,5.4,7.9,21.6,18.1,67262.0
8021,6.2,6.0,17.3,24.5,37102.0
8023,7.3,8.3,19.1,21.9,27944.0
8025,4.7,6.0,20.0,21.6,35405.0
8027,6.4,6.8,17.7,20.5,43995.0
8029,6.7,7.6,18.8,20.4,42586.0
8031,5.4,6.0,17.0,16.4,57886.0
8033,5.7,7.5,19.7,19.8,44829.0
8035,3.4,5.3,16.0,17.0,109926.0
8037,3.0,3.3,12.9,11.8,75191.0
8039,4.7,5.2,19.4,19.6,90270.0
8041,5.5,7.0,19.5,22.3,60050.0
8043,7.0,8.1,21.2,22.8,41967.0
8045,4.6,4.7,14.8,20.0,64487.0
8047,4.9,6.3,17.4,19.7,67389.0
8049,4.7,5.6,17.4,17.4,59885.0
8051,3.6,4.6,14.9,14.8,47619.0
8053,6.4,6.6,18.0,20.5,58613.0
8055,6.5,7.6,18.8,20.1,33098.0
8057,6.7,6.6,21.6,21.4,46905.0
8059,5.4,5.4,17.7,18.3,71209.0
8061,7.3,7.7,19.5,19.5,42108.0
8063,6.3,7.3,24.9,27.6,44090.0
8065,4.5,5.4,18.1,17.5,45913.0
8067,4.0,4.8,14.3,16.3,60732.0
8069,4.6,5.2,17.0,18.7,64935.0
8071,6.3,7.7,21.4,21.0,38858.0
8073,6.2,7.6,21.6,23.8,43188.0
8075,5.9,7.0,22.6,25.4,46306.0
8077,5.6,7.2,20.4,23.5,51449.0
8079,6.2,6.8,18.8,18.1,50481.0
8081,5.7,6.3,20.6,25.8,59173.0
8083,6.8,6.5,21.2,21.7,42975.0
8085,5.4,8.1,16.4,19.7,46860.0
8087,7.5,7.4,23.5,26.9,49087.0
8089,7.1,6.8,24.6,26.9,34970.0
8091,6.4,6.7,18.2,18.6,60402.0
8093,4.9,6.7,16.6,20.5,63319.0
8095,7.6,7.8,20.9,22.8,48562.0
8097,4.3,5.1,13.7,14.9,76663.0
8099,5.7,8.4,20.2,26.1,41348.0
8101,6.8,9.1,23.3,25.9,40540.0
8103,5.2,6.0,16.5,22.6,61426.0
8105,6.1,6.9,19.5,23.2,40259.0
8107,3.4,4.1,11.7,14.3,70989.0
8109,5.4,7.0,20.7,19.7,34209.0
8111,4.9,6.7,18.3,19.3,43489.0
8113,4.2,5.0,15.3,16.7,62793.0
8115,7.0,8.0,21.4,22.1,40325.0
8117,3.5,4.1,13.0,13.1,69633.0
8119,5.3,6.9,18.0,20.3,66191.0
8121,7.3,6.5,21.7,23.2,47592.0
8123,5.5,6.4,23.9,26.0,69434.0
8125,6.4,6.1,22.6,24.8,48934.0
9001,6.8,7.6,18.4,21.4,86297.0
9003,7.9,9.6,22.6,26.8,69260.0
9005,7.5,6.7,20.3,23.9,70847.0
9007,7.4,8.4,22.8,24.1,82878.0
9009,8.5,9.0,25.3,26.5,61758.0
9011,7.8,9.2,23.5,27.6,65602.0
9013,6.4,7.2,22.5,24.8,81616.0
9015,9.1,10.1,28.4,29.6,61303.0
10001,11.4,12.8,32.4,32.8,55678.0
10003,7.9,9.0,27.2,27.7,66179.0
10005,11.2,13.2,28.9,31.0,54309.0
11001,8.3,8.1,21.2,22.4,73115.0
12001,8.2,8.3,25.9,25.6,47023.0
12003,12.2,13.0,30.6,35.8,50883.0
12005,10.7,11.2,25.5,29.9,47745.0
12007,11.3,14.4,33.1,35.9,40879.0
12009,11.1,11.7,25.1,25.6,50352.0
12011,9.3,9.5,22.2,24.4,53624.0
12013,11.6,15.5,29.8,39.4,36062.0
12015,11.5,14.1,25.3,25.7,45495.0
12017,12.4,14.6,28.6,26.3,39982.0
12019,10.6,12.0,27.5,29.7,59244.0
12021,8.8,8.6,21.2,19.5,62385.0
12023,10.1,12.7,29.2,36.3,43303.0
12027,9.9,13.7,29.6,36.0,34380.0
12029,11.4,14.0,30.5,30.6,35749.0
12031,10.4,11.2,27.3,30.6,49565.0
12033,11.0,12.4,28.5,28.9,45735.0
12035,10.5,12.4,25.5,24.2,50347.0
12037,10.2,11.0,27.3,32.2,38220.0
12039,11.9,17.1,34.0,36.5,36637.0
12041,9.5,8.4,30.7,31.5,39342.0
12043,11.8,13.8,31.7,33.1,40215.0
12045,9.7,11.1,26.0,30.9,41320.0
12047,11.0,13.0,32.0,33.2,33497.0
12049,12.0,12.6,35.4,33.9,35850.0
12051,8.6,13.7,31.9,35.2,39320.0
12053,10.8,13.4,25.3,32.1,43103.0
12055,12.8,14.2,25.8,31.0,34691.0
12057,8.3,10.4,26.1,28.3,51710.0
12059,12.3,14.2,29.5,31.6,35202.0
12061,10.0,11.4,21.1,24.5,49887.0
12063,11.5,12.4,31.1,34.7,36751.0
12065,11.2,11.7,30.1,32.2,42210.0
12067,10.0,13.2,31.6,35.3,40345.0
12069,11.5,14.7,24.4,29.3,49711.0
12071,10.8,9.9,24.9,24.6,50713.0
12073,8.4,8.3,27.3,26.4,46405.0
12075,11.2,14.1,29.1,32.2,36005.0
12077,10.3,13.4,33.9,39.6,39623.0
12079,12.0,15.6,32.0,34.1,34360.0
12081,9.0,10.6,23.8,25.3,50728.0
12083,12.0,12.6,26.0,29.2,40053.0
12085,9.0,11.3,20.2,21.3,53459.0
12086,9.1,7.9,22.4,21.0,43687.0
12087,8.6,8.6,20.1,22.0,58332.0
12089,10.3,10.8,25.6,28.6,55707.0
12091,9.5,9.7,24.1,26.4,55391.0
12093,10.8,11.6,29.5,31.0,35787.0
12095,9.5,8.8,23.7,24.9,50593.0
12097,9.1,12.0,26.3,29.1,45127.0
12099,9.5,10.5,20.4,21.5,56638.0
12101,10.1,12.2,24.0,31.1,46080.0
12103,9.4,10.8,25.8,25.5,47591.0
12105,10.8,14.3,29.9,32.3,44024.0
12107,12.8,12.2,30.1,36.1,32351.0
12109,8.5,9.0,21.8,21.9,71896.0
12111,9.4,11.5,25.6,27.9,45918.0
12113,9.1,9.0,23.1,26.1,59289.0
12115,9.9,11.1,19.7,20.6,55882.0
12117,8.9,10.0,24.2,24.6,57357.0
12119,9.2,14.9,26.7,26.9,54592.0
12121,11.0,13.5,31.5,33.3,37368.0
12123,10.2,15.4,30.9,38.9,39116.0
12125,11.5,12.5,34.2,37.1,41078.0
12127,9.6,12.4,24.1,26.0,42334.0
12129,9.1,11.7,29.6,36.4,48703.0
12131,10.4,11.6,25.3,27.5,47875.0
12133,10.7,12.9,29.3,38.5,36328.0
13001,10.8,12.9,30.6,34.8,39588.0
13003,10.5,11.5,29.4,35.3,32398.0
13005,10.5,10.4,29.0,32.7,35431.0
13007,13.0,14.8,32.7,30.0,34455.0
13009,11.4,14.0,32.0,36.8,38015.0
13011,10.1,11.1,27.9,27.0,44146.0
13013,9.6,11.3,28.9,34.6,53789.0
13015,9.7,12.1,28.7,35.2,50900.0
13017,12.4,12.4,31.7,35.3,30776.0
13019,12.5,14.2,30.9,34.7,35518.0
13021,13.2,12.7,30.6,31.3,38870.0
13023,12.3,13.6,29.7,30.4,42716.0
13025,10.4,10.9,28.2,33.1,37709.0
13027,13.3,14.5,31.5,33.5,36820.0
13029,9.6,12.3,28.7,29.3,69650.0
13031,9.6,12.0,30.4,33.5,36544.0
13033,12.7,14.7,33.9,32.0,36977.0
13035,11.5,11.7,29.9,28.7,44166.0
13037,13.2,14.4,33.4,34.4,30972.0
13039,10.7,10.9,27.6,31.5,52706.0
13043,11.8,13.7,30.1,30.3,32806.0
13045,11.9,11.3,31.3,31.7,45453.0
13047,11.1,12.2,29.9,27.8,50979.0
13049,11.1,11.6,29.6,32.0,37037.0
13051,11.8,11.0,28.8,31.3,48885.0
13053,6.8,6.4,30.8,27.3,41066.0
13055,11.1,11.0,27.4,34.0,38063.0
13057,7.2,8.7,24.5,26.9,74885.0
13059,8.2,8.3,26.9,25.3,33302.0
13061,15.9,17.2,33.4,29.8,25941.0
13063,11.9,11.6,33.7,38.0,41731.0
13065,11.6,12.9,29.9,29.6,31848.0
13067,8.9,8.5,24.2,22.9,70097.0
13069,11.9,11.5,29.8,34.8,34775.0
13071,11.2,12.8,31.6,35.2,34151.0
13073,9.7,10.4,27.1,30.3,75232.0
13075,12.3,12.2,31.4,31.4,34505.0
13077,10.3,10.6,28.4,26.8,67268.0
13079,11.6,13.1,30.0,27.3,43559.0
13081,12.0,14.2,31.6,31.1,31095.0
13083,11.1,12.2,26.4,32.3,43632.0
13085,9.9,10.5,26.8,27.7,60195.0
13087,12.2,12.1,31.6,30.0,37661.0
13089,10.1,10.0,26.7,27.3,53994.0
13091,12.9,13.5,32.0,28.5,34611.0
13093,13.4,14.8,33.3,34.7,32323.0
13095,14.2,12.4,32.6,34.4,34799.0
13097,10.3,12.0,29.4,32.3,58443.0
13099,13.9,15.6,30.6,31.5,31935.0
13101,9.0,10.9,28.7,28.3,34414.0
13103,9.7,13.5,31.4,35.2,63255.0
13105,12.7,13.0,31.7,31.1,35814.0
13107,12.5,11.6,31.8,36.3,31772.0
13109,12.0,13.4,30.2,33.5,34085.0
13111,10.8,12.2,26.3,25.9,39796.0
13113,12.6,12.9,25.4,31.1,80588.0
13115,10.5,13.6,30.6,31.0,41130.0
13117,8.2,10.8,24.4,29.4,97886.0
13119,10.6,12.4,27.1,29.5,40156.0
13121,8.7,8.7,23.5,23.9,59911.0
13123,10.2,12.4,26.9,29.7,43907.0
13125,11.5,11.8,27.1,28.6,40732.0
13127,11.1,11.5,28.4,26.2,46377.0
13129,9.0,10.2,28.8,29.3,44580.0
13131,12.3,12.1,31.4,33.0,36486.0
13133,13.9,15.4,30.9,29.7,43326.0
13135,8.6,8.3,26.3,29.5,61797.0
13137,10.0,11.4,27.5,31.7,44400.0
13139,9.9,10.9,27.2,25.7,54578.0
13141,14.2,15.8,35.2,31.2,28328.0
13143,10.8,11.2,27.8,27.3,41167.0
13145,11.4,13.2,29.7,28.4,65887.0
13147,11.5,13.5,28.3,29.9,39567.0
13149,10.7,12.0,28.0,30.2,41514.0
13151,9.7,13.5,28.7,33.1,65437.0
13153,11.9,13.2,29.6,31.0,55860.0
13155,11.6,12.4,31.5,29.2,35284.0
13157,10.6,11.2,26.9,27.4,56102.0
13159,11.5,12.6,29.7,29.3,46398.0
13161,12.0,12.8,29.2,30.0,36186.0
13163,14.4,16.7,35.1,35.3,32023.0
13165,13.6,12.1,32.3,29.9,29924.0
13167,12.2,12.7,32.6,34.0,30794.0
13169,11.8,12.4,29.1,33.5,52777.0
13171,12.1,11.7,29.8,30.6,42177.0
13173,10.6,11.4,29.9,33.2,37616.0
13175,12.3,14.4,32.7,36.2,36960.0
13177,9.7,10.7,28.2,31.2,68636.0
13179,10.8,10.4,31.0,34.9,39612.0
13181,13.1,14.1,30.5,29.0,39089.0
13183,10.0,9.8,30.1,31.4,42542.0
13185,11.1,11.6,32.1,31.3,37699.0
13187,8.8,10.8,26.8,30.7,48101.0
13189,12.3,17.4,29.7,33.4,36346.0
13191,13.5,15.2,29.1,30.9,38770.0
13193,14.2,13.5,32.6,36.4,30696.0
13195,11.4,13.3,29.1,31.9,40735.0
13197,12.0,14.0,30.2,32.9,35265.0
13199,13.4,14.8,30.3,34.6,37866.0
13201,13.1,13.3,30.2,30.3,35357.0
13205,11.9,14.4,31.9,33.6,34139.0
13207,11.3,14.5,29.5,31.9,53070.0
13209,10.5,13.4,30.3,36.2,36821.0
13211,12.2,11.6,28.3,26.5,51081.0
13213,10.6,12.7,28.8,32.5,43142.0
13215,12.8,13.4,31.4,28.8,41828.0
13217,10.6,10.4,32.2,32.9,51177.0
13219,9.7,9.3,28.2,28.8,76371.0
13221,10.6,13.0,29.0,30.1,43428.0
13223,10.2,11.0,27.3,28.6,62658.0
13225,11.9,13.6,30.2,34.4,41725.0
13227,9.4,14.2,25.1,26.7,56289.0
13229,12.0,11.3,29.0,28.5,39648.0
13231,10.2,11.7,28.4,26.2,56233.0
13233,11.5,10.4,28.0,34.5,39402.0
13235,12.7,13.6,30.6,31.7,39209.0
13237,13.2,12.8,29.2,30.0,44323.0
13239,13.7,16.9,32.0,34.0,29921.0
13241,11.9,13.0,25.8,29.4,40834.0
13243,14.8,16.7,33.7,33.7,30505.0
13245,12.3,13.5,33.3,34.1,40821.0
13247,11.2,13.1,30.3,36.0,51510.0
13249,11.3,12.6,30.0,30.4,41737.0
13251,13.6,13.6,31.1,33.0,35911.0
13253,13.5,14.2,30.4,30.7,31615.0
13255,11.8,12.9,31.7,32.4,41250.0
13257,12.9,12.6,32.6,30.1,38503.0
13259,16.8,13.7,33.3,34.2,28977.0
13261,13.2,13.8,30.3,32.7,33802.0
13263,14.9,16.3,33.3,33.3,33510.0
13265,16.2,16.2,32.2,31.4,28952.0
13267,11.6,10.2,30.7,33.1,37163.0
13269,14.0,14.5,31.7,28.8,32041.0
13271,11.6,12.3,30.0,30.9,31149.0
13273,13.9,14.9,34.5,31.6,32342.0
13275,13.2,14.0,31.4,34.0,40449.0
13277,12.0,13.2,34.1,34.0,39988.0
13279,12.7,13.6,29.7,31.5,34953.0
13281,12.3,12.9,26.1,27.4,39782.0
13283,11.9,12.3,31.2,32.9,32086.0
13285,12.5,12.6,31.4,30.0,41289.0
13287,13.4,14.3,31.8,34.6,35117.0
13289,13.3,14.5,31.2,32.8,36086.0
13291,13.5,15.9,27.2,27.2,42782.0
13293,12.5,11.9,29.9,32.0,37864.0
13295,12.2,12.4,29.6,32.1,42249.0
13297,10.4,11.6,27.5,34.4,57312.0
13299,12.4,12.3,29.2,35.5,35270.0
13301,14.7,15.8,31.8,32.0,32350.0
13303,13.3,13.0,32.1,32.2,36499.0
13305,10.5,13.1,30.2,31.8,41466.0
13307,13.4,14.6,31.6,32.1,35770.0
13309,11.2,12.1,31.4,31.9,30926.0
13311,10.3,12.6,27.0,28.6,43598.0
13313,10.5,13.2,29.0,33.5,45921.0
13315,12.0,11.4,32.2,31.5,32480.0
13317,14.8,15.5,30.3,32.9,34031.0
13319,13.1,14.8,31.4,34.5,38103.0
13321,11.8,13.9,30.3,36.7,39560.0
15001,7.2,8.1,22.2,22.7,54914.0
15003,8.4,8.4,20.8,22.3,76544.0
15007,8.3,8.3,20.5,20.6,70122.0
15009,7.6,7.7,22.9,22.4,68684.0
16001,7.1,7.5,22.0,25.4,58431.0
16003,8.8,11.6,29.4,27.6,39943.0
16005,8.6,10.0,29.2,28.1,43298.0
16007,8.3,8.9,23.2,28.7,48309.0
16009,8.5,9.4,27.2,30.1,41368.0
16011,10.8,9.9,29.6,33.3,49644.0
16013,5.3,6.6,15.4,19.2,65272.0
16015,8.8,9.6,28.9,22.4,52728.0
16017,7.8,7.6,21.7,24.7,44072.0
16019,8.5,8.5,25.9,29.4,54008.0
16021,8.1,11.0,25.2,27.3,41803.0
16023,9.9,9.5,27.2,28.5,43780.0
16025,8.1,9.4,25.2,25.7,46203.0
16027,8.3,9.5,29.5,33.4,44585.0
16029,8.4,10.5,24.3,27.5,57017.0
16031,9.9,9.0,29.9,30.5,47932.0
16033,8.6,8.5,26.9,31.4,40098.0
16035,10.1,11.1,27.0,30.6,42630.0
16037,8.6,9.4,25.8,26.3,45801.0
16039,8.3,8.6,29.5,29.8,44509.0
16041,7.8,7.9,29.0,30.7,53901.0
16043,7.8,9.0,21.5,28.9,49555.0
16045,8.5,9.9,29.5,28.5,44017.0
16047,8.6,9.8,27.5,30.0,48950.0
16049,10.1,9.5,29.3,25.7,41157.0
16051,7.9,8.8,27.8,32.7,53555.0
16053,8.9,7.7,27.7,33.3,47034.0
16055,8.0,9.6,24.5,25.0,48864.0
16057,6.7,6.4,24.0,24.3,46360.0
16059,8.2,12.1,25.7,26.8,40087.0
16061,9.8,10.5,27.4,29.7,41688.0
16063,8.1,8.3,29.6,32.3,46168.0
