FIPS,% Diabetic,# HIV Cases,Infant Mortality Rate,Child Mortality Rate,% Food Insecure,% Limited Access,Household Income,Physically Unhealthy Days,Mentally Unhealthy Days,% LBW,% Smokers,% Obese,Food Environment Index,% Physically Inactive,% With Access,% Excessive Drinking,Chlamydia Rate,Teen Birth Rate,PCP Ratio,Dentist Ratio,MHP Ratio
1061.0,13.4,32.0,,58.78647911,15.5,0.9303119503,35378.0,4.3,3.4,9.0538705297,32.5,34.5,7.7,31.3,32.396416573,12.6,453.0,53.817692566,4489.0,13364.0,6682.0
1063.0,18.8,18.0,,,27.5,20.954377728,25864.0,5.1,5.3,15.985997666,18.1,48.1,2.9,32.9,16.296296296,,1295.6,51.282051282,2959.0,8744.0,8744.0
1065.0,14.9,37.0,,,22.9,0.2262691368,33597.0,3.9,4.1,14.144968332,,36.2,6.1,34.6,61.275380711,,1429.7,43.577981651,7694.0,7703.0,15406.0
1067.0,14.7,25.0,,89.82996471,15.8,0.9988050068,41590.0,4.0,3.5,8.5889570552,17.0,34.1,7.6,29.8,30.13524448,,566.9,46.801872075,3457.0,3459.0,5765.0
1069.0,13.5,265.0,8.5,72.277545776,17.1,7.3320376719,39636.0,4.5,4.3,8.7833578483,18.4,32.9,6.7,30.1,53.549587876,13.3,783.4,54.835754482,1112.0,1757.0,926.0
1071.0,14.8,29.0,8.5,83.873267493,13.8,4.0849241392,37204.0,5.8,5.3,8.5529468136,22.1,29.0,7.7,32.9,44.808086122,8.4,216.9,53.914835165,1710.0,3115.0,2407.0
1073.0,12.5,3244.0,11.2,86.922943941,18.3,11.421992034,45024.0,3.7,3.9,11.417989418,21.2,32.9,6.0,27.7,79.596516753,14.5,834.7,47.18605193,1000.0,1266.0,814.0
1075.0,15.0,11.0,,,16.2,0.3583712258,36475.0,7.1,6.0,10.070671378,26.1,32.8,7.6,35.5,23.564954683,,350.7,56.420233463,14259.0,4745.0,7118.0
1077.0,12.3,47.0,7.9,60.521239172,15.1,5.5793306058,43586.0,4.6,3.6,9.9750623441,17.7,31.2,7.3,29.5,63.19451186,6.3,436.6,34.930448223,2056.0,2017.0,937.0
1079.0,15.5,24.0,8.3,69.841269841,14.7,1.6444582678,40713.0,4.6,5.5,9.6998535871,27.8,38.6,7.8,36.1,48.880281895,,452.2,52.32201936,4230.0,16794.0,1768.0
1081.0,9.7,202.0,7.8,53.142970454,17.4,11.351680284,44647.0,3.7,5.2,7.7860587462,18.3,30.0,6.2,24.1,62.978887249,17.8,484.9,23.937276888,2231.0,3510.0,1641.0
1083.0,11.7,111.0,7.3,48.482738902,13.1,3.9498614551,50148.0,3.6,3.1,9.1155879411,21.9,33.4,7.9,31.0,52.829117441,8.6,278.4,41.409392171,3131.0,3554.0,3173.0
1085.0,21.6,50.0,,110.45655376,25.8,26.219250052,29734.0,4.8,4.2,13.740458015,22.6,43.7,2.8,32.1,5.7527214798,16.3,1096.1,61.890243902,10857.0,,
1087.0,17.0,102.0,12.2,59.304946032,26.0,19.21284519,29228.0,3.7,2.9,11.822660099,13.8,41.7,3.4,32.0,48.181987693,,1232.0,32.475342795,2934.0,3938.0,318.0
1089.0,11.0,595.0,8.3,56.798101681,14.7,8.1045192152,58258.0,3.4,3.5,10.283333907,18.3,30.6,7.1,24.6,80.849195516,11.4,502.2,32.472513424,1195.0,1826.0,1091.0
1091.0,17.8,22.0,,73.964497041,21.4,15.139067414,33749.0,4.8,4.5,12.79516749,16.8,42.3,4.9,33.8,54.667808056,12.8,705.8,46.474358974,2550.0,4031.0,5039.0
1093.0,14.9,28.0,10.1,90.740670725,16.0,0.6361068717,34162.0,4.6,4.3,9.2082616179,26.9,34.1,7.6,36.6,51.228229789,,263.8,59.329993738,1685.0,5056.0,15167.0
1095.0,13.8,79.0,9.1,76.638956007,14.0,6.5607307182,38399.0,4.8,4.8,7.9037800687,27.7,33.9,7.4,32.0,64.705060257,11.6,258.5,68.856842708,1634.0,3159.0,554.0
1097.0,12.9,1765.0,8.2,77.697059166,18.8,10.588538773,42278.0,4.5,4.8,11.812656762,23.8,35.9,5.9,28.9,73.515951883,14.7,815.8,56.525713186,1574.0,2070.0,1495.0
1099.0,16.0,32.0,,78.111438986,22.1,16.946562216,32696.0,5.0,5.0,15.476810839,20.7,36.3,4.5,33.9,53.446332582,,535.4,57.598656591,3229.0,4447.0,2224.0
1101.0,14.0,1429.0,10.0,91.494947888,21.0,11.281747834,44013.0,4.0,3.8,11.761910933,19.2,34.6,5.4,28.1,79.886468175,14.7,1252.2,52.957794709,1101.0,1542.0,1095.0
1103.0,12.7,112.0,8.1,75.268911314,14.3,3.5120856441,44079.0,4.5,4.0,9.1598710412,23.9,30.2,7.7,28.8,70.806762072,10.8,493.4,49.235993209,1881.0,2102.0,914.0
1105.0,17.6,28.0,,,26.5,5.5966481016,25461.0,5.2,4.2,13.689320388,25.9,38.7,4.8,33.6,78.472287792,18.2,1512.6,50.659472422,5091.0,5010.0,5010.0
1107.0,16.3,29.0,13.0,110.18069634,21.2,2.1217778854,32314.0,5.2,3.3,12.12675198,18.1,40.1,6.3,31.7,7.1558796718,7.5,762.7,40.842373963,2772.0,9701.0,9701.0
1109.0,14.9,96.0,10.7,120.6136218,21.2,5.7746215094,35944.0,4.7,3.8,9.3893399223,18.3,35.3,5.9,29.4,60.269309098,11.0,1045.7,32.081852077,1843.0,3704.0,8335.0
1111.0,14.9,13.0,,55.811357611,18.0,2.046915454,35121.0,4.0,4.8,9.075535513,28.1,34.1,7.0,33.8,26.9235805,14.1,405.7,51.465457083,2834.0,7576.0,4545.0
1113.0,14.0,163.0,11.3,112.03469462,21.1,7.7991661313,35762.0,5.0,5.0,10.482785151,23.9,34.2,5.7,32.6,64.579674014,,731.6,56.960547817,3855.0,6621.0,5417.0
1115.0,12.3,62.0,8.2,74.128984433,12.9,1.1628965767,52437.0,4.2,4.0,8.2375979112,27.2,31.7,8.2,29.1,68.761738423,9.9,225.3,46.55082234,4735.0,3596.0,9590.0
1117.0,8.5,124.0,6.3,50.096937574,10.5,3.8181155761,68718.0,3.3,3.6,8.2644628099,18.0,31.5,8.5,22.2,76.238562678,12.6,236.9,23.159144893,1104.0,2149.0,2083.0
1119.0,16.4,34.0,,100.43521928,28.4,10.579023734,24504.0,4.3,5.4,13.321167883,17.0,40.4,3.8,31.2,34.120467921,,1303.3,33.565823888,2685.0,6681.0,13361.0
1121.0,13.2,143.0,13.2,78.369905956,19.0,5.9402511919,38505.0,5.6,5.1,12.767220903,23.1,38.0,6.4,36.7,65.954964698,10.5,738.7,51.195057727,3028.0,3686.0,13516.0
1123.0,14.1,57.0,11.4,95.287359451,17.8,4.839763299,37747.0,5.8,5.2,13.420902342,26.7,35.6,6.8,30.8,65.585351788,16.1,478.5,58.551617874,2573.0,3169.0,4578.0
1125.0,10.7,358.0,12.0,80.090370627,17.7,7.3747060976,45959.0,4.3,4.1,11.355183636,21.7,32.9,6.5,27.9,75.165420023,12.4,803.6,29.814187872,1408.0,2092.0,975.0
1127.0,15.0,67.0,10.7,78.430063745,15.0,3.8759361316,37193.0,6.5,6.5,9.9282296651,27.7,33.4,7.5,35.8,49.829163123,8.3,542.1,57.971014493,2453.0,2538.0,2750.0
1129.0,14.7,10.0,,109.40289054,17.1,3.4677679434,41115.0,4.6,3.2,9.7032878909,19.5,36.1,7.1,30.9,15.721517547,,648.8,42.164441321,4277.0,8439.0,8439.0
1131.0,19.8,15.0,,,29.5,27.567022527,23184.0,4.1,3.6,13.395348837,18.9,42.8,1.8,31.6,29.065981148,7.2,1495.9,49.641148325,2858.0,5654.0,11307.0
1133.0,12.8,10.0,11.1,80.599279348,16.7,1.4521096818,33578.0,4.6,6.5,9.6238938053,22.8,33.4,7.4,33.3,78.487992158,11.1,323.5,54.485308426,3014.0,6037.0,24146.0
2013.0,7.1,,,,18.7,22.27694878,56856.0,2.9,3.8,,38.2,32.3,4.7,28.6,100.0,39.8,284.7,60.931899642,,3092.0,3092.0
2016.0,6.5,,,,17.3,7.5336383074,74088.0,2.1,2.1,4.3824701195,26.7,32.9,6.6,22.0,89.552238806,26.6,288.4,21.582733813,2774.0,1378.0,1102.0
2020.0,7.0,392.0,5.7,46.405096605,12.5,4.5718349232,76362.0,3.3,3.0,6.2467240157,15.7,26.8,8.0,18.0,91.967816439,18.5,810.4,36.695441892,1044.0,958.0,379.0
2050.0,5.9,21.0,10.1,158.83100381,20.0,38.569783629,42876.0,3.3,2.6,5.223390276,29.9,32.4,2.8,29.2,95.668018574,17.1,1865.2,80.993150685,1109.0,846.0,105.0
2060.0,8.8,,,,11.7,7.2435251997,65283.0,1.4,1.3,,26.4,33.1,7.9,21.3,5.4162487462,28.9,,50.387596899,991.0,960.0,960.0
2068.0,6.3,,,,14.4,18.527518684,68103.0,2.7,2.3,,21.4,23.6,6.1,16.9,33.680175246,27.6,,,1875.0,1867.0,
2070.0,7.9,9.0,,,16.7,16.513495359,47930.0,2.7,2.3,5.4519368723,38.6,31.6,5.8,27.3,75.716938312,14.3,1211.8,57.635175282,559.0,716.0,186.0
2090.0,5.7,55.0,4.0,38.090655761,13.1,9.978115552,67204.0,3.5,3.0,5.5664982444,19.4,28.5,7.3,20.2,71.068138265,20.0,591.4,37.462712757,1432.0,897.0,205.0
2100.0,8.2,,,,13.4,4.890014561,55295.0,3.1,2.0,,14.1,28.4,7.7,19.1,84.409888357,16.0,666.1,,510.0,2592.0,259.0
2110.0,6.6,25.0,,40.695899888,11.4,6.1346152697,83642.0,3.5,3.0,4.7927927928,17.5,26.9,8.0,15.8,100.0,20.9,586.7,25.627615063,857.0,1089.0,218.0
2122.0,6.6,29.0,,38.141734686,12.9,5.9072874205,61629.0,3.6,3.0,4.5981772991,21.2,27.5,7.7,21.7,74.561371841,18.5,358.5,29.58758986,1237.0,1545.0,805.0
2130.0,7.6,7.0,,,14.1,0.8885921939,62619.0,3.6,3.2,4.8374905518,22.5,28.0,8.0,20.7,100.0,21.2,508.0,29.809465274,1060.0,1716.0,473.0
2150.0,6.3,,,,13.7,3.6978910694,64782.0,2.8,2.1,5.7501652346,19.8,31.5,7.8,21.2,98.616833431,26.7,456.5,31.814273431,749.0,1571.0,428.0
2164.0,8.2,,,,16.9,45.914093452,43936.0,2.8,2.6,,25.2,32.6,2.7,24.9,47.087676272,19.4,1088.3,49.056603774,1654.0,1648.0,1648.0
2170.0,7.8,28.0,4.8,48.402241992,12.3,5.7727986697,72371.0,3.7,3.3,6.0424966799,26.2,29.8,7.9,22.3,47.458846003,18.3,458.9,32.649213762,1879.0,2115.0,1070.0
2180.0,7.3,,12.2,143.33132167,20.3,35.969235135,46471.0,3.7,2.4,6.7755595886,40.1,34.1,3.0,25.2,16.01348504,19.0,2854.3,94.031343781,992.0,1649.0,174.0
2185.0,7.4,,,141.9989077,14.8,3.819365775,74174.0,3.3,1.7,7.102952913,45.3,34.2,7.5,25.5,64.718981972,14.7,1171.8,92.235294118,3214.0,1937.0,
2188.0,6.8,,,92.072553172,20.3,32.332262235,54600.0,4.5,1.8,6.0478199719,48.2,29.7,3.3,26.8,21.813106473,21.2,2778.5,94.707520891,3905.0,2562.0,137.0
2201.0,7.4,,,,17.4,7.8381168512,48175.0,4.7,2.8,5.1724137931,31.2,35.5,6.5,26.0,100.0,20.0,399.9,47.858942065,1438.0,2893.0,1929.0
2220.0,7.5,6.0,,,12.9,5.8946342216,66038.0,3.1,2.5,6.2953995157,21.3,28.8,7.7,17.2,100.0,24.6,210.0,28.350515464,503.0,752.0,96.0
2232.0,8.0,5.0,,,17.4,22.192341982,49137.697452,2.9,1.9,5.4393305439,22.7,30.9,5.0,20.5,97.273893521,29.2,,26.315789474,,3140.0,628.0
2240.0,6.7,6.0,,,15.4,9.1664660189,54922.0,4.0,2.2,5.548854041,21.6,32.5,6.8,20.0,27.429221795,14.5,266.0,37.602179837,1786.0,1746.0,998.0
2261.0,6.1,,,,12.3,10.863896187,63541.0,4.4,3.4,4.8894062864,23.2,29.7,7.4,24.2,75.300954753,21.8,648.3,24.52912834,1388.0,2441.0,1953.0
2270.0,5.9,6.0,18.8,277.66759223,24.6,44.096673372,31274.0,5.6,3.5,6.0204695966,36.1,34.6,1.2,27.9,97.801313849,9.2,2369.1,107.14285714,,,725.0
2280.0,8.0,,,,14.2,1.7869201627,54624.202138,3.5,3.3,5.5555555556,18.7,30.1,7.9,20.0,100.0,19.6,416.2,35.907859079,694.0,1029.0,412.0
2282.0,7.8,,,,15.1,0.089078193,56365.0,,,,,31.1,7.9,24.1,100.0,,1047.9,,668.0,642.0,642.0
2290.0,7.8,,,,19.7,50.088821353,35114.0,4.4,2.5,4.4478527607,40.5,26.3,1.6,25.6,33.357193987,25.3,1195.8,61.538461538,1923.0,2848.0,1139.0
4001.0,15.1,69.0,7.9,78.100937211,25.7,43.828038654,30252.0,3.8,4.3,7.0447135538,18.4,31.9,0.9,22.3,22.268519813,13.4,931.8,56.821112353,2928.0,1499.0,1090.0
4003.0,9.6,147.0,8.1,62.479173609,15.8,12.335635434,45294.0,4.2,3.8,8.0686557587,21.7,23.6,6.4,21.4,74.617422685,12.9,358.9,50.458260265,2446.0,2443.0,1012.0
4005.0,7.4,139.0,5.7,65.388142419,18.5,13.095848229,48732.0,3.1,3.1,7.9049902593,15.2,24.0,5.7,15.9,81.658371832,15.1,634.5,33.994275522,1259.0,1365.0,567.0
4007.0,12.3,27.0,9.0,100.94581843,17.1,11.545643386,39868.0,4.6,5.5,8.3136918792,24.4,27.1,6.2,25.2,81.795622889,14.7,434.7,78.826845165,1714.0,1768.0,1711.0
4009.0,10.5,41.0,6.6,49.863469073,16.4,13.702318628,43497.0,4.3,4.3,7.6054955839,16.3,35.0,6.1,24.2,43.495432563,13.8,374.2,63.360625233,1559.0,1562.0,2499.0
4011.0,9.4,5.0,,,15.8,25.867136663,54673.0,4.2,3.7,6.7296340024,19.8,35.4,5.0,24.5,5.0136304374,18.1,227.2,64.565327911,2201.0,4525.0,4525.0
4012.0,13.4,23.0,,136.80826322,16.8,18.942249479,33994.0,5.3,5.2,6.2670299728,18.5,32.0,5.5,30.7,35.516618673,20.3,305.7,70.947840718,2897.0,2258.0,884.0
4013.0,8.2,8887.0,6.1,51.2266543,15.7,3.6673818967,52066.0,3.2,3.2,6.9949953134,15.8,22.6,7.3,19.6,92.608164748,16.7,483.1,47.717259246,1437.0,1590.0,907.0
4015.0,11.6,146.0,7.2,66.30492968,17.9,17.253789774,38560.0,4.4,4.4,6.9301944986,26.9,26.6,5.4,30.7,68.0022579,16.3,202.6,53.920709259,2234.0,2603.0,1574.0
4017.0,12.3,71.0,7.4,82.190698226,22.4,18.232078512,37182.0,4.1,3.7,8.2235560059,16.8,31.2,4.3,23.9,47.798490447,11.4,846.9,67.630567631,1428.0,1651.0,1602.0
4019.0,8.5,1980.0,7.3,52.144498198,16.0,7.2610654169,43926.0,3.7,3.5,7.1802725618,15.6,22.1,6.9,18.9,85.718322532,15.2,479.7,42.607974813,1215.0,1742.0,705.0
4021.0,11.6,535.0,6.4,50.010771551,15.3,4.7710335523,49887.0,3.5,3.5,6.6448118586,17.3,30.2,7.3,23.6,70.583867791,18.1,339.2,55.949289079,5959.0,4014.0,3476.0
4023.0,6.7,32.0,6.6,52.342318765,18.8,10.78107553,35753.0,2.8,2.9,7.6608983084,17.3,20.5,5.9,17.8,47.699283003,17.4,386.9,55.869823312,3154.0,3598.0,2598.0
4025.0,10.1,158.0,6.0,49.060306438,16.5,12.08128562,40486.0,4.2,4.1,7.3153946735,19.3,25.9,6.3,19.6,90.042315657,14.1,178.2,46.243210622,1575.0,1655.0,698.0
4027.0,10.2,181.0,6.3,53.154999069,24.3,10.529689948,40498.0,4.0,3.1,6.1263868789,14.0,31.2,4.7,25.1,76.877768185,14.1,485.9,66.115857666,2439.0,3658.0,2163.0
5001.0,13.9,26.0,,62.027743318,19.4,7.9225802145,38497.0,4.3,4.0,11.794298491,22.0,35.1,6.1,35.4,54.729481045,11.5,794.0,64.775413712,1889.0,2347.0,1341.0
5003.0,13.4,17.0,,56.630486078,21.1,11.295935625,36479.0,4.2,3.0,10.624692573,29.9,36.1,5.4,33.3,55.415732394,,854.9,68.97830521,3587.0,2365.0,1520.0
5005.0,12.2,25.0,,90.467414977,16.4,5.4174124571,36082.0,3.8,4.1,7.1702453988,23.9,29.3,7.0,29.8,78.558523836,13.7,243.6,47.612359551,1207.0,2156.0,410.0
5007.0,9.4,177.0,6.6,49.853454965,14.0,6.3376040804,56518.0,3.2,3.0,7.4173562671,16.8,27.2,7.4,24.6,84.255824776,14.0,237.2,46.005357371,1787.0,2326.0,857.0
5009.0,11.9,17.0,7.3,46.852122987,16.2,10.758547115,38410.0,3.8,4.0,5.9523809524,14.6,26.3,6.5,31.0,48.462184646,6.4,321.5,54.449205949,1436.0,1870.0,1206.0
5011.0,13.4,10.0,,110.92623405,21.8,4.6951993417,31733.0,3.5,3.7,10.991957105,14.1,34.7,5.9,34.6,66.770941953,,438.7,72.403335861,1900.0,2812.0,11249.0
5013.0,12.7,5.0,,,17.9,31.882145474,37497.0,3.3,,8.5227272727,35.0,35.2,3.9,35.2,9.5752608048,,358.0,41.633306645,5307.0,,
5015.0,11.3,30.0,8.5,68.987906826,15.2,4.0544558672,34109.0,4.1,4.1,6.8361086766,23.9,33.5,7.4,29.5,48.735699191,10.5,242.7,65.503804045,1534.0,3973.0,2139.0
5017.0,16.3,25.0,,,26.7,2.9488222746,28006.0,7.2,3.9,11.87250996,36.2,38.5,5.0,35.9,9.5254237288,,761.0,73.494917905,1143.0,2267.0,306.0
5019.0,11.9,29.0,,67.411943149,21.7,3.912026831,36517.0,4.0,2.6,8.2479784367,11.9,32.5,6.0,30.5,77.095020657,,972.3,27.297743533,2085.0,2274.0,529.0
5021.0,11.7,6.0,,,19.5,5.026389121,33488.0,5.9,3.4,7.6222038111,21.0,31.7,6.4,36.4,29.559161848,,408.1,68.226120858,3137.0,2200.0,3080.0
5023.0,14.6,10.0,,53.49413996,15.9,4.8284858015,41612.0,5.5,4.5,8.4239130435,28.4,28.0,7.2,33.2,71.313053523,,232.5,52.566735113,1434.0,2854.0,1835.0
5025.0,14.2,10.0,,,17.2,8.8024064682,42414.0,5.5,4.9,10.481586402,21.7,35.4,6.5,30.2,1.2429508574,,510.0,46.498905908,8627.0,,
5027.0,13.0,28.0,,53.874472479,22.3,7.3831767574,36927.0,3.8,4.6,10.747232472,15.9,37.0,5.5,31.3,53.734929945,,1152.3,52.733367715,1883.0,2416.0,620.0
5029.0,13.3,14.0,,93.444154822,18.9,9.3877200811,38145.0,4.9,6.2,6.880733945,27.7,39.7,6.0,33.1,43.562262022,,498.0,66.110531804,1419.0,3541.0,545.0
5031.0,11.9,123.0,8.7,77.159700003,19.2,10.299671912,41608.0,3.9,3.5,8.1271005194,18.3,34.0,5.9,33.6,63.370073515,9.5,743.0,49.355109212,997.0,1410.0,297.0
5033.0,10.7,38.0,6.7,69.860589313,16.8,9.6121687035,39384.0,3.9,4.4,8.0180995475,22.2,37.7,6.5,32.5,65.772906309,13.6,269.6,54.622134549,2065.0,6164.0,2466.0
5035.0,15.5,230.0,14.3,99.235204544,26.4,4.3933260868,37726.0,5.0,4.2,12.718863561,23.6,38.2,4.9,33.6,62.335468154,11.8,1459.4,86.453220016,2274.0,1990.0,559.0
5037.0,12.5,27.0,,95.355620372,19.6,7.914343972,35438.0,4.4,4.5,11.246943765,33.8,37.5,6.0,35.6,42.395075546,12.6,593.8,63.520070578,2210.0,1755.0,2194.0
5039.0,13.9,,,,22.7,9.7616838681,32591.0,3.8,,14.390602056,,32.5,5.2,37.4,41.325776244,,1014.1,64.962726305,1597.0,3967.0,441.0
5041.0,14.6,13.0,,74.895146794,26.4,15.900870814,30241.0,4.8,4.2,14.65892598,23.9,36.5,3.7,33.9,39.006765068,,924.7,86.158631415,1792.0,6253.0,2501.0
5043.0,13.4,12.0,,97.858623072,23.4,7.3950633762,35249.0,4.5,4.7,10.244192972,18.1,31.9,5.3,32.0,57.66924199,,677.6,46.914932457,1562.0,3757.0,190.0
5045.0,10.6,85.0,6.9,77.111372134,17.1,9.0751424133,49936.0,4.0,3.5,8.0987884436,18.0,30.0,6.5,28.9,71.359184719,14.8,423.7,34.761281884,2012.0,2718.0,1184.0
5047.0,12.3,14.0,,,16.4,5.5602276116,38874.0,3.5,5.0,8.0258899676,27.7,35.2,7.0,31.6,69.180689655,,454.4,53.38904364,3008.0,6011.0,
5049.0,13.4,5.0,,,16.4,9.2982904605,33439.0,3.9,3.3,8.3435582822,29.2,31.9,6.6,33.9,31.670069416,,170.5,54.043071922,1760.0,6152.0,6152.0
5051.0,12.5,159.0,8.4,65.569714215,17.9,11.528254533,39057.0,4.2,5.3,8.8999378496,27.7,30.9,6.0,26.5,90.239940015,17.4,416.9,54.094741068,1310.0,1675.0,585.0
5053.0,10.9,11.0,,,13.6,4.0445132804,47089.0,4.7,5.0,9.5634095634,39.0,35.8,7.8,32.1,28.751470341,19.2,333.6,47.526673133,5995.0,3604.0,2002.0
5055.0,13.9,32.0,8.8,65.532333185,18.3,8.2664710991,40840.0,4.2,3.3,7.4554707379,17.7,33.9,6.3,35.3,74.492753623,10.8,463.4,63.200498132,1877.0,3591.0,718.0
