FIPS,STATE,agi_stub,N1,A00100
1023,AL,1,473,1833948
1023,AL,2,646,10955999
1023,AL,3,621,22706707
1023,AL,4,354,21908674
1023,AL,5,213,18545656
1023,AL,6,197,27126922
1023,AL,7,0,0
1023,AL,8,0,0
1025,AL,1,1295,5183969
1025,AL,2,2363,38812744
1025,AL,3,1688,60386673
1025,AL,4,875,54142078
1025,AL,5,549,47226676
1025,AL,6,473,59536502
1025,AL,7,83,34795561
1025,AL,8,0,0
1029,AL,1,1823,7059379
1029,AL,2,2333,39987477
1029,AL,3,2513,90937446
1029,AL,4,1631,100296049
1029,AL,5,930,80746359
1029,AL,6,852,113805202
1029,AL,7,237,106705739
1029,AL,8,0,0
1031,AL,1,458,1442831
1031,AL,2,681,11575376
1031,AL,3,640,23500480
1031,AL,4,392,24105350
1031,AL,5,230,19881937
1031,AL,6,165,21204447
1031,AL,7,34,16274688
1031,AL,8,0,0
1033,AL,1,2710,12807064
1033,AL,2,3925,66421492
1033,AL,3,3265,117522295
1033,AL,4,1833,112520801
1033,AL,5,1105,95566435
1033,AL,6,995,127465257
1033,AL,7,208,94420185
1033,AL,8,0,0
1037,AL,1,535,2069815
1037,AL,2,741,12555146
1037,AL,3,737,26537139
1037,AL,4,420,25925779
1037,AL,5,253,21956433
1037,AL,6,208,26854540
1037,AL,7,34,20536295
1037,AL,8,0,0
1039,AL,1,1101,4197008
1039,AL,2,1520,25776324
1039,AL,3,1333,47467607
1039,AL,4,687,42025501
1039,AL,5,370,31953551
1039,AL,6,319,42100215
1039,AL,7,43,18718661
1039,AL,8,0,0
1041,AL,1,3365,13759223
1041,AL,2,5259,89494824
1041,AL,3,3765,132322244
1041,AL,4,1777,108728027
1041,AL,5,884,75829252
1041,AL,6,733,95442901
1041,AL,7,134,73298149
1041,AL,8,0,0
1043,AL,1,4653,17391587
1043,AL,2,6492,111420850
1043,AL,3,6216,223344707
1043,AL,4,3397,208385829
1043,AL,5,1712,147577687
1043,AL,6,1437,188749137
1043,AL,7,306,127674132
1043,AL,8,0,0
1045,AL,1,4808,19485450
1045,AL,2,6409,110441961
1045,AL,3,6354,229927570
1045,AL,4,3699,228058668
1045,AL,5,2293,197517601
1045,AL,6,2128,274908057
1045,AL,7,269,98284492
1045,AL,8,0,0
1047,AL,1,1525,7827062
1047,AL,2,2729,45198734
1047,AL,3,1513,53300350
1047,AL,4,523,31726828
1047,AL,5,252,21724283
1047,AL,6,186,23655370
1047,AL,7,20,5067093
1047,AL,8,0,0
1049,AL,1,4400,15224679
1049,AL,2,6784,118156274
1049,AL,3,5774,205031769
1049,AL,4,2722,165808420
1049,AL,5,1314,112810560
1049,AL,6,957,125631823
1049,AL,7,200,93167873
1049,AL,8,0,0
1051,AL,1,7841,34088339
1051,AL,2,11102,187724559
1051,AL,3,10705,387853065
1051,AL,4,6821,421453482
1051,AL,5,4638,401084238
1051,AL,6,4627,598404102
1051,AL,7,514,206380541
1051,AL,8,0,0
1053,AL,1,2831,11646732
1053,AL,2,4260,72672841
1053,AL,3,3474,122990865
1053,AL,4,1769,108454161
1053,AL,5,865,74574800
1053,AL,6,777,100061532
1053,AL,7,143,49585608
1053,AL,8,0,0
1055,AL,1,6982,30871230
1055,AL,2,10381,176993536
1055,AL,3,8605,307861495
1055,AL,4,4547,279831458
1055,AL,5,2453,211274025
1055,AL,6,1840,233679444
1055,AL,7,439,223306758
1055,AL,8,0,0
1057,AL,1,83,390604
1057,AL,2,91,1629719
1057,AL,3,125,4554466
1057,AL,4,75,4597162
1057,AL,5,30,2546805
1057,AL,6,21,2858204
1057,AL,7,0,0
1057,AL,8,0,0
1059,AL,1,3063,13529189
1059,AL,2,5316,91978032
1059,AL,3,4098,146166191
1059,AL,4,2196,134351166
1059,AL,5,1140,98144641
1059,AL,6,927,119293366
1059,AL,7,153,57910317
1059,AL,8,0,0
1061,AL,1,2782,9811729
1061,AL,2,4115,70008053
1061,AL,3,3236,115908955
1061,AL,4,1811,110276517
1061,AL,5,898,77168533
1061,AL,6,696,91003402
1061,AL,7,60,23345569
1061,AL,8,0,0
1063,AL,1,794,3392216
1063,AL,2,1311,22214636
1063,AL,3,759,25755218
1063,AL,4,236,14337887
1063,AL,5,125,10676329
1063,AL,6,123,17829970
1063,AL,7,31,13266153
1063,AL,8,0,0
1065,AL,1,814,3755593
1065,AL,2,1716,28681980
1065,AL,3,938,33067544
1065,AL,4,336,20469542
1065,AL,5,160,16420724
1065,AL,6,118,15361548
1065,AL,7,26,10539750
1065,AL,8,0,0
1067,AL,1,758,2656620
1067,AL,2,1252,21512135
1067,AL,3,968,34616855
1067,AL,4,435,26759243
1067,AL,5,211,18303518
1067,AL,6,161,22242965
1067,AL,7,25,15283547
1067,AL,8,0,0
1069,AL,1,10887,45225301
1069,AL,2,15651,263897418
1069,AL,3,12516,446472253
1069,AL,4,6681,409561832
1069,AL,5,4058,350717209
1069,AL,6,3715,487109355
1069,AL,7,1021,536404137
1069,AL,8,0,0
1071,AL,1,3708,14500289
1071,AL,2,5800,100636169
1071,AL,3,5140,183538021
1071,AL,4,2606,159063979
1071,AL,5,1226,105235525
1071,AL,6,794,107166058
1071,AL,7,59,27427986
1071,AL,8,0,0
1073,AL,1,41187,190118772
1073,AL,2,67051,1146888141
1073,AL,3,61305,2187142494
1073,AL,4,27758,1692495463
1073,AL,5,15558,1345316026
1073,AL,6,16425,2171486937
1073,AL,7,5848,3723235149
1073,AL,8,0,0
1075,AL,1,812,3350837
1075,AL,2,1184,19846369
1075,AL,3,1048,37718704
1075,AL,4,493,29968649
1075,AL,5,247,21365142
1075,AL,6,129,16732425
1075,AL,7,21,7220961
1075,AL,8,0,0
1077,AL,1,6990,32612726
1077,AL,2,9328,157486644
1077,AL,3,7733,278220116
1077,AL,4,4425,272552097
1077,AL,5,2678,230802090
1077,AL,6,2676,347036727
1077,AL,7,598,266120513
1077,AL,8,0,0
1079,AL,1,2553,10097518
1079,AL,2,4197,72364841
1079,AL,3,3578,128598915
1079,AL,4,1935,118942022
1079,AL,5,1154,99735508
1079,AL,6,767,98775788
1079,AL,7,71,30286823
1079,AL,8,0,0
1081,AL,1,3353,16099625
1081,AL,2,5798,97289375
1081,AL,3,4454,158936858
1081,AL,4,2137,130488920
1081,AL,5,1185,102782199
1081,AL,6,959,123713360
1081,AL,7,240,120175417
1081,AL,8,0,0
1083,AL,1,5174,21578948
1083,AL,2,7739,133390104
1083,AL,3,7476,268535300
1083,AL,4,4278,263708111
1083,AL,5,2723,235668898
1083,AL,6,2919,383133282
1083,AL,7,461,202194012
1083,AL,8,0,0
1085,AL,1,914,4407642
1085,AL,2,2051,34271155
1085,AL,3,1133,39113431
1085,AL,4,384,23166097
1085,AL,5,160,13895946
1085,AL,6,157,24214603
1085,AL,7,23,9677662
1085,AL,8,0,0
1087,AL,1,6626,28367487
1087,AL,2,8809,148194740
1087,AL,3,6085,214957946
1087,AL,4,2763,168785513
1087,AL,5,1847,160745452
1087,AL,6,2708,365417486
1087,AL,7,645,254191532
1087,AL,8,0,0
1089,AL,1,27179,114261078
1089,AL,2,33419,574507621
1089,AL,3,32719,1179175665
1089,AL,4,20566,1270350583
1089,AL,5,15442,1342091323
1089,AL,6,22894,3073611478
1089,AL,7,5145,2165109620
1089,AL,8,0,0
1091,AL,1,2256,8537513
1091,AL,2,3024,50868925
1091,AL,3,2185,77927491
1091,AL,4,1140,70428483
1091,AL,5,692,59932678
1091,AL,6,657,89551577
1091,AL,7,113,47383365
1091,AL,8,0,0
1093,AL,1,2937,11007673
1093,AL,2,4504,76681301
1093,AL,3,3663,131926461
1093,AL,4,1776,108695226
1093,AL,5,875,75237799
1093,AL,6,584,78354302
1093,AL,7,91,35612355
1093,AL,8,0,0
1095,AL,1,9169,36574150
1095,AL,2,14693,254795082
1095,AL,3,11889,423724569
1095,AL,4,5783,353412755
1095,AL,5,2921,250882820
1095,AL,6,2575,336092373
1095,AL,7,515,233453103
1095,AL,8,0,0
1097,AL,1,31977,146931364
1097,AL,2,53100,891830887
1097,AL,3,41409,1483268799
1097,AL,4,20952,1285864070
1097,AL,5,11922,1028961608
1097,AL,6,11250,1464242670
1097,AL,7,3117,1517186289
1097,AL,8,0,0
1099,AL,1,3691,15854697
1099,AL,2,6730,112645311
1099,AL,3,4764,168338547
1099,AL,4,2097,129265800
1099,AL,5,1119,96610404
1099,AL,6,987,130220061
1099,AL,7,119,56464702
1099,AL,8,0,0
1101,AL,1,19667,91319606
1101,AL,2,36841,610104441
1101,AL,3,27750,988591268
1101,AL,4,12033,734438095
1101,AL,5,7169,619609668
1101,AL,6,8022,1077202686
1101,AL,7,2363,1140775300
1101,AL,8,0,0
1103,AL,1,11898,49911413
1103,AL,2,17033,292210246
1103,AL,3,15867,573254088
1103,AL,4,9087,558936431
1103,AL,5,5603,483775860
1103,AL,6,5582,726946439
1103,AL,7,1015,455850420
1103,AL,8,0,0
1105,AL,1,3570,16070937
1105,AL,2,6218,102851079
1105,AL,3,4002,141352508
1105,AL,4,1719,104451090
1105,AL,5,903,78105882
1105,AL,6,722,93608922
1105,AL,7,131,51857973
1105,AL,8,0,0
1107,AL,1,1043,3997942
1107,AL,2,1562,26794007
1107,AL,3,1221,43381014
1107,AL,4,638,39050729
1107,AL,5,334,28512702
1107,AL,6,203,26028286
1107,AL,7,11,3527936
1107,AL,8,0,0
1109,AL,1,3263,13172494
1109,AL,2,4765,81350598
1109,AL,3,3871,136816529
1109,AL,4,1723,105530858
1109,AL,5,961,82507415
1109,AL,6,832,109175595
1109,AL,7,174,101669974
1109,AL,8,0,0
1111,AL,1,2854,10243559
1111,AL,2,4494,77335327
1111,AL,3,3655,130359445
1111,AL,4,1855,113721749
1111,AL,5,880,75934059
1111,AL,6,673,88529092
1111,AL,7,109,37306224
1111,AL,8,0,0
1113,AL,1,8782,41081669
1113,AL,2,16279,276273993
1113,AL,3,13124,465790189
1113,AL,4,5854,359061310
1113,AL,5,3112,268030910
1113,AL,6,2598,330140949
1113,AL,7,364,140783180
1113,AL,8,0,0
1115,AL,1,10034,38004736
1115,AL,2,13583,232236223
1115,AL,3,13783,500973773
1115,AL,4,8779,540689002
1115,AL,5,5705,493267548
1115,AL,6,5698,741969141
1115,AL,7,958,412558530
1115,AL,8,0,0
1117,AL,1,22779,72793902
1117,AL,2,24958,430760828
1117,AL,3,30541,1118731483
1117,AL,4,19907,1231269560
1117,AL,5,14111,1226433036
1117,AL,6,20838,2812585189
1117,AL,7,7514,3599062239
1117,AL,8,0,0
1119,AL,1,2209,7407295
1119,AL,2,2975,50547532
1119,AL,3,1784,62180345
1119,AL,4,612,37462687
1119,AL,5,290,25112476
1119,AL,6,242,32478276
1119,AL,7,42,13728075
1119,AL,8,0,0
1121,AL,1,7731,35668022
1121,AL,2,12155,209222541
1121,AL,3,10733,382189015
1121,AL,4,5734,350415328
1121,AL,5,3048,262765439
1121,AL,6,2391,303331543
1121,AL,7,327,128581993
1121,AL,8,0,0
1123,AL,1,5563,25066006
1123,AL,2,9228,159921126
1123,AL,3,7653,269478324
1123,AL,4,3517,214711463
1123,AL,5,1955,168569017
1123,AL,6,1591,211429102
1123,AL,7,309,150361632
1123,AL,8,0,0
1125,AL,1,16533,70600745
1125,AL,2,23346,398279344
1125,AL,3,21670,778021499
1125,AL,4,12067,746158037
1125,AL,5,7586,655988567
1125,AL,6,7463,984692417
1125,AL,7,1711,851319907
1125,AL,8,0,0
1127,AL,1,5027,22617633
1127,AL,2,7403,126997665
1127,AL,3,7153,259379208
1127,AL,4,4385,269903277
1127,AL,5,2550,219843597
1127,AL,6,1866,241368652
1127,AL,7,284,338111733
1127,AL,8,0,0
1129,AL,1,1640,6946081
1129,AL,2,2612,43458599
1129,AL,3,2147,78056453
1129,AL,4,1306,80461750
1129,AL,5,769,66050291
1129,AL,6,630,84423257
1129,AL,7,43,19294216
1129,AL,8,0,0
1131,AL,1,2156,9235141
1131,AL,2,3106,50639475
1131,AL,3,1959,69298701
1131,AL,4,820,50617410
1131,AL,5,532,47027800
1131,AL,6,447,60733428
1131,AL,7,59,22528716
1131,AL,8,0,0
1133,AL,1,4172,16228959
1133,AL,2,6361,108990157
1133,AL,3,5118,183774212
1133,AL,4,2734,167404344
1133,AL,5,1371,117849439
1133,AL,6,1040,135122477
1133,AL,7,210,85613345
1133,AL,8,0,0
1251,AL,1,108,438168
1251,AL,2,188,3291811
1251,AL,3,203,7197617
1251,AL,4,71,4325769
1251,AL,5,40,3466860
1251,AL,6,54,7279686
1251,AL,7,32,25058341
1251,AL,8,0,0
2013,AK,1,104,487108
2013,AK,2,183,3274682
2013,AK,3,186,6671879
2013,AK,4,88,5304573
2013,AK,5,57,4929395
2013,AK,6,55,8879569
2013,AK,7,0,0
2013,AK,8,0,0
2016,AK,1,175,486443
2016,AK,2,518,9301823
2016,AK,3,528,18762408
2016,AK,4,238,14758445
2016,AK,5,159,13761575
2016,AK,6,204,28256846
2016,AK,7,10,3055843
2016,AK,8,0,0
2020,AK,1,26394,115789569
2020,AK,2,24284,421897967
2020,AK,3,32655,1193887680
2020,AK,4,20313,1251564916
2020,AK,5,13904,1205570565
2020,AK,6,19541,2625358126
2020,AK,7,5530,2486535126
2020,AK,8,0,0
2050,AK,1,908,4052325
2050,AK,2,647,10903141
2050,AK,3,766,28405743
2050,AK,4,525,32242440
2050,AK,5,251,21863445
2050,AK,6,384,50710438
2050,AK,7,39,11412225
2050,AK,8,0,0
2060,AK,1,86,295576
2060,AK,2,106,1805074
2060,AK,3,137,5151572
2060,AK,4,96,5993719
2060,AK,5,66,5763979
2060,AK,6,78,10237833
2060,AK,7,0,0
2060,AK,8,0,0
2068,AK,1,101,520249
2068,AK,2,90,1543713
2068,AK,3,116,4194567
2068,AK,4,63,3948994
2068,AK,5,84,7378383
2068,AK,6,87,12857625
2068,AK,7,0,0
2068,AK,8,0,0
2070,AK,1,406,2092688
2070,AK,2,340,5650402
2070,AK,3,336,12470828
2070,AK,4,229,13803108
2070,AK,5,122,10681619
2070,AK,6,150,19659190
2070,AK,7,13,3493322
2070,AK,8,0,0
2090,AK,1,8237,34852692
2090,AK,2,9036,155934256
2090,AK,3,10396,380001046
2090,AK,4,6805,420532518
2090,AK,5,4771,413946088
2090,AK,6,6097,797738748
2090,AK,7,924,415464140
2090,AK,8,0,0
2100,AK,1,251,819562
2100,AK,2,304,5111764
2100,AK,3,347,12476217
2100,AK,4,183,11366230
2100,AK,5,115,9840709
2100,AK,6,108,14055418
2100,AK,7,23,8757796
2100,AK,8,0,0
2105,AK,1,169,612431
2105,AK,2,157,2667717
2105,AK,3,154,5739416
2105,AK,4,96,5993660
2105,AK,5,55,4766344
2105,AK,6,36,4860839
2105,AK,7,0,0
2105,AK,8,0,0
2110,AK,1,3035,12768131
2110,AK,2,2575,43652779
2110,AK,3,3648,135198900
2110,AK,4,2539,156220833
2110,AK,5,1914,165978850
2110,AK,6,2631,345330416
2110,AK,7,423,165219518
2110,AK,8,0,0
2122,AK,1,5893,22946746
2122,AK,2,5187,88118074
2122,AK,3,5442,198894372
2122,AK,4,3850,239531158
2122,AK,5,2816,244270326
2122,AK,6,3789,503993000
2122,AK,7,654,263192158
2122,AK,8,0,0
2130,AK,1,1433,5669217
2130,AK,2,1375,23595129
2130,AK,3,1658,60647832
2130,AK,4,1028,63137024
2130,AK,5,738,63977910
2130,AK,6,802,103393469
2130,AK,7,154,66445868
2130,AK,8,0,0
2150,AK,1,1192,5275418
2150,AK,2,1378,24599404
2150,AK,3,1574,56662928
2150,AK,4,989,60276755
2150,AK,5,623,53757610
2150,AK,6,684,88657808
2150,AK,7,158,66054383
2150,AK,8,0,0
2170,AK,1,10331,41622848
2170,AK,2,8247,141266456
2170,AK,3,9908,362669879
2170,AK,4,7083,438133354
2170,AK,5,5380,467194265
2170,AK,6,6490,851569046
2170,AK,7,1130,505968659
2170,AK,8,0,0
2180,AK,1,565,2639518
2180,AK,2,388,6499368
2180,AK,3,459,17245118
2180,AK,4,330,20235664
2180,AK,5,221,19161824
2180,AK,6,286,38337120
2180,AK,7,24,9944199
2180,AK,8,0,0
2185,AK,1,694,4874143
2185,AK,2,494,8178112
2185,AK,3,558,20936776
2185,AK,4,430,26411968
2185,AK,5,228,19556739
2185,AK,6,288,37599415
2185,AK,7,31,8116839
2185,AK,8,0,0
2188,AK,1,267,1533152
2188,AK,2,245,4058639
2188,AK,3,286,10788595
2188,AK,4,226,13869605
2188,AK,5,134,11650711
2188,AK,6,195,25784941
2188,AK,7,14,3697858
2188,AK,8,0,0
2195,AK,1,362,1183818
2195,AK,2,360,6177580
2195,AK,3,399,14854015
2195,AK,4,260,15962120
2195,AK,5,187,16143703
2195,AK,6,189,24662536
2195,AK,7,43,16409270
2195,AK,8,0,0
2198,AK,1,494,1900867
2198,AK,2,385,6618918
2198,AK,3,417,14795796
2198,AK,4,251,15405287
2198,AK,5,138,11993965
2198,AK,6,163,24389836
2198,AK,7,0,0
2198,AK,8,0,0
2220,AK,1,805,2970824
2220,AK,2,868,15152271
2220,AK,3,1171,42624357
2220,AK,4,697,42914031
2220,AK,5,444,38264059
2220,AK,6,491,62292254
2220,AK,7,102,59244355
2220,AK,8,0,0
2230,AK,1,89,159015
2230,AK,2,162,2839456
2230,AK,3,167,6051323
2230,AK,4,104,6436081
2230,AK,5,53,4657775
2230,AK,6,82,10832256
2230,AK,7,10,4354691
2230,AK,8,0,0
2240,AK,1,703,2676454
2240,AK,2,561,9710159
2240,AK,3,692,25418433
2240,AK,4,483,30194972
2240,AK,5,360,31293551
2240,AK,6,390,52441669
2240,AK,7,22,6877400
2240,AK,8,0,0
2261,AK,1,1091,4420006
2261,AK,2,961,16307627
2261,AK,3,999,36429964
2261,AK,4,688,42646363
2261,AK,5,493,42803793
2261,AK,6,739,102496231
2261,AK,7,118,36955854
2261,AK,8,0,0
2270,AK,1,609,3240460
2270,AK,2,496,8166629
2270,AK,3,331,11629140
2270,AK,4,146,8924767
2270,AK,5,88,8706646
2270,AK,6,0,0
2270,AK,7,0,0
2270,AK,8,0,0
2275,AK,1,347,1268903
2275,AK,2,271,4547966
2275,AK,3,274,9957093
2275,AK,4,160,9890567
2275,AK,5,87,7581570
2275,AK,6,89,11178179
2275,AK,7,10,3179260
2275,AK,8,0,0
2282,AK,1,72,270535
2282,AK,2,60,1008536
2282,AK,3,81,2918682
2282,AK,4,46,2825562
2282,AK,5,22,1908812
2282,AK,6,20,2803321
2282,AK,7,0,0
2282,AK,8,0,0
2290,AK,1,246,1252854
2290,AK,2,178,3045854
2290,AK,3,218,7865722
2290,AK,4,130,8001834
2290,AK,5,88,7705771
2290,AK,6,73,9139531
2290,AK,7,0,0
2290,AK,8,0,0
4001,AZ,1,5339,24820821
4001,AZ,2,6660,113050312
4001,AZ,3,6099,218694988
4001,AZ,4,2488,151727992
4001,AZ,5,1294,111932417
4001,AZ,6,759,98241288
4001,AZ,7,46,15451740
4001,AZ,8,0,0
4003,AZ,1,8539,32964150
4003,AZ,2,11760,200493787
4003,AZ,3,10862,391120384
4003,AZ,4,6210,383452404
4003,AZ,5,3996,345676762
4003,AZ,6,3951,518012733
4003,AZ,7,408,156273297
4003,AZ,8,0,0
4005,AZ,1,9701,38394161
4005,AZ,2,12528,214798586
4005,AZ,3,12612,451818094
4005,AZ,4,6586,405657801
4005,AZ,5,4288,369824708
4005,AZ,6,4273,559076947
4005,AZ,7,896,418230074
4005,AZ,8,0,0
4007,AZ,1,3279,10505851
4007,AZ,2,4470,76040302
4007,AZ,3,4219,152223243
4007,AZ,4,2364,145237760
4007,AZ,5,1347,115820419
4007,AZ,6,1119,146093049
4007,AZ,7,233,113281475
4007,AZ,8,0,0
4009,AZ,1,3109,11657380
4009,AZ,2,3858,66107380
4009,AZ,3,3787,136571510
4009,AZ,4,2261,138966929
4009,AZ,5,1254,107713112
4009,AZ,6,842,110008574
4009,AZ,7,139,52011453
4009,AZ,8,0,0
4011,AZ,1,383,1262552
4011,AZ,2,494,8566764
4011,AZ,3,732,27241418
4011,AZ,4,720,44550414
4011,AZ,5,422,36008621
4011,AZ,6,310,38820242
4011,AZ,7,18,6471994
4011,AZ,8,0,0
4012,AZ,1,1236,3621428
4012,AZ,2,1928,33374108
4012,AZ,3,1646,58282021
4012,AZ,4,651,39788553
4012,AZ,5,284,24676804
4012,AZ,6,254,33738075
4012,AZ,7,37,14924827
4012,AZ,8,0,0
4013,AZ,1,230660,708927976
4013,AZ,2,357271,6239114644
4013,AZ,3,422029,15191723089
4013,AZ,4,212832,13074981161
4013,AZ,5,130111,11256527258
4013,AZ,6,159383,21296921928
4013,AZ,7,47405,23913654461
4013,AZ,8,0,0
4015,AZ,1,15181,44948838
4015,AZ,2,23500,402626392
4015,AZ,3,20011,713934189
4015,AZ,4,9667,592757755
4015,AZ,5,4786,411935813
4015,AZ,6,3898,507153543
4015,AZ,7,782,338764388
4015,AZ,8,0,0
4017,AZ,1,8293,31547787
4017,AZ,2,10171,173821252
4017,AZ,3,9535,341211134
4017,AZ,4,4590,281794074
4017,AZ,5,2627,226518732
4017,AZ,6,1962,250231649
4017,AZ,7,259,94735133
4017,AZ,8,0,0
4019,AZ,1,67642,263596315
4019,AZ,2,104184,1805633155
4019,AZ,3,102751,3682024855
4019,AZ,4,54379,3345141158
4019,AZ,5,32930,2844218945
4019,AZ,6,35776,4723326628
4019,AZ,7,9655,4341442359
4019,AZ,8,0,0
4021,AZ,1,7748,18827110
4021,AZ,2,10905,188377620
4021,AZ,3,13245,484553558
4021,AZ,4,9333,575923626
4021,AZ,5,6693,579135333
4021,AZ,6,7583,1007561916
4021,AZ,7,1538,609610048
4021,AZ,8,0,0
4023,AZ,1,4040,13630182
4023,AZ,2,6670,114034933
4023,AZ,3,4730,166998409
4023,AZ,4,1882,114965918
4023,AZ,5,1025,88295876
4023,AZ,6,1082,144748178
4023,AZ,7,272,120462568
4023,AZ,8,0,0
4025,AZ,1,18911,43628179
4025,AZ,2,25225,435413987
4025,AZ,3,25362,913393119
4025,AZ,4,13915,855713397
4025,AZ,5,7778,669620147
4025,AZ,6,7308,967028168
4025,AZ,7,1835,860916665
4025,AZ,8,0,0
4027,AZ,1,13835,69149482
4027,AZ,2,25653,436751440
4027,AZ,3,19398,689752748
4027,AZ,4,8157,499475746
4027,AZ,5,4325,373350178
4027,AZ,6,3718,479551864
4027,AZ,7,761,384821607
4027,AZ,8,0,0
5001,AR,1,555,1346285
5001,AR,2,865,14913652
5001,AR,3,844,29860661
5001,AR,4,365,22209071
5001,AR,5,166,14363958
5001,AR,6,159,23201242
5001,AR,7,37,19211429
5001,AR,8,0,0
5003,AR,1,1120,4793342
5003,AR,2,1522,25148278
5003,AR,3,1301,46662860
5003,AR,4,781,48545728
5003,AR,5,444,38141910
5003,AR,6,305,39186257
5003,AR,7,42,14059847
5003,AR,8,0,0
5005,AR,1,1207,3291444
5005,AR,2,1771,30187113
5005,AR,3,1453,52112844
5005,AR,4,788,47944302
5005,AR,5,324,27576137
5005,AR,6,283,44528768
5005,AR,7,35,15647079
5005,AR,8,0,0
5007,AR,1,9066,31077979
5007,AR,2,12332,215793014
5007,AR,3,14885,538264193
5007,AR,4,9283,572026039
5007,AR,5,5605,484435896
5007,AR,6,7162,971171692
5007,AR,7,2264,1154151156
5007,AR,8,0,0
5009,AR,1,203,458935
5009,AR,2,263,4391541
5009,AR,3,248,9138176
5009,AR,4,121,7505820
5009,AR,5,70,5947687
5009,AR,6,76,10144527
5009,AR,7,38,13306188
5009,AR,8,0,0
5011,AR,1,216,370114
5011,AR,2,321,5475640
5011,AR,3,246,8680291
5011,AR,4,133,7957554
5011,AR,5,53,4519154
5011,AR,6,27,3107434
5011,AR,7,0,0
5011,AR,8,0,0
5013,AR,1,267,1015067
5013,AR,2,413,7168610
5013,AR,3,420,15323029
5013,AR,4,197,12143273
5013,AR,5,111,9593729
5013,AR,6,79,10028420
5013,AR,7,12,6800318
5013,AR,8,0,0
5015,AR,1,1755,3727545
5015,AR,2,2406,41734334
5015,AR,3,2110,75617808
5015,AR,4,1047,63842594
5015,AR,5,406,34991692
5015,AR,6,325,44534848
5015,AR,7,47,16522389
5015,AR,8,0,0
5017,AR,1,757,2222293
5017,AR,2,1289,21433987
5017,AR,3,783,27374404
5017,AR,4,313,19113295
5017,AR,5,182,15779615
5017,AR,6,205,27174489
5017,AR,7,62,26612231
5017,AR,8,0,0
5019,AR,1,403,1501200
5019,AR,2,662,11417012
5019,AR,3,531,18702254
5019,AR,4,244,14909629
5019,AR,5,103,9129172
5019,AR,6,45,8103220
5019,AR,7,0,0
5019,AR,8,0,0
5021,AR,1,817,2250524
5021,AR,2,1122,19033273
5021,AR,3,1067,38548045
5021,AR,4,499,30528838
5021,AR,5,195,16510939
5021,AR,6,132,16852397
5021,AR,7,33,10500705
5021,AR,8,0,0
5023,AR,1,1287,4205104
5023,AR,2,1531,26391877
5023,AR,3,1412,50447535
5023,AR,4,765,46894617
5023,AR,5,398,34182152
5023,AR,6,370,48609032
5023,AR,7,94,35643994
5023,AR,8,0,0
5025,AR,1,794,3625135
5025,AR,2,1264,21429139
5025,AR,3,948,33781431
5025,AR,4,432,26515858
5025,AR,5,211,18081321
5025,AR,6,152,18931892
5025,AR,7,40,21516048
5025,AR,8,0,0
5027,AR,1,397,1797438
5027,AR,2,516,8653245
5027,AR,3,448,15522625
5027,AR,4,240,14705521
5027,AR,5,120,10370444
5027,AR,6,130,18030320
5027,AR,7,38,45782311
5027,AR,8,0,0
