,FIPS,agi_stub,N1,MARS1,MARS2,MARS4,NUMDEP,A00100,A02650,total_people,agi_per_person,State,County,"Population Estimate, 2013",PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS13,FOODINSEC_13_15,VLFOODSEC_13_15
10,01003,5,9630.0,860.0,8420.0,200.0,8610.0,1283101.0,1299826.0,26310.0,48.768567084758644,AL,Baldwin,195147.0,10.4,27.4,17.6,7.3
11,01003,6,2590.0,130.0,2310.0,0.0,2670.0,1007077.0,1025376.0,7420.0,135.72466307277628,AL,Baldwin,195147.0,10.4,27.4,17.6,7.3
12,01005,1,2260.0,920.0,360.0,950.0,2060.0,31610.0,32017.0,3700.0,8.543243243243243,AL,Barbour,26938.0,18.4,44.4,17.6,7.3
13,01005,2,1110.0,420.0,310.0,370.0,870.0,39224.0,39478.0,1910.0,20.536125654450263,AL,Barbour,26938.0,18.4,44.4,17.6,7.3
14,01005,3,510.0,170.0,290.0,80.0,340.0,32515.0,32927.0,1090.0,29.8302752293578,AL,Barbour,26938.0,18.4,44.4,17.6,7.3
15,01005,4,320.0,50.0,220.0,0.0,250.0,27520.0,27745.0,740.0,37.189189189189186,AL,Barbour,26938.0,18.4,44.4,17.6,7.3
16,01005,5,220.0,0.0,200.0,0.0,170.0,32479.0,33035.0,570.0,56.98070175438596,AL,Barbour,26938.0,18.4,44.4,17.6,7.3
18,01007,1,4620.0,2720.0,760.0,1070.0,2530.0,57665.0,58728.0,6770.0,8.517725258493353,AL,Bibb,22501.0,14.8,40.3,17.6,7.3
19,01007,2,3150.0,1280.0,1050.0,700.0,2480.0,115285.0,116544.0,5860.0,19.673208191126278,AL,Bibb,22501.0,14.8,40.3,17.6,7.3
20,01007,3,2140.0,540.0,1310.0,320.0,1970.0,132863.0,134135.0,5130.0,25.899220272904483,AL,Bibb,22501.0,14.8,40.3,17.6,7.3
21,01007,4,1550.0,210.0,1220.0,70.0,1670.0,133697.0,134833.0,4320.0,30.94837962962963,AL,Bibb,22501.0,14.8,40.3,17.6,7.3
22,01007,5,2000.0,90.0,1830.0,50.0,2500.0,276767.0,279503.0,6250.0,44.28272,AL,Bibb,22501.0,14.8,40.3,17.6,7.3
23,01007,6,180.0,0.0,170.0,0.0,250.0,58688.0,59400.0,590.0,99.47118644067797,AL,Bibb,22501.0,14.8,40.3,17.6,7.3
24,01009,1,5280.0,2740.0,1380.0,1050.0,3460.0,68012.0,69309.0,8960.0,7.590625,AL,Blount,57746.0,14.1,34.6,17.6,7.3
25,01009,2,3290.0,1050.0,1590.0,580.0,3070.0,118668.0,119745.0,7300.0,16.255890410958905,AL,Blount,57746.0,14.1,34.6,17.6,7.3
26,01009,3,1860.0,350.0,1360.0,180.0,1740.0,113885.0,114849.0,4810.0,23.676715176715177,AL,Blount,57746.0,14.1,34.6,17.6,7.3
27,01009,4,1030.0,50.0,930.0,20.0,1000.0,89056.0,89723.0,2910.0,30.60343642611684,AL,Blount,57746.0,14.1,34.6,17.6,7.3
28,01009,5,860.0,30.0,800.0,0.0,810.0,115120.0,116219.0,2440.0,47.18032786885246,AL,Blount,57746.0,14.1,34.6,17.6,7.3
29,01009,6,100.0,0.0,100.0,0.0,100.0,48957.0,50141.0,300.0,163.19,AL,Blount,57746.0,14.1,34.6,17.6,7.3
30,01011,1,5010.0,2550.0,380.0,2030.0,3960.0,67059.0,67968.0,7270.0,9.22407152682256,AL,Bullock,10576.0,19.6,43.0,17.6,7.3
31,01011,2,2160.0,850.0,470.0,800.0,1820.0,76244.0,77080.0,3610.0,21.1202216066482,AL,Bullock,10576.0,19.6,43.0,17.6,7.3
32,01011,3,850.0,290.0,400.0,170.0,570.0,52132.0,52868.0,1660.0,31.404819277108434,AL,Bullock,10576.0,19.6,43.0,17.6,7.3
33,01011,4,540.0,120.0,390.0,40.0,400.0,46042.0,46410.0,1300.0,35.41692307692308,AL,Bullock,10576.0,19.6,43.0,17.6,7.3
34,01011,5,590.0,50.0,520.0,0.0,480.0,82104.0,83239.0,1570.0,52.29554140127389,AL,Bullock,10576.0,19.6,43.0,17.6,7.3
35,01011,6,140.0,0.0,130.0,0.0,90.0,70874.0,73241.0,350.0,202.49714285714285,AL,Bullock,10576.0,19.6,43.0,17.6,7.3
36,01013,1,5320.0,2480.0,750.0,2060.0,4200.0,70765.0,71972.0,8180.0,8.650977995110024,AL,Butler,20330.0,17.7,36.3,17.6,7.3
37,01013,2,2960.0,980.0,860.0,1050.0,2530.0,103832.0,104717.0,5230.0,19.853154875717017,AL,Butler,20330.0,17.7,36.3,17.6,7.3
38,01013,3,1160.0,290.0,700.0,160.0,920.0,71552.0,72213.0,2610.0,27.41455938697318,AL,Butler,20330.0,17.7,36.3,17.6,7.3
39,01013,4,680.0,60.0,560.0,20.0,580.0,57669.0,58174.0,1760.0,32.76647727272727,AL,Butler,20330.0,17.7,36.3,17.6,7.3
40,01013,5,570.0,40.0,550.0,0.0,480.0,78231.0,79225.0,1620.0,48.29074074074074,AL,Butler,20330.0,17.7,36.3,17.6,7.3
41,01013,6,80.0,0.0,60.0,0.0,70.0,34501.0,35651.0,190.0,181.5842105263158,AL,Butler,20330.0,17.7,36.3,17.6,7.3
42,01015,1,19120.0,10490.0,3310.0,5080.0,11430.0,242895.0,246476.0,28540.0,8.510686755430974,AL,Calhoun,116475.0,14.9,32.2,17.6,7.3
43,01015,2,11320.0,4100.0,4260.0,2690.0,8500.0,407120.0,410547.0,21120.0,19.276515151515152,AL,Calhoun,116475.0,14.9,32.2,17.6,7.3
44,01015,3,6050.0,1350.0,3940.0,720.0,4670.0,371729.0,374497.0,13900.0,26.743093525179855,AL,Calhoun,116475.0,14.9,32.2,17.6,7.3
45,01015,4,3290.0,400.0,2730.0,180.0,2680.0,283014.0,285264.0,8540.0,33.139812646370025,AL,Calhoun,116475.0,14.9,32.2,17.6,7.3
46,01015,5,3000.0,150.0,2700.0,20.0,2600.0,390246.0,393904.0,8150.0,47.882944785276074,AL,Calhoun,116475.0,14.9,32.2,17.6,7.3
47,01015,6,450.0,20.0,400.0,0.0,350.0,174350.0,177577.0,1170.0,149.01709401709402,AL,Calhoun,116475.0,14.9,32.2,17.6,7.3
48,01017,1,8370.0,4540.0,1040.0,2680.0,6320.0,114199.0,115411.0,12940.0,8.825270479134467,AL,Chambers,34123.0,16.4,39.7,17.6,7.3
49,01017,2,4670.0,1690.0,1280.0,1630.0,4120.0,164902.0,165838.0,8370.0,19.701553166069296,AL,Chambers,34123.0,16.4,39.7,17.6,7.3
50,01017,3,1830.0,510.0,1030.0,280.0,1260.0,111493.0,112199.0,3830.0,29.110443864229765,AL,Chambers,34123.0,16.4,39.7,17.6,7.3
51,01017,4,990.0,110.0,780.0,70.0,840.0,84595.0,85206.0,2510.0,33.70318725099602,AL,Chambers,34123.0,16.4,39.7,17.6,7.3
52,01017,5,890.0,50.0,780.0,0.0,810.0,120685.0,121883.0,2420.0,49.8698347107438,AL,Chambers,34123.0,16.4,39.7,17.6,7.3
53,01017,6,80.0,0.0,70.0,0.0,70.0,27373.0,27925.0,210.0,130.34761904761905,AL,Chambers,34123.0,16.4,39.7,17.6,7.3
54,01019,1,10850.0,5480.0,2240.0,2960.0,7810.0,142495.0,144578.0,17770.0,8.018851997749016,AL,Cherokee,26074.0,13.3,33.6,17.6,7.3
55,01019,2,5510.0,1740.0,2370.0,1290.0,5140.0,195127.0,196764.0,11620.0,16.792340791738383,AL,Cherokee,26074.0,13.3,33.6,17.6,7.3
56,01019,3,2620.0,550.0,1790.0,280.0,2050.0,160693.0,162230.0,6180.0,26.00210355987055,AL,Cherokee,26074.0,13.3,33.6,17.6,7.3
57,01019,4,1470.0,180.0,1180.0,50.0,1140.0,125367.0,126493.0,3680.0,34.06711956521739,AL,Cherokee,26074.0,13.3,33.6,17.6,7.3
58,01019,5,1310.0,110.0,1190.0,0.0,1090.0,174543.0,176897.0,3580.0,48.75502793296089,AL,Cherokee,26074.0,13.3,33.6,17.6,7.3
59,01019,6,390.0,0.0,350.0,0.0,360.0,172777.0,176111.0,1060.0,162.99716981132076,AL,Cherokee,26074.0,13.3,33.6,17.6,7.3
60,01021,1,9780.0,5350.0,1740.0,2550.0,6580.0,126855.0,129085.0,15410.0,8.2319922128488,AL,Chilton,43769.0,13.3,35.9,17.6,7.3
61,01021,2,6410.0,2480.0,2310.0,1490.0,5570.0,233271.0,235568.0,12670.0,18.411286503551697,AL,Chilton,43769.0,13.3,35.9,17.6,7.3
62,01021,3,3640.0,860.0,2330.0,390.0,3080.0,223347.0,225345.0,8600.0,25.970581395348837,AL,Chilton,43769.0,13.3,35.9,17.6,7.3
63,01021,4,2080.0,210.0,1750.0,110.0,1930.0,181535.0,183050.0,5640.0,32.187056737588655,AL,Chilton,43769.0,13.3,35.9,17.6,7.3
64,01021,5,1830.0,70.0,1680.0,20.0,1650.0,235514.0,237617.0,5080.0,46.36102362204724,AL,Chilton,43769.0,13.3,35.9,17.6,7.3
65,01021,6,200.0,0.0,160.0,0.0,110.0,61999.0,63372.0,430.0,144.18372093023257,AL,Chilton,43769.0,13.3,35.9,17.6,7.3
66,01023,1,1310.0,620.0,230.0,490.0,930.0,16450.0,16706.0,2010.0,8.18407960199005,AL,Choctaw,13384.0,18.1,40.8,17.6,7.3
67,01023,2,820.0,250.0,310.0,290.0,670.0,29672.0,29848.0,1540.0,19.26753246753247,AL,Choctaw,13384.0,18.1,40.8,17.6,7.3
68,01023,3,500.0,180.0,270.0,60.0,390.0,30453.0,30600.0,1110.0,27.435135135135134,AL,Choctaw,13384.0,18.1,40.8,17.6,7.3
69,01023,4,310.0,30.0,250.0,0.0,300.0,26510.0,26617.0,830.0,31.93975903614458,AL,Choctaw,13384.0,18.1,40.8,17.6,7.3
70,01023,5,270.0,0.0,220.0,0.0,270.0,37808.0,38024.0,710.0,53.25070422535211,AL,Choctaw,13384.0,18.1,40.8,17.6,7.3
71,01023,6,20.0,0.0,0.0,0.0,20.0,6642.0,6685.0,20.0,332.1,AL,Choctaw,13384.0,18.1,40.8,17.6,7.3
72,01025,1,4570.0,2090.0,630.0,1790.0,3730.0,59319.0,60227.0,7080.0,8.378389830508475,AL,Clarke,25105.0,16.3,38.2,17.6,7.3
73,01025,2,2420.0,870.0,780.0,830.0,2200.0,87482.0,88105.0,4630.0,18.894600431965443,AL,Clarke,25105.0,16.3,38.2,17.6,7.3
74,01025,3,1320.0,300.0,720.0,250.0,1210.0,82305.0,83023.0,2950.0,27.9,AL,Clarke,25105.0,16.3,38.2,17.6,7.3
75,01025,4,920.0,110.0,720.0,90.0,760.0,80787.0,81333.0,2310.0,34.972727272727276,AL,Clarke,25105.0,16.3,38.2,17.6,7.3
76,01025,5,870.0,60.0,760.0,0.0,850.0,111151.0,112026.0,2430.0,45.74115226337449,AL,Clarke,25105.0,16.3,38.2,17.6,7.3
77,01025,6,110.0,0.0,100.0,0.0,90.0,50351.0,51850.0,290.0,173.62413793103448,AL,Clarke,25105.0,16.3,38.2,17.6,7.3
78,01027,1,6920.0,3400.0,1110.0,2360.0,4940.0,92302.0,93442.0,10560.0,8.740719696969697,AL,Clay,13464.0,14.6,37.3,17.6,7.3
79,01027,2,3910.0,1350.0,1240.0,1250.0,3410.0,138505.0,139614.0,7240.0,19.130524861878452,AL,Clay,13464.0,14.6,37.3,17.6,7.3
80,01027,3,1760.0,400.0,1060.0,300.0,1300.0,107207.0,107891.0,3820.0,28.064659685863873,AL,Clay,13464.0,14.6,37.3,17.6,7.3
81,01027,4,910.0,80.0,740.0,60.0,730.0,78918.0,79503.0,2290.0,34.46200873362445,AL,Clay,13464.0,14.6,37.3,17.6,7.3
82,01027,5,720.0,50.0,640.0,0.0,510.0,93994.0,95382.0,1840.0,51.083695652173915,AL,Clay,13464.0,14.6,37.3,17.6,7.3
83,01027,6,120.0,0.0,110.0,0.0,50.0,38911.0,40051.0,270.0,144.11481481481482,AL,Clay,13464.0,14.6,37.3,17.6,7.3
84,01029,1,830.0,390.0,260.0,170.0,530.0,10502.0,10712.0,1440.0,7.293055555555555,AL,Cleburne,15031.0,12.6,30.0,17.6,7.3
85,01029,2,530.0,180.0,280.0,100.0,510.0,19146.0,19337.0,1250.0,15.3168,AL,Cleburne,15031.0,12.6,30.0,17.6,7.3
86,01029,3,330.0,60.0,230.0,0.0,240.0,19427.0,19672.0,760.0,25.561842105263157,AL,Cleburne,15031.0,12.6,30.0,17.6,7.3
87,01029,4,200.0,0.0,180.0,0.0,200.0,18554.0,18716.0,560.0,33.13214285714286,AL,Cleburne,15031.0,12.6,30.0,17.6,7.3
88,01029,5,110.0,0.0,110.0,0.0,130.0,16622.0,16904.0,350.0,47.49142857142857,AL,Cleburne,15031.0,12.6,30.0,17.6,7.3
90,01031,1,4970.0,2640.0,1000.0,1270.0,3020.0,64865.0,66001.0,7660.0,8.468015665796345,AL,Coffee,50729.0,15.9,33.7,17.6,7.3
91,01031,2,2760.0,1040.0,1150.0,580.0,2000.0,98625.0,99682.0,5340.0,18.469101123595507,AL,Coffee,50729.0,15.9,33.7,17.6,7.3
92,01031,3,1430.0,290.0,990.0,140.0,1060.0,88267.0,88993.0,3330.0,26.506606606606606,AL,Coffee,50729.0,15.9,33.7,17.6,7.3
93,01031,4,850.0,100.0,730.0,20.0,730.0,73882.0,74582.0,2290.0,32.262882096069866,AL,Coffee,50729.0,15.9,33.7,17.6,7.3
94,01031,5,870.0,0.0,830.0,0.0,860.0,119985.0,121386.0,2520.0,47.61309523809524,AL,Coffee,50729.0,15.9,33.7,17.6,7.3
95,01031,6,120.0,0.0,120.0,0.0,70.0,43737.0,44700.0,310.0,141.08709677419355,AL,Coffee,50729.0,15.9,33.7,17.6,7.3
96,01033,1,12170.0,6820.0,2270.0,2890.0,7610.0,158549.0,160733.0,18970.0,8.357880864522931,AL,Colbert,54456.0,18.7,37.5,17.6,7.3
97,01033,2,6700.0,2500.0,2650.0,1360.0,5580.0,238810.0,240891.0,13380.0,17.848281016442453,AL,Colbert,54456.0,18.7,37.5,17.6,7.3
98,01033,3,3550.0,810.0,2400.0,350.0,2590.0,218570.0,220269.0,8200.0,26.65487804878049,AL,Colbert,54456.0,18.7,37.5,17.6,7.3
99,01033,4,2220.0,290.0,1860.0,80.0,1810.0,191043.0,192579.0,5820.0,32.825257731958764,AL,Colbert,54456.0,18.7,37.5,17.6,7.3
100,01033,5,2220.0,150.0,2030.0,30.0,1990.0,285208.0,288178.0,6200.0,46.001290322580644,AL,Colbert,54456.0,18.7,37.5,17.6,7.3
101,01033,6,370.0,0.0,310.0,0.0,290.0,153021.0,155777.0,910.0,168.15494505494505,AL,Colbert,54456.0,18.7,37.5,17.6,7.3
102,01035,1,8390.0,4600.0,1210.0,2450.0,5760.0,107534.0,109039.0,12780.0,8.414241001564946,AL,Conecuh,12866.0,17.4,36.4,17.6,7.3
103,01035,2,4830.0,1820.0,1730.0,1190.0,4000.0,173573.0,175249.0,9280.0,18.703987068965517,AL,Conecuh,12866.0,17.4,36.4,17.6,7.3
104,01035,3,2790.0,720.0,1660.0,310.0,2260.0,173033.0,174686.0,6300.0,27.465555555555557,AL,Conecuh,12866.0,17.4,36.4,17.6,7.3
105,01035,4,1910.0,200.0,1580.0,110.0,1760.0,166385.0,167825.0,5120.0,32.4970703125,AL,Conecuh,12866.0,17.4,36.4,17.6,7.3
106,01035,5,2350.0,170.0,2160.0,40.0,2150.0,311219.0,314059.0,6640.0,46.8703313253012,AL,Conecuh,12866.0,17.4,36.4,17.6,7.3
107,01035,6,310.0,0.0,280.0,0.0,270.0,113510.0,116285.0,830.0,136.75903614457832,AL,Conecuh,12866.0,17.4,36.4,17.6,7.3
108,01037,1,5070.0,2800.0,800.0,1420.0,3140.0,65078.0,65900.0,7540.0,8.63103448275862,AL,Coosa,11058.0,17.3,39.7,17.6,7.3
109,01037,2,2980.0,1130.0,960.0,830.0,2470.0,106544.0,107452.0,5520.0,19.30144927536232,AL,Coosa,11058.0,17.3,39.7,17.6,7.3
110,01037,3,1510.0,350.0,940.0,180.0,1100.0,92234.0,92835.0,3330.0,27.6978978978979,AL,Coosa,11058.0,17.3,39.7,17.6,7.3
111,01037,4,930.0,130.0,750.0,40.0,780.0,79695.0,80272.0,2410.0,33.06846473029046,AL,Coosa,11058.0,17.3,39.7,17.6,7.3
112,01037,5,900.0,70.0,790.0,0.0,690.0,119267.0,120434.0,2340.0,50.96880341880342,AL,Coosa,11058.0,17.3,39.7,17.6,7.3
113,01037,6,110.0,0.0,100.0,0.0,90.0,40240.0,41423.0,290.0,138.75862068965517,AL,Coosa,11058.0,17.3,39.7,17.6,7.3
114,01039,1,3740.0,1990.0,730.0,950.0,2230.0,47681.0,48532.0,5680.0,8.394542253521127,AL,Covington,37890.0,14.7,34.0,17.6,7.3
115,01039,2,2020.0,720.0,860.0,390.0,1470.0,71913.0,72704.0,3910.0,18.392071611253197,AL,Covington,37890.0,14.7,34.0,17.6,7.3
116,01039,3,980.0,240.0,660.0,120.0,680.0,60412.0,61012.0,2240.0,26.96964285714286,AL,Covington,37890.0,14.7,34.0,17.6,7.3
117,01039,4,650.0,70.0,510.0,0.0,450.0,56218.0,56688.0,1540.0,36.505194805194805,AL,Covington,37890.0,14.7,34.0,17.6,7.3
118,01039,5,700.0,70.0,630.0,0.0,630.0,92384.0,93347.0,1960.0,47.13469387755102,AL,Covington,37890.0,14.7,34.0,17.6,7.3
119,01039,6,200.0,0.0,170.0,0.0,180.0,73848.0,74948.0,520.0,142.01538461538462,AL,Covington,37890.0,14.7,34.0,17.6,7.3
120,01041,1,2680.0,1410.0,480.0,720.0,1560.0,35075.0,35743.0,3930.0,8.924936386768447,AL,Crenshaw,13874.0,16.5,39.7,17.6,7.3
121,01041,2,1750.0,670.0,620.0,470.0,1370.0,62076.0,62649.0,3280.0,18.92560975609756,AL,Crenshaw,13874.0,16.5,39.7,17.6,7.3
122,01041,3,750.0,190.0,490.0,60.0,540.0,45858.0,46287.0,1710.0,26.817543859649124,AL,Crenshaw,13874.0,16.5,39.7,17.6,7.3
123,01041,4,480.0,30.0,430.0,0.0,470.0,41098.0,41482.0,1360.0,30.219117647058823,AL,Crenshaw,13874.0,16.5,39.7,17.6,7.3
124,01041,5,380.0,0.0,320.0,0.0,360.0,52409.0,53183.0,1000.0,52.409,AL,Crenshaw,13874.0,16.5,39.7,17.6,7.3
125,01041,6,50.0,0.0,50.0,0.0,20.0,19735.0,20148.0,120.0,164.45833333333334,AL,Crenshaw,13874.0,16.5,39.7,17.6,7.3
126,01043,1,17650.0,9810.0,4400.0,3180.0,9530.0,223230.0,227953.0,28140.0,7.932835820895522,AL,Cullman,80731.0,14.4,33.4,17.6,7.3
127,01043,2,10970.0,3840.0,5250.0,1710.0,8710.0,395090.0,399219.0,23050.0,17.140563991323212,AL,Cullman,80731.0,14.4,33.4,17.6,7.3
128,01043,3,6000.0,1130.0,4510.0,360.0,5010.0,368008.0,371189.0,15160.0,24.274934036939314,AL,Cullman,80731.0,14.4,33.4,17.6,7.3
129,01043,4,3490.0,340.0,3110.0,90.0,3180.0,301235.0,303542.0,9740.0,30.927618069815196,AL,Cullman,80731.0,14.4,33.4,17.6,7.3
130,01043,5,3250.0,100.0,2980.0,0.0,2970.0,436485.0,441480.0,9030.0,48.33720930232558,AL,Cullman,80731.0,14.4,33.4,17.6,7.3
131,01043,6,500.0,0.0,460.0,0.0,480.0,170967.0,175128.0,1400.0,122.11928571428571,AL,Cullman,80731.0,14.4,33.4,17.6,7.3
132,01045,1,12670.0,6880.0,1830.0,3760.0,9000.0,164123.0,166577.0,19540.0,8.399334698055272,AL,Dale,49753.0,14.1,36.5,17.6,7.3
133,01045,2,6710.0,2460.0,2490.0,1590.0,5750.0,238403.0,240592.0,13190.0,18.074526156178923,AL,Dale,49753.0,14.1,36.5,17.6,7.3
134,01045,3,3330.0,890.0,2050.0,350.0,2650.0,206411.0,208161.0,7640.0,27.017146596858638,AL,Dale,49753.0,14.1,36.5,17.6,7.3
135,01045,4,2000.0,240.0,1570.0,140.0,1560.0,171639.0,173216.0,4940.0,34.74473684210526,AL,Dale,49753.0,14.1,36.5,17.6,7.3
136,01045,5,2180.0,160.0,1960.0,40.0,1830.0,287367.0,290721.0,5910.0,48.6238578680203,AL,Dale,49753.0,14.1,36.5,17.6,7.3
137,01045,6,520.0,30.0,450.0,0.0,550.0,215447.0,220211.0,1480.0,145.5722972972973,AL,Dale,49753.0,14.1,36.5,17.6,7.3
138,01047,1,6400.0,2970.0,510.0,2880.0,6100.0,88748.0,89906.0,10090.0,8.79563924677899,AL,Dallas,41950.0,19.0,40.8,17.6,7.3
139,01047,2,2970.0,1020.0,620.0,1380.0,2770.0,105719.0,106610.0,5030.0,21.017693836978133,AL,Dallas,41950.0,19.0,40.8,17.6,7.3
140,01047,3,1300.0,370.0,540.0,330.0,970.0,79038.0,79755.0,2420.0,32.660330578512394,AL,Dallas,41950.0,19.0,40.8,17.6,7.3
141,01047,4,650.0,80.0,470.0,60.0,520.0,56168.0,56648.0,1540.0,36.472727272727276,AL,Dallas,41950.0,19.0,40.8,17.6,7.3
142,01047,5,600.0,50.0,540.0,20.0,420.0,79851.0,80954.0,1550.0,51.516774193548386,AL,Dallas,41950.0,19.0,40.8,17.6,7.3
143,01047,6,130.0,0.0,110.0,0.0,120.0,54015.0,55080.0,340.0,158.86764705882354,AL,Dallas,41950.0,19.0,40.8,17.6,7.3
144,01049,1,11350.0,5680.0,3070.0,2450.0,7170.0,147507.0,150195.0,18990.0,7.7676145339652445,AL,DeKalb,70882.0,13.4,30.4,17.6,7.3
145,01049,2,6380.0,1860.0,3410.0,1260.0,5770.0,228333.0,230352.0,14450.0,15.80159169550173,AL,DeKalb,70882.0,13.4,30.4,17.6,7.3
146,01049,3,3120.0,460.0,2460.0,130.0,2760.0,190584.0,191977.0,8140.0,23.41326781326781,AL,DeKalb,70882.0,13.4,30.4,17.6,7.3
147,01049,4,1660.0,70.0,1550.0,0.0,1510.0,144559.0,145622.0,4680.0,30.888675213675214,AL,DeKalb,70882.0,13.4,30.4,17.6,7.3
148,01049,5,1370.0,0.0,1230.0,0.0,1360.0,197624.0,199831.0,3820.0,51.73403141361256,AL,DeKalb,70882.0,13.4,30.4,17.6,7.3
149,01049,6,70.0,0.0,60.0,0.0,60.0,24540.0,24906.0,180.0,136.33333333333334,AL,DeKalb,70882.0,13.4,30.4,17.6,7.3
150,01051,1,15920.0,8890.0,2230.0,4550.0,10470.0,207631.0,210947.0,23820.0,8.716666666666667,AL,Elmore,80661.0,13.4,35.4,17.6,7.3
151,01051,2,9860.0,3620.0,3210.0,2740.0,8280.0,353798.0,357108.0,18320.0,19.31211790393013,AL,Elmore,80661.0,13.4,35.4,17.6,7.3
152,01051,3,5620.0,1320.0,3460.0,720.0,4390.0,346705.0,349772.0,12630.0,27.45091053048298,AL,Elmore,80661.0,13.4,35.4,17.6,7.3
153,01051,4,3910.0,410.0,3260.0,240.0,3460.0,337879.0,340539.0,10390.0,32.51963426371511,AL,Elmore,80661.0,13.4,35.4,17.6,7.3
154,01051,5,4170.0,250.0,3860.0,0.0,3710.0,544305.0,548699.0,11680.0,46.601455479452056,AL,Elmore,80661.0,13.4,35.4,17.6,7.3
155,01051,6,590.0,0.0,530.0,0.0,460.0,224826.0,228099.0,1520.0,147.91184210526316,AL,Elmore,80661.0,13.4,35.4,17.6,7.3
156,01053,1,1730.0,820.0,370.0,510.0,1160.0,22659.0,22949.0,2720.0,8.330514705882353,AL,Escambia,37877.0,17.8,37.7,17.6,7.3
157,01053,2,1000.0,290.0,430.0,250.0,860.0,35660.0,35868.0,2010.0,17.741293532338307,AL,Escambia,37877.0,17.8,37.7,17.6,7.3
158,01053,3,540.0,150.0,340.0,110.0,480.0,33357.0,33517.0,1310.0,25.463358778625953,AL,Escambia,37877.0,17.8,37.7,17.6,7.3
159,01053,4,280.0,20.0,220.0,0.0,280.0,24442.0,24555.0,740.0,33.02972972972973,AL,Escambia,37877.0,17.8,37.7,17.6,7.3
160,01053,5,250.0,0.0,250.0,0.0,250.0,39368.0,39726.0,750.0,52.49066666666667,AL,Escambia,37877.0,17.8,37.7,17.6,7.3
162,01055,1,17280.0,9130.0,3650.0,4280.0,11010.0,225284.0,228454.0,27440.0,8.210058309037901,AL,Etowah,103790.0,16.8,35.1,17.6,7.3
163,01055,2,9420.0,3120.0,4030.0,2080.0,7920.0,337179.0,340129.0,19100.0,17.653350785340315,AL,Etowah,103790.0,16.8,35.1,17.6,7.3
164,01055,3,4860.0,990.0,3300.0,570.0,3800.0,298691.0,301339.0,11390.0,26.223968393327482,AL,Etowah,103790.0,16.8,35.1,17.6,7.3
165,01055,4,2820.0,330.0,2420.0,140.0,2500.0,242752.0,244745.0,7670.0,31.649543676662322,AL,Etowah,103790.0,16.8,35.1,17.6,7.3
166,01055,5,2330.0,110.0,2120.0,0.0,2170.0,298619.0,301721.0,6520.0,45.800460122699384,AL,Etowah,103790.0,16.8,35.1,17.6,7.3
167,01055,6,330.0,0.0,300.0,0.0,290.0,124746.0,127447.0,890.0,140.16404494382022,AL,Etowah,103790.0,16.8,35.1,17.6,7.3
168,01057,1,2710.0,1330.0,710.0,660.0,1620.0,34637.0,35127.0,4370.0,7.926086956521739,AL,Fayette,16858.0,15.1,33.7,17.6,7.3
169,01057,2,1550.0,520.0,730.0,320.0,1190.0,55559.0,55975.0,3170.0,17.526498422712933,AL,Fayette,16858.0,15.1,33.7,17.6,7.3
170,01057,3,760.0,110.0,560.0,60.0,640.0,47050.0,47477.0,1870.0,25.16042780748663,AL,Fayette,16858.0,15.1,33.7,17.6,7.3
171,01057,4,510.0,70.0,430.0,0.0,430.0,43228.0,43452.0,1360.0,31.78529411764706,AL,Fayette,16858.0,15.1,33.7,17.6,7.3
